epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68331069,0.58000000,0.56060606,0.74000000,0.63793103,0.70632166,0.49000000,0.49295775,0.70000000,0.57851240
2,0.67828190,0.60333333,0.65048544,0.44666667,0.52964427,0.70424360,0.48000000,0.47222222,0.34000000,0.39534884
3,0.67472869,0.60333333,0.70666667,0.35333333,0.47111111,0.70439863,0.50000000,0.50000000,0.28000000,0.35897436
4,0.67676491,0.56000000,0.80000000,0.16000000,0.26666667,0.71177679,0.48000000,0.42857143,0.12000000,0.18750000
5,0.66251528,0.63666667,0.63945578,0.62666667,0.63299663,0.70650256,0.45000000,0.44680851,0.42000000,0.43298969
6,0.66420054,0.59333333,0.70000000,0.32666667,0.44545455,0.70981765,0.51000000,0.52000000,0.26000000,0.34666667
7,0.65265179,0.65333333,0.62637363,0.76000000,0.68674699,0.70687503,0.48000000,0.48275862,0.56000000,0.51851852
8,0.64886105,0.66333333,0.71304348,0.54666667,0.61886792,0.70535105,0.49000000,0.48717949,0.38000000,0.42696629
9,0.64288116,0.68666667,0.64736842,0.82000000,0.72352941,0.70329469,0.49000000,0.49152542,0.58000000,0.53211009
10,0.65198159,0.56666667,0.71739130,0.22000000,0.33673469,0.71586764,0.51000000,0.52173913,0.24000000,0.32876712
11,0.64265895,0.64000000,0.58606557,0.95333333,0.72588832,0.70607287,0.50000000,0.50000000,0.78000000,0.60937500
12,0.62353653,0.72666667,0.68478261,0.84000000,0.75449102,0.70594466,0.48000000,0.48275862,0.56000000,0.51851852
13,0.61796510,0.76000000,0.74375000,0.79333333,0.76774194,0.70648956,0.49000000,0.48979592,0.48000000,0.48484848
14,0.61777306,0.72666667,0.80909091,0.59333333,0.68461538,0.70717216,0.50000000,0.50000000,0.36000000,0.41860465
15,0.60738009,0.74333333,0.69729730,0.86000000,0.77014925,0.70503771,0.53000000,0.52631579,0.60000000,0.56074766
16,0.64034086,0.57666667,0.79487179,0.20666667,0.32804233,0.74115527,0.53000000,0.57894737,0.22000000,0.31884058
17,0.59170550,0.76666667,0.81250000,0.69333333,0.74820144,0.70907485,0.50000000,0.50000000,0.40000000,0.44444444
18,0.60361350,0.67000000,0.60944206,0.94666667,0.74151436,0.72658479,0.55000000,0.53246753,0.82000000,0.64566929
19,0.78037488,0.51666667,0.85714286,0.04000000,0.07643312,0.86912191,0.48000000,0.25000000,0.02000000,0.03703704
20,0.59147501,0.70666667,0.63716814,0.96000000,0.76595745,0.72026443,0.58000000,0.55405405,0.82000000,0.66129032
21,0.58281612,0.68333333,0.62222222,0.93333333,0.74666667,0.73492450,0.58000000,0.55555556,0.80000000,0.65573770
22,0.57125652,0.78666667,0.76875000,0.82000000,0.79354839,0.70313203,0.53000000,0.53191489,0.50000000,0.51546392
23,0.54737920,0.77333333,0.77333333,0.77333333,0.77333333,0.73119283,0.53000000,0.53191489,0.50000000,0.51546392
24,0.53211385,0.81000000,0.83453237,0.77333333,0.80276817,0.72661817,0.48000000,0.47619048,0.40000000,0.43478261
25,0.52372295,0.83666667,0.83892617,0.83333333,0.83612040,0.72176957,0.54000000,0.54545455,0.48000000,0.51063830
26,0.55306715,0.71666667,0.64444444,0.96666667,0.77333333,0.73380578,0.57000000,0.54545455,0.84000000,0.66141732
27,0.52317327,0.77000000,0.70351759,0.93333333,0.80229226,0.73769319,0.56000000,0.54411765,0.74000000,0.62711864
28,0.48956257,0.82666667,0.80625000,0.86000000,0.83225806,0.74481916,0.53000000,0.52727273,0.58000000,0.55238095
29,0.48124012,0.82333333,0.79393939,0.87333333,0.83174603,0.74286002,0.52000000,0.51851852,0.56000000,0.53846154
30,0.53986818,0.70666667,0.63478261,0.97333333,0.76842105,0.79059172,0.54000000,0.52500000,0.84000000,0.64615385
31,0.49994069,0.77666667,0.70048309,0.96666667,0.81232493,0.75738829,0.58000000,0.55882353,0.76000000,0.64406780
32,0.55986112,0.68333333,0.61506276,0.98000000,0.75578406,0.83351272,0.56000000,0.53750000,0.86000000,0.66153846
33,0.46576396,0.82666667,0.90163934,0.73333333,0.80882353,0.78912294,0.51000000,0.51351351,0.38000000,0.43678161
34,0.46860152,0.78666667,0.71078431,0.96666667,0.81920904,0.79498613,0.56000000,0.54411765,0.74000000,0.62711864
35,0.43369719,0.88000000,0.88000000,0.88000000,0.88000000,0.75583678,0.55000000,0.56097561,0.46000000,0.50549451
36,0.45031297,0.81333333,0.73737374,0.97333333,0.83908046,0.76514220,0.54000000,0.52941176,0.72000000,0.61016949
37,0.45514923,0.80000000,0.96875000,0.62000000,0.75609756,0.81090766,0.50000000,0.50000000,0.24000000,0.32432432
38,0.39570001,0.89333333,0.87820513,0.91333333,0.89542484,0.76748657,0.52000000,0.52272727,0.46000000,0.48936170
39,0.41161957,0.88333333,0.93233083,0.82666667,0.87632509,0.78420657,0.47000000,0.45945946,0.34000000,0.39080460
40,0.37473768,0.90000000,0.90000000,0.90000000,0.90000000,0.79253578,0.50000000,0.50000000,0.44000000,0.46808511
41,0.41144019,0.85333333,0.78804348,0.96666667,0.86826347,0.79647201,0.56000000,0.54411765,0.74000000,0.62711864
42,0.39144221,0.91666667,0.94964029,0.88000000,0.91349481,0.76187766,0.52000000,0.52777778,0.38000000,0.44186047
43,0.48889303,0.76333333,0.68036530,0.99333333,0.80758808,0.84772146,0.55000000,0.53333333,0.80000000,0.64000000
44,0.37210163,0.88000000,0.92537313,0.82666667,0.87323944,0.81669021,0.52000000,0.52500000,0.42000000,0.46666667
45,0.37378597,0.92000000,0.91447368,0.92666667,0.92052980,0.77301466,0.49000000,0.48888889,0.44000000,0.46315789
46,0.32989293,0.91666667,0.90322581,0.93333333,0.91803279,0.82230836,0.50000000,0.50000000,0.52000000,0.50980392
47,0.32854122,0.93000000,0.94482759,0.91333333,0.92881356,0.82127881,0.52000000,0.52631579,0.40000000,0.45454545
48,0.33222413,0.92666667,0.97761194,0.87333333,0.92253521,0.84421068,0.50000000,0.50000000,0.30000000,0.37500000
49,0.57359785,0.70333333,0.62761506,1.00000000,0.77120823,1.01436079,0.52000000,0.51190476,0.86000000,0.64179104
