epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69080234,0.53000000,0.59574468,0.18666667,0.28426396,0.70999509,0.46000000,0.37500000,0.12000000,0.18181818
2,0.68262321,0.54333333,0.61403509,0.23333333,0.33816425,0.70744199,0.50000000,0.50000000,0.24000000,0.32432432
3,0.67745757,0.56666667,0.53787879,0.94666667,0.68599034,0.70434499,0.50000000,0.50000000,0.96000000,0.65753425
4,0.66861725,0.59000000,0.61739130,0.47333333,0.53584906,0.70214188,0.50000000,0.50000000,0.44000000,0.46808511
5,0.66301852,0.65000000,0.61780105,0.78666667,0.69208211,0.70290864,0.51000000,0.50724638,0.70000000,0.58823529
6,0.65908176,0.64333333,0.64429530,0.64000000,0.64214047,0.70113415,0.54000000,0.53448276,0.62000000,0.57407407
7,0.67109662,0.55666667,0.53159851,0.95333333,0.68257757,0.71900344,0.49000000,0.49484536,0.96000000,0.65306122
8,0.65235537,0.66666667,0.66233766,0.68000000,0.67105263,0.69735610,0.58000000,0.57142857,0.64000000,0.60377358
9,0.65050387,0.65333333,0.60454545,0.88666667,0.71891892,0.70212388,0.51000000,0.50649351,0.78000000,0.61417323
10,0.67368531,0.52666667,0.78571429,0.07333333,0.13414634,0.72773606,0.49000000,0.40000000,0.04000000,0.07272727
11,0.65451348,0.58666667,0.75000000,0.26000000,0.38613861,0.71576077,0.49000000,0.47368421,0.18000000,0.26086957
12,0.65308529,0.58666667,0.76000000,0.25333333,0.38000000,0.71580786,0.50000000,0.50000000,0.16000000,0.24242424
13,0.64019108,0.66000000,0.74000000,0.49333333,0.59200000,0.69909346,0.54000000,0.56250000,0.36000000,0.43902439
14,0.65319133,0.57666667,0.81081081,0.20000000,0.32085561,0.71062040,0.52000000,0.56250000,0.18000000,0.27272727
15,0.62504870,0.69333333,0.69078947,0.70000000,0.69536424,0.69715285,0.58000000,0.57407407,0.62000000,0.59615385
16,0.62118977,0.69000000,0.73553719,0.59333333,0.65682657,0.69992155,0.56000000,0.56521739,0.52000000,0.54166667
17,0.65939963,0.57000000,0.53818182,0.98666667,0.69647059,0.72433156,0.48000000,0.48936170,0.92000000,0.63888889
18,0.62715143,0.64333333,0.84126984,0.35333333,0.49765258,0.70739806,0.52000000,0.54545455,0.24000000,0.33333333
19,0.60791910,0.71000000,0.73684211,0.65333333,0.69257951,0.69920820,0.55000000,0.55555556,0.50000000,0.52631579
20,0.60665375,0.72666667,0.73943662,0.70000000,0.71917808,0.69121534,0.59000000,0.58823529,0.60000000,0.59405941
21,0.69289738,0.53333333,1.00000000,0.06666667,0.12500000,0.76705337,0.50000000,0.50000000,0.04000000,0.07407407
22,0.59850127,0.72666667,0.82075472,0.58000000,0.67968750,0.70624769,0.56000000,0.58823529,0.40000000,0.47619048
23,0.59334791,0.76000000,0.71666667,0.86000000,0.78181818,0.71075028,0.58000000,0.56060606,0.74000000,0.63793103
24,0.60026461,0.71333333,0.87209302,0.50000000,0.63559322,0.70933682,0.52000000,0.54166667,0.26000000,0.35135135
25,0.58729136,0.72333333,0.86813187,0.52666667,0.65560166,0.71494281,0.54000000,0.56250000,0.36000000,0.43902439
26,0.60153121,0.67000000,0.94736842,0.36000000,0.52173913,0.72827482,0.52000000,0.55000000,0.22000000,0.31428571
27,0.57906961,0.70666667,0.64903846,0.90000000,0.75418994,0.70565963,0.56000000,0.54054054,0.80000000,0.64516129
28,0.68304342,0.53666667,1.00000000,0.07333333,0.13664596,0.80453181,0.51000000,0.66666667,0.04000000,0.07547170
29,0.64227253,0.55666667,1.00000000,0.11333333,0.20359281,0.77746606,0.52000000,0.75000000,0.06000000,0.11111111
30,0.57855529,0.70000000,0.62820513,0.98000000,0.76562500,0.72100371,0.51000000,0.50649351,0.78000000,0.61417323
31,0.55256850,0.81333333,0.84057971,0.77333333,0.80555556,0.70081508,0.60000000,0.61363636,0.54000000,0.57446809
32,0.55770183,0.77333333,0.78472222,0.75333333,0.76870748,0.69131833,0.58000000,0.57692308,0.60000000,0.58823529
33,0.54862672,0.75666667,0.92307692,0.56000000,0.69709544,0.71855289,0.52000000,0.54166667,0.26000000,0.35135135
34,0.63533974,0.56000000,0.95000000,0.12666667,0.22352941,0.79737729,0.52000000,0.75000000,0.06000000,0.11111111
35,0.53586602,0.82333333,0.87596899,0.75333333,0.81003584,0.73151785,0.53000000,0.53488372,0.46000000,0.49462366
36,0.52576232,0.80666667,0.82857143,0.77333333,0.80000000,0.70533764,0.60000000,0.60416667,0.58000000,0.59183673
37,0.52139425,0.81333333,0.91228070,0.69333333,0.78787879,0.72179669,0.59000000,0.63636364,0.42000000,0.50602410
38,0.68978816,0.53333333,1.00000000,0.06666667,0.12500000,0.87349534,0.51000000,0.66666667,0.04000000,0.07547170
39,0.72350734,0.54000000,0.52097902,0.99333333,0.68348624,0.89401615,0.50000000,0.50000000,0.94000000,0.65277778
