epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.73751527,0.50666667,0.50335570,1.00000000,0.66964286,0.75148016,0.49000000,0.49494949,0.98000000,0.65771812
2,0.68440092,0.56333333,0.53941909,0.86666667,0.66496164,0.70853472,0.54000000,0.52439024,0.86000000,0.65151515
3,0.67971611,0.56666667,0.53787879,0.94666667,0.68599034,0.71104509,0.53000000,0.51807229,0.86000000,0.64661654
4,0.66993880,0.57333333,0.66666667,0.29333333,0.40740741,0.71139938,0.44000000,0.41666667,0.30000000,0.34883721
5,0.66739637,0.57333333,0.72916667,0.23333333,0.35353535,0.71380407,0.44000000,0.37500000,0.18000000,0.24324324
6,0.65739584,0.67000000,0.66451613,0.68666667,0.67540984,0.71034020,0.41000000,0.42372881,0.50000000,0.45871560
7,0.65633386,0.60333333,0.56275304,0.92666667,0.70025189,0.71805865,0.49000000,0.49367089,0.78000000,0.60465116
8,0.65830117,0.60666667,0.56201550,0.96666667,0.71078431,0.72338212,0.54000000,0.52439024,0.86000000,0.65151515
9,0.63879454,0.69666667,0.75213675,0.58666667,0.65917603,0.71279120,0.44000000,0.44444444,0.48000000,0.46153846
10,0.68187064,0.53000000,0.84615385,0.07333333,0.13496933,0.75393265,0.52000000,1.00000000,0.04000000,0.07692308
11,0.62822682,0.70333333,0.72262774,0.66000000,0.68989547,0.71275133,0.44000000,0.44230769,0.46000000,0.45098039
12,0.61887717,0.68666667,0.63592233,0.87333333,0.73595506,0.72917056,0.46000000,0.47222222,0.68000000,0.55737705
13,0.60623187,0.73333333,0.70114943,0.81333333,0.75308642,0.73211366,0.44000000,0.45454545,0.60000000,0.51724138
14,0.60509115,0.71666667,0.82178218,0.55333333,0.66135458,0.72289306,0.42000000,0.38888889,0.28000000,0.32558140
15,0.58788526,0.76000000,0.75324675,0.77333333,0.76315789,0.73304796,0.45000000,0.45454545,0.50000000,0.47619048
16,0.62156570,0.62000000,0.86000000,0.28666667,0.43000000,0.78062040,0.48000000,0.45833333,0.22000000,0.29729730
17,0.63435203,0.56333333,1.00000000,0.12666667,0.22485207,0.77980542,0.50000000,0.50000000,0.04000000,0.07407407
18,0.57636088,0.73333333,0.66990291,0.92000000,0.77528090,0.75005561,0.47000000,0.47887324,0.68000000,0.56198347
19,0.59235060,0.68000000,0.61344538,0.97333333,0.75257732,0.76203763,0.49000000,0.49367089,0.78000000,0.60465116
20,0.54108661,0.77666667,0.78620690,0.76000000,0.77288136,0.76959014,0.44000000,0.44230769,0.46000000,0.45098039
21,0.60585254,0.60666667,1.00000000,0.21333333,0.35164835,0.80266017,0.53000000,0.63636364,0.14000000,0.22950820
22,0.55090851,0.71000000,0.85393258,0.50666667,0.63598326,0.81498659,0.45000000,0.43243243,0.32000000,0.36781609
23,0.55140507,0.71000000,0.64000000,0.96000000,0.76800000,0.81052107,0.49000000,0.49333333,0.74000000,0.59200000
24,0.53352773,0.83000000,0.90909091,0.73333333,0.81180812,0.75467157,0.44000000,0.42500000,0.34000000,0.37777778
25,0.56591290,0.68000000,0.61065574,0.99333333,0.75634518,0.81864649,0.53000000,0.51807229,0.86000000,0.64661654
26,0.55186564,0.70333333,0.94202899,0.43333333,0.59360731,0.76076353,0.53000000,0.60000000,0.18000000,0.27692308
27,0.52629906,0.72000000,0.95833333,0.46000000,0.62162162,0.79005295,0.49000000,0.47368421,0.18000000,0.26086957
28,0.48365006,0.79000000,0.79591837,0.78000000,0.78787879,0.85952085,0.41000000,0.41176471,0.42000000,0.41584158
29,0.47750020,0.82666667,0.82236842,0.83333333,0.82781457,0.76099551,0.48000000,0.48148148,0.52000000,0.50000000
30,0.59707671,0.59333333,1.00000000,0.18666667,0.31460674,0.86296242,0.53000000,0.80000000,0.08000000,0.14545455
