epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68636137,0.51666667,0.51748252,0.49333333,0.50511945,0.71641713,0.44000000,0.44642857,0.50000000,0.47169811
2,0.67784035,0.55666667,0.53811659,0.80000000,0.64343164,0.71058440,0.52000000,0.51351351,0.76000000,0.61290323
3,0.66998231,0.57333333,0.61702128,0.38666667,0.47540984,0.71922255,0.40000000,0.36842105,0.28000000,0.31818182
4,0.67791212,0.58000000,0.54511278,0.96666667,0.69711538,0.71664375,0.51000000,0.50561798,0.90000000,0.64748201
5,0.67077065,0.56333333,0.73170732,0.20000000,0.31413613,0.73636216,0.42000000,0.25000000,0.08000000,0.12121212
6,0.65249234,0.63666667,0.65413534,0.58000000,0.61484099,0.70910341,0.49000000,0.48888889,0.44000000,0.46315789
7,0.63946760,0.67000000,0.66242038,0.69333333,0.67752443,0.71064264,0.47000000,0.47169811,0.50000000,0.48543689
8,0.63488889,0.68666667,0.68421053,0.69333333,0.68874172,0.70632613,0.49000000,0.49019608,0.50000000,0.49504950
9,0.62886137,0.68666667,0.73333333,0.58666667,0.65185185,0.70724458,0.47000000,0.46666667,0.42000000,0.44210526
10,0.65073514,0.67000000,0.64571429,0.75333333,0.69538462,0.69991565,0.45000000,0.45901639,0.56000000,0.50450450
11,0.62068230,0.72333333,0.78151261,0.62000000,0.69144981,0.70320123,0.42000000,0.39473684,0.30000000,0.34090909
12,0.62250149,0.74333333,0.68527919,0.90000000,0.77809798,0.69580412,0.54000000,0.53125000,0.68000000,0.59649123
13,0.60850024,0.72666667,0.66037736,0.93333333,0.77348066,0.70476639,0.53000000,0.52112676,0.74000000,0.61157025
14,0.59943980,0.71000000,0.65829146,0.87333333,0.75071633,0.71989137,0.56000000,0.54285714,0.76000000,0.63333333
15,0.63431072,0.61333333,0.56488550,0.98666667,0.71844660,0.72705603,0.50000000,0.50000000,0.88000000,0.63768116
16,0.58616447,0.75000000,0.68844221,0.91333333,0.78510029,0.70573014,0.57000000,0.55223881,0.74000000,0.63247863
17,0.57877213,0.77000000,0.83471074,0.67333333,0.74538745,0.71668029,0.50000000,0.50000000,0.36000000,0.41860465
18,0.56507105,0.77333333,0.72043011,0.89333333,0.79761905,0.71985626,0.57000000,0.55384615,0.72000000,0.62608696
19,0.59975260,0.62666667,0.89583333,0.28666667,0.43434343,0.76907134,0.48000000,0.43750000,0.14000000,0.21212121
20,0.54937720,0.76666667,0.69417476,0.95333333,0.80337079,0.72226542,0.57000000,0.55072464,0.76000000,0.63865546
21,0.53179038,0.83000000,0.81132075,0.86000000,0.83495146,0.71574265,0.55000000,0.54716981,0.58000000,0.56310680
22,0.55100626,0.72000000,0.94594595,0.46666667,0.62500000,0.74560499,0.47000000,0.44000000,0.22000000,0.29333333
23,0.51623875,0.81000000,0.82978723,0.78000000,0.80412371,0.70780581,0.52000000,0.52173913,0.48000000,0.50000000
24,0.57565469,0.66000000,0.59677419,0.98666667,0.74371859,0.73100829,0.58000000,0.55000000,0.88000000,0.67692308
25,0.83271563,0.54000000,0.52083333,1.00000000,0.68493151,0.96064848,0.48000000,0.48979592,0.96000000,0.64864865
26,0.53170395,0.72333333,0.64757709,0.98000000,0.77984085,0.73012984,0.57000000,0.54666667,0.82000000,0.65600000
27,0.48224705,0.84666667,0.88805970,0.79333333,0.83802817,0.73082852,0.56000000,0.57142857,0.48000000,0.52173913
28,0.49977744,0.80666667,0.83333333,0.76666667,0.79861111,0.71511233,0.53000000,0.53658537,0.44000000,0.48351648
29,0.49828216,0.77666667,0.69668246,0.98000000,0.81440443,0.71777040,0.59000000,0.56164384,0.82000000,0.66666667
