epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69114906,0.49000000,0.49044586,0.51333333,0.50162866,0.69099408,0.53000000,0.53488372,0.46000000,0.49462366
2,0.68393248,0.57333333,0.58870968,0.48666667,0.53284672,0.69401777,0.44000000,0.43181818,0.38000000,0.40425532
3,0.68658781,0.53333333,0.52136752,0.81333333,0.63541667,0.70351458,0.53000000,0.51851852,0.84000000,0.64122137
4,0.68536937,0.57666667,0.55111111,0.82666667,0.66133333,0.69337088,0.50000000,0.50000000,0.78000000,0.60937500
5,0.68901181,0.51333333,0.50757576,0.89333333,0.64734300,0.70523447,0.48000000,0.48863636,0.86000000,0.62318841
6,0.68449169,0.53666667,0.56321839,0.32666667,0.41350211,0.68977118,0.53000000,0.55172414,0.32000000,0.40506329
7,0.68104255,0.60000000,0.56818182,0.83333333,0.67567568,0.69854540,0.50000000,0.50000000,0.68000000,0.57627119
8,0.67359352,0.64000000,0.63291139,0.66666667,0.64935065,0.70010924,0.49000000,0.49056604,0.52000000,0.50485437
9,0.67995310,0.59000000,0.63917526,0.41333333,0.50202429,0.69815093,0.50000000,0.50000000,0.38000000,0.43181818
10,0.67695123,0.58000000,0.55042017,0.87333333,0.67525773,0.69780332,0.54000000,0.52564103,0.82000000,0.64062500
11,0.66071832,0.63000000,0.67256637,0.50666667,0.57794677,0.70652938,0.48000000,0.47500000,0.38000000,0.42222222
12,0.67562205,0.53666667,0.78947368,0.10000000,0.17751479,0.72431719,0.53000000,0.80000000,0.08000000,0.14545455
13,0.66427124,0.54333333,0.70967742,0.14666667,0.24309392,0.71434343,0.52000000,0.56250000,0.18000000,0.27272727
14,0.65878254,0.62333333,0.57939914,0.90000000,0.70496084,0.72115159,0.52000000,0.51282051,0.80000000,0.62500000
15,0.63496286,0.69000000,0.67272727,0.74000000,0.70476190,0.68862581,0.50000000,0.50000000,0.56000000,0.52830189
16,0.63577044,0.70333333,0.64878049,0.88666667,0.74929577,0.70606399,0.53000000,0.52238806,0.70000000,0.59829060
17,0.64150381,0.62666667,0.68269231,0.47333333,0.55905512,0.71044105,0.52000000,0.52083333,0.50000000,0.51020408
18,0.62921268,0.66666667,0.61160714,0.91333333,0.73262032,0.72944748,0.52000000,0.51282051,0.80000000,0.62500000
19,0.63943601,0.61666667,0.57261411,0.92000000,0.70588235,0.74923867,0.50000000,0.50000000,0.84000000,0.62686567
20,0.63904136,0.59666667,0.79591837,0.26000000,0.39195980,0.73456401,0.59000000,0.73684211,0.28000000,0.40579710
21,0.62311745,0.63000000,0.57707510,0.97333333,0.72456576,0.75989860,0.48000000,0.48837209,0.84000000,0.61764706
22,0.70119649,0.55333333,0.86363636,0.12666667,0.22093023,0.83161390,0.56000000,1.00000000,0.12000000,0.21428571
23,0.59651440,0.65000000,0.71028037,0.50666667,0.59143969,0.74844033,0.57000000,0.62962963,0.34000000,0.44155844
24,0.57381308,0.72666667,0.69767442,0.80000000,0.74534161,0.76348954,0.50000000,0.50000000,0.60000000,0.54545455
25,0.79529917,0.53000000,1.00000000,0.06000000,0.11320755,0.97722608,0.52000000,1.00000000,0.04000000,0.07692308
26,0.57854134,0.74000000,0.69354839,0.86000000,0.76785714,0.70153809,0.56000000,0.54166667,0.78000000,0.63934426
27,0.55425406,0.74666667,0.69270833,0.88666667,0.77777778,0.77530944,0.53000000,0.52459016,0.64000000,0.57657658
28,0.61930728,0.63666667,0.83606557,0.34000000,0.48341232,0.81003141,0.52000000,0.53571429,0.30000000,0.38461538
29,0.60219210,0.64333333,0.70873786,0.48666667,0.57707510,0.73360777,0.51000000,0.51515152,0.34000000,0.40963855
30,0.53486258,0.75666667,0.73913043,0.79333333,0.76527331,0.76195699,0.55000000,0.54545455,0.60000000,0.57142857
31,0.60763657,0.62000000,0.56923077,0.98666667,0.72195122,0.74451846,0.51000000,0.50561798,0.90000000,0.64748201
32,0.60659403,0.65000000,0.72277228,0.48666667,0.58167331,0.78873253,0.43000000,0.42553191,0.40000000,0.41237113
33,0.57522845,0.67333333,0.60924370,0.96666667,0.74742268,0.83201349,0.50000000,0.50000000,0.82000000,0.62121212
34,0.53665763,0.75000000,0.76595745,0.72000000,0.74226804,0.77008128,0.49000000,0.48888889,0.44000000,0.46315789
35,0.58995217,0.69333333,0.62719298,0.95333333,0.75661376,0.77831793,0.54000000,0.52631579,0.80000000,0.63492063
36,0.66722190,0.63333333,0.58695652,0.90000000,0.71052632,0.95060730,0.48000000,0.48780488,0.80000000,0.60606061
