epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69378287,0.48666667,0.40909091,0.06000000,0.10465116,0.69592363,0.47000000,0.36363636,0.08000000,0.13114754
2,0.68290406,0.58666667,0.67105263,0.34000000,0.45132743,0.69483489,0.49000000,0.48000000,0.24000000,0.32000000
3,0.76947212,0.50000000,0.50000000,1.00000000,0.66666667,0.79121262,0.50000000,0.50000000,1.00000000,0.66666667
4,0.69109792,0.51000000,0.51181102,0.43333333,0.46931408,0.69195974,0.56000000,0.56521739,0.52000000,0.54166667
5,0.67435586,0.59666667,0.71014493,0.32666667,0.44748858,0.69990450,0.46000000,0.40909091,0.18000000,0.25000000
6,0.66683555,0.66333333,0.67132867,0.64000000,0.65529010,0.68755281,0.63000000,0.62264151,0.66000000,0.64077670
7,0.66366756,0.61333333,0.57522124,0.86666667,0.69148936,0.69025946,0.49000000,0.49350649,0.76000000,0.59842520
8,0.66372561,0.63000000,0.70967742,0.44000000,0.54320988,0.69213820,0.57000000,0.61290323,0.38000000,0.46913580
9,0.66294575,0.63666667,0.62424242,0.68666667,0.65396825,0.69025582,0.59000000,0.58181818,0.64000000,0.60952381
10,0.64659554,0.64666667,0.60576923,0.84000000,0.70391061,0.68998796,0.52000000,0.51388889,0.74000000,0.60655738
11,0.64470100,0.65333333,0.61057692,0.84666667,0.70949721,0.69759554,0.52000000,0.51470588,0.70000000,0.59322034
12,0.63565594,0.67333333,0.77659574,0.48666667,0.59836066,0.70060301,0.57000000,0.60000000,0.42000000,0.49411765
13,0.66067463,0.55333333,0.90000000,0.12000000,0.21176471,0.71348768,0.50000000,0.50000000,0.06000000,0.10714286
14,0.62642914,0.69000000,0.63380282,0.90000000,0.74380165,0.70731187,0.50000000,0.50000000,0.72000000,0.59016393
15,0.69685799,0.54666667,0.52447552,1.00000000,0.68807339,0.80128747,0.49000000,0.49450549,0.90000000,0.63829787
16,0.69033098,0.55666667,0.53003534,1.00000000,0.69284065,0.79671007,0.51000000,0.50537634,0.94000000,0.65734266
17,0.79465598,0.52000000,0.51020408,1.00000000,0.67567568,0.92509949,0.47000000,0.48387097,0.90000000,0.62937063
18,0.63009757,0.63000000,0.83050847,0.32666667,0.46889952,0.69443721,0.56000000,0.65000000,0.26000000,0.37142857
19,0.61395830,0.67333333,0.80232558,0.46000000,0.58474576,0.69940811,0.57000000,0.60606061,0.40000000,0.48192771
20,0.57663870,0.71333333,0.74615385,0.64666667,0.69285714,0.72950101,0.51000000,0.51111111,0.46000000,0.48421053
21,0.66259307,0.54333333,0.93333333,0.09333333,0.16969697,0.75768965,0.51000000,0.60000000,0.06000000,0.10909091
22,0.57797712,0.70333333,0.64454976,0.90666667,0.75346260,0.81060433,0.47000000,0.47945205,0.70000000,0.56910569
23,0.62865692,0.63333333,0.93478261,0.28666667,0.43877551,0.73017621,0.50000000,0.50000000,0.20000000,0.28571429
24,0.65084451,0.58333333,0.90322581,0.18666667,0.30939227,0.76454192,0.56000000,0.75000000,0.18000000,0.29032258
25,0.57727522,0.79333333,0.86065574,0.70000000,0.77205882,0.71159339,0.54000000,0.55555556,0.40000000,0.46511628
26,0.76685870,0.50666667,1.00000000,0.01333333,0.02631579,0.85641319,0.50000000,0.00000000,0.00000000,0.00000000
27,0.58165383,0.73333333,0.72435897,0.75333333,0.73856209,0.69581115,0.59000000,0.58490566,0.62000000,0.60194175
28,0.53295082,0.78666667,0.85833333,0.68666667,0.76296296,0.74470443,0.57000000,0.60000000,0.42000000,0.49411765
29,0.59483624,0.63333333,0.57874016,0.98000000,0.72772277,0.81069094,0.55000000,0.53086420,0.86000000,0.65648855
30,0.60900533,0.65333333,0.59504132,0.96000000,0.73469388,0.77659190,0.54000000,0.52631579,0.80000000,0.63492063
31,0.50281757,0.76666667,0.69801980,0.94000000,0.80113636,0.81970680,0.51000000,0.50724638,0.70000000,0.58823529
32,0.53551322,0.74666667,0.74342105,0.75333333,0.74834437,0.79387045,0.53000000,0.53191489,0.50000000,0.51546392
33,0.48134765,0.82333333,0.80891720,0.84666667,0.82736156,0.78541589,0.53000000,0.53061224,0.52000000,0.52525253
34,0.47967234,0.76666667,0.81250000,0.69333333,0.74820144,0.77724719,0.55000000,0.55555556,0.50000000,0.52631579
35,0.54798055,0.73666667,0.68020305,0.89333333,0.77233429,0.83296126,0.47000000,0.47826087,0.66000000,0.55462185
36,0.60451436,0.66000000,0.79268293,0.43333333,0.56034483,0.90112549,0.56000000,0.65000000,0.26000000,0.37142857
37,0.47190475,0.78000000,0.73076923,0.88666667,0.80120482,0.82385331,0.52000000,0.51515152,0.68000000,0.58620690
38,0.48973906,0.80000000,0.78846154,0.82000000,0.80392157,0.81924284,0.50000000,0.50000000,0.44000000,0.46808511
39,0.43220407,0.84333333,0.82389937,0.87333333,0.84789644,0.82816970,0.46000000,0.46296296,0.50000000,0.48076923
40,0.48327854,0.84333333,0.80473373,0.90666667,0.85266458,0.78238350,0.48000000,0.48148148,0.52000000,0.50000000
41,0.50631064,0.71333333,0.97058824,0.44000000,0.60550459,0.95863187,0.56000000,0.65000000,0.26000000,0.37142857
