epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70850611,0.52000000,0.51145038,0.89333333,0.65048544,0.75112593,0.47000000,0.48275862,0.84000000,0.61313869
2,0.68236572,0.57333333,0.64102564,0.33333333,0.43859649,0.72820503,0.43000000,0.37037037,0.20000000,0.25974026
3,0.66885740,0.61333333,0.63492063,0.53333333,0.57971014,0.72364104,0.44000000,0.41666667,0.30000000,0.34883721
4,0.67772859,0.54666667,0.71875000,0.15333333,0.25274725,0.73539090,0.44000000,0.31250000,0.10000000,0.15151515
5,0.65774453,0.61333333,0.65740741,0.47333333,0.55038760,0.72681540,0.46000000,0.43750000,0.28000000,0.34146341
6,0.65045279,0.66666667,0.66666667,0.66666667,0.66666667,0.72489947,0.46000000,0.45238095,0.38000000,0.41304348
7,0.67031336,0.55000000,0.82608696,0.12666667,0.21965318,0.74541998,0.46000000,0.35714286,0.10000000,0.15625000
8,0.63946313,0.65666667,0.68217054,0.58666667,0.63082437,0.72772861,0.46000000,0.44736842,0.34000000,0.38636364
9,0.63196832,0.66666667,0.66891892,0.66000000,0.66442953,0.72948861,0.45000000,0.44680851,0.42000000,0.43298969
10,0.69811016,0.54000000,0.52083333,1.00000000,0.68493151,0.79171336,0.50000000,0.50000000,0.96000000,0.65753425
11,0.64755851,0.58000000,0.92857143,0.17333333,0.29213483,0.74046373,0.48000000,0.42857143,0.12000000,0.18750000
12,0.67640102,0.53000000,0.90909091,0.06666667,0.12422360,0.76717067,0.51000000,0.60000000,0.06000000,0.10909091
13,0.61309481,0.73000000,0.77165354,0.65333333,0.70758123,0.72692031,0.47000000,0.46341463,0.38000000,0.41758242
14,0.69779664,0.54333333,0.52264808,1.00000000,0.68649886,0.80615324,0.51000000,0.50526316,0.96000000,0.66206897
15,0.61895967,0.66000000,0.94444444,0.34000000,0.50000000,0.73474526,0.47000000,0.41176471,0.14000000,0.20895522
16,0.71443558,0.51333333,1.00000000,0.02666667,0.05194805,0.82024276,0.48000000,0.00000000,0.00000000,0.00000000
17,0.62105864,0.64333333,0.58775510,0.96000000,0.72911392,0.76819873,0.51000000,0.50632911,0.80000000,0.62015504
18,0.60001993,0.69333333,0.62831858,0.94666667,0.75531915,0.74567407,0.51000000,0.50684932,0.74000000,0.60162602
19,0.62475932,0.59666667,0.93939394,0.20666667,0.33879781,0.76798826,0.50000000,0.50000000,0.10000000,0.16666667
20,0.57858855,0.75000000,0.70491803,0.86000000,0.77477477,0.72844124,0.50000000,0.50000000,0.64000000,0.56140351
21,0.58304596,0.74000000,0.95000000,0.50666667,0.66086957,0.74939531,0.46000000,0.40909091,0.18000000,0.25000000
22,0.56812048,0.77000000,0.88571429,0.62000000,0.72941176,0.73497087,0.43000000,0.38709677,0.24000000,0.29629630
23,0.56030267,0.75333333,0.76027397,0.74000000,0.75000000,0.76120532,0.44000000,0.43478261,0.40000000,0.41666667
24,0.62579089,0.62000000,0.56818182,1.00000000,0.72463768,0.79618514,0.54000000,0.52325581,0.90000000,0.66176471
25,0.54576397,0.81333333,0.86153846,0.74666667,0.80000000,0.72614115,0.47000000,0.46153846,0.36000000,0.40449438
26,0.56806391,0.71333333,0.95714286,0.44666667,0.60909091,0.76159716,0.48000000,0.43750000,0.14000000,0.21212121
27,0.53608608,0.78666667,0.75000000,0.86000000,0.80124224,0.75201464,0.42000000,0.42857143,0.48000000,0.45283019
28,0.54963684,0.74000000,0.66981132,0.94666667,0.78453039,0.75580764,0.49000000,0.49295775,0.70000000,0.57851240
