epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69679391,0.50666667,1.00000000,0.01333333,0.02631579,0.70888233,0.50000000,0.50000000,0.02000000,0.03846154
2,0.67844248,0.62666667,0.61046512,0.70000000,0.65217391,0.70200408,0.46000000,0.46875000,0.60000000,0.52631579
3,0.68348706,0.53000000,0.69565217,0.10666667,0.18497110,0.70091581,0.51000000,0.53846154,0.14000000,0.22222222
4,0.68102551,0.63000000,0.60103627,0.77333333,0.67638484,0.69485551,0.54000000,0.52941176,0.72000000,0.61016949
5,0.67057979,0.65666667,0.65359477,0.66666667,0.66006601,0.70273453,0.47000000,0.47368421,0.54000000,0.50467290
6,0.67479306,0.55000000,0.52727273,0.96666667,0.68235294,0.70267057,0.52000000,0.51086957,0.94000000,0.66197183
7,0.66871858,0.57666667,0.54339623,0.96000000,0.69397590,0.70863861,0.50000000,0.50000000,0.88000000,0.63768116
8,0.65775949,0.63000000,0.58024691,0.94000000,0.71755725,0.71315533,0.48000000,0.48809524,0.82000000,0.61194030
9,0.65398520,0.63666667,0.78082192,0.38000000,0.51121076,0.70540601,0.52000000,0.53846154,0.28000000,0.36842105
10,0.64718902,0.64000000,0.60000000,0.84000000,0.70000000,0.70575714,0.51000000,0.50666667,0.76000000,0.60800000
11,0.65831047,0.55666667,0.53068592,0.98000000,0.68852459,0.72615325,0.49000000,0.49473684,0.94000000,0.64827586
12,0.63844013,0.62333333,0.71264368,0.41333333,0.52320675,0.74138337,0.44000000,0.41176471,0.28000000,0.33333333
13,0.63413793,0.62666667,0.57723577,0.94666667,0.71717172,0.73489141,0.52000000,0.51162791,0.88000000,0.64705882
14,0.64737296,0.58000000,0.54511278,0.96666667,0.69711538,0.77803481,0.49000000,0.49438202,0.88000000,0.63309353
15,0.60317057,0.71333333,0.77586207,0.60000000,0.67669173,0.73661846,0.51000000,0.51282051,0.40000000,0.44943820
16,0.61459482,0.62333333,0.87755102,0.28666667,0.43216080,0.76690811,0.51000000,0.52631579,0.20000000,0.28985507
17,0.59323519,0.71333333,0.72535211,0.68666667,0.70547945,0.74271297,0.51000000,0.51063830,0.48000000,0.49484536
18,0.59212285,0.77333333,0.81538462,0.70666667,0.75714286,0.72077131,0.49000000,0.48780488,0.40000000,0.43956044
19,0.57387590,0.73333333,0.85714286,0.56000000,0.67741935,0.75484830,0.50000000,0.50000000,0.30000000,0.37500000
20,0.77221870,0.54333333,0.52264808,1.00000000,0.68649886,0.94320202,0.47000000,0.48453608,0.94000000,0.63945578
21,0.61193562,0.63333333,0.58695652,0.90000000,0.71052632,0.75573283,0.54000000,0.52631579,0.80000000,0.63492063
22,0.52560812,0.77000000,0.75471698,0.80000000,0.77669903,0.77691936,0.55000000,0.54901961,0.56000000,0.55445545
23,0.53972679,0.77000000,0.85217391,0.65333333,0.73962264,0.79393125,0.50000000,0.50000000,0.38000000,0.43181818
24,0.55166507,0.71333333,0.83333333,0.53333333,0.65040650,0.82175571,0.52000000,0.53125000,0.34000000,0.41463415
25,0.54150778,0.76000000,0.68750000,0.95333333,0.79888268,0.82945293,0.51000000,0.50649351,0.78000000,0.61417323
