epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68694478,0.51666667,0.52066116,0.42000000,0.46494465,0.69652206,0.54000000,0.54761905,0.46000000,0.50000000
2,0.67434448,0.59666667,0.58682635,0.65333333,0.61829653,0.69326890,0.51000000,0.50909091,0.56000000,0.53333333
3,0.67184067,0.64333333,0.65248227,0.61333333,0.63230241,0.69599658,0.53000000,0.53191489,0.50000000,0.51546392
4,0.68469304,0.50666667,1.00000000,0.01333333,0.02631579,0.72036523,0.49000000,0.33333333,0.02000000,0.03773585
5,0.66367352,0.65333333,0.64743590,0.67333333,0.66013072,0.70232636,0.46000000,0.46428571,0.52000000,0.49056604
6,0.66397226,0.60000000,0.55905512,0.94666667,0.70297030,0.70758498,0.52000000,0.51219512,0.84000000,0.63636364
7,0.68155682,0.51000000,0.71428571,0.03333333,0.06369427,0.73000461,0.50000000,0.50000000,0.04000000,0.07407407
8,0.64428228,0.63666667,0.58951965,0.90000000,0.71240106,0.70570326,0.55000000,0.53246753,0.82000000,0.64566929
9,0.64162773,0.62333333,0.60818713,0.69333333,0.64797508,0.71675932,0.51000000,0.50819672,0.62000000,0.55855856
10,0.61988366,0.68666667,0.72222222,0.60666667,0.65942029,0.70715147,0.52000000,0.52000000,0.52000000,0.52000000
11,0.61565620,0.71333333,0.72535211,0.68666667,0.70547945,0.70552289,0.56000000,0.57142857,0.48000000,0.52173913
12,0.63996470,0.63000000,0.67567568,0.50000000,0.57471264,0.69449693,0.55000000,0.58620690,0.34000000,0.43037975
13,0.66037571,0.57333333,0.84375000,0.18000000,0.29670330,0.78561211,0.48000000,0.41666667,0.10000000,0.16129032
14,0.61349201,0.62333333,0.87755102,0.28666667,0.43216080,0.74689436,0.56000000,0.66666667,0.24000000,0.35294118
15,0.60780108,0.72333333,0.66666667,0.89333333,0.76353276,0.71557075,0.52000000,0.51470588,0.70000000,0.59322034
16,0.58606958,0.73666667,0.69613260,0.84000000,0.76132931,0.72488713,0.53000000,0.52380952,0.66000000,0.58407080
17,0.63220036,0.63333333,0.57812500,0.98666667,0.72906404,0.72058773,0.52000000,0.51219512,0.84000000,0.63636364
18,0.61866015,0.63333333,0.78571429,0.36666667,0.50000000,0.74851942,0.51000000,0.51724138,0.30000000,0.37974684
19,0.58259958,0.64000000,0.75609756,0.41333333,0.53448276,0.77397621,0.54000000,0.57142857,0.32000000,0.41025641
20,0.61770111,0.61000000,0.88372093,0.25333333,0.39378238,0.84142935,0.58000000,0.70000000,0.28000000,0.40000000
21,0.65771133,0.61666667,0.56704981,0.98666667,0.72019465,0.80923241,0.51000000,0.50549451,0.92000000,0.65248227
22,0.59932160,0.65666667,0.59437751,0.98666667,0.74185464,0.80315751,0.52000000,0.51162791,0.88000000,0.64705882
23,0.59088516,0.61666667,0.85714286,0.28000000,0.42211055,0.81343657,0.52000000,0.55555556,0.20000000,0.29411765
24,0.75327367,0.53333333,1.00000000,0.06666667,0.12500000,1.04001367,0.54000000,1.00000000,0.08000000,0.14814815
25,0.73138899,0.59000000,0.77551020,0.25333333,0.38190955,1.01722193,0.54000000,0.60000000,0.24000000,0.34285714
26,0.56240976,0.69666667,0.62343096,0.99333333,0.76606684,0.79716915,0.50000000,0.50000000,0.82000000,0.62121212
27,0.54868937,0.71000000,0.67796610,0.80000000,0.73394495,0.81850272,0.52000000,0.51724138,0.60000000,0.55555556
28,0.54303938,0.73333333,0.79661017,0.62666667,0.70149254,0.80030727,0.58000000,0.59523810,0.50000000,0.54347826
29,0.54681873,0.72000000,0.79464286,0.59333333,0.67938931,0.78538245,0.53000000,0.54838710,0.34000000,0.41975309
30,0.56010103,0.71000000,0.63636364,0.98000000,0.77165354,0.83213288,0.55000000,0.53333333,0.80000000,0.64000000
31,0.46355653,0.80666667,0.80263158,0.81333333,0.80794702,0.79999471,0.59000000,0.58490566,0.62000000,0.60194175
32,0.46898195,0.78666667,0.86440678,0.68000000,0.76119403,0.89842820,0.53000000,0.53846154,0.42000000,0.47191011
33,0.51517975,0.74333333,0.82882883,0.61333333,0.70498084,0.94760269,0.52000000,0.52631579,0.40000000,0.45454545
34,0.54141378,0.68666667,0.88888889,0.42666667,0.57657658,0.79096490,0.52000000,0.54545455,0.24000000,0.33333333
35,0.58066744,0.64000000,0.95652174,0.29333333,0.44897959,0.98366880,0.54000000,0.62500000,0.20000000,0.30303030
36,0.48616233,0.80333333,0.74331551,0.92666667,0.82492582,0.83043945,0.50000000,0.50000000,0.68000000,0.57627119
37,0.47232437,0.77666667,0.70646766,0.94666667,0.80911681,0.81241089,0.58000000,0.55882353,0.76000000,0.64406780
38,0.43869242,0.79000000,0.71641791,0.96000000,0.82051282,0.96869010,0.47000000,0.47826087,0.66000000,0.55462185
39,0.42999640,0.84000000,0.81481481,0.88000000,0.84615385,0.88268036,0.56000000,0.55357143,0.62000000,0.58490566
40,0.36639419,0.84666667,0.79885057,0.92666667,0.85802469,0.95276672,0.52000000,0.51851852,0.56000000,0.53846154
41,0.74054891,0.59000000,0.54945055,1.00000000,0.70921986,0.98031431,0.50000000,0.50000000,0.94000000,0.65277778
42,0.37431177,0.87666667,0.85987261,0.90000000,0.87947883,0.88149673,0.53000000,0.52727273,0.58000000,0.55238095
43,0.46874803,0.78000000,0.86842105,0.66000000,0.75000000,1.05253124,0.48000000,0.47619048,0.40000000,0.43478261
44,0.41937220,0.80666667,0.73000000,0.97333333,0.83428571,1.00773680,0.49000000,0.49315068,0.72000000,0.58536585
45,0.36858913,0.87666667,0.84662577,0.92000000,0.88178914,0.89357412,0.54000000,0.53448276,0.62000000,0.57407407
46,0.46849245,0.76333333,0.76158940,0.76666667,0.76411960,0.81043768,0.58000000,0.57407407,0.62000000,0.59615385
