epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68750501,0.53666667,0.53503185,0.56000000,0.54723127,0.70103133,0.48000000,0.47916667,0.46000000,0.46938776
2,0.67882115,0.56333333,0.53815261,0.89333333,0.67167920,0.70390260,0.51000000,0.50588235,0.86000000,0.63703704
3,0.67670357,0.53666667,0.52075472,0.92000000,0.66506024,0.70848411,0.50000000,0.50000000,0.86000000,0.63235294
4,0.67146701,0.57333333,0.54545455,0.88000000,0.67346939,0.70456445,0.49000000,0.49397590,0.82000000,0.61654135
5,0.67531139,0.54000000,0.71428571,0.13333333,0.22471910,0.69930559,0.52000000,0.57142857,0.16000000,0.25000000
6,0.65579784,0.65000000,0.71028037,0.50666667,0.59143969,0.69934326,0.46000000,0.45833333,0.44000000,0.44897959
7,0.64973593,0.71000000,0.70322581,0.72666667,0.71475410,0.69999391,0.53000000,0.52631579,0.60000000,0.56074766
8,0.65217590,0.61666667,0.57201646,0.92666667,0.70737913,0.70786422,0.52000000,0.51190476,0.86000000,0.64179104
9,0.63924044,0.66000000,0.73076923,0.50666667,0.59842520,0.70546079,0.49000000,0.48837209,0.42000000,0.45161290
10,0.63491422,0.67666667,0.62926829,0.86000000,0.72676056,0.70526141,0.51000000,0.50649351,0.78000000,0.61417323
11,0.64722270,0.60000000,0.55725191,0.97333333,0.70873786,0.70978761,0.53000000,0.51685393,0.92000000,0.66187050
12,0.61908454,0.73000000,0.73154362,0.72666667,0.72909699,0.70378435,0.54000000,0.53448276,0.62000000,0.57407407
13,0.62105113,0.70000000,0.64285714,0.90000000,0.75000000,0.70582420,0.51000000,0.50649351,0.78000000,0.61417323
14,0.61240232,0.72333333,0.66028708,0.92000000,0.76880223,0.70499849,0.50000000,0.50000000,0.78000000,0.60937500
15,0.59532768,0.74000000,0.73376623,0.75333333,0.74342105,0.70766187,0.54000000,0.53333333,0.64000000,0.58181818
16,0.63622487,0.59666667,0.55430712,0.98666667,0.70983213,0.75005841,0.53000000,0.51648352,0.94000000,0.66666667
17,0.59012431,0.77000000,0.82926829,0.68000000,0.74725275,0.71372324,0.53000000,0.53191489,0.50000000,0.51546392
18,0.57939678,0.76333333,0.71122995,0.88666667,0.78931751,0.70866120,0.54000000,0.52857143,0.74000000,0.61666667
19,0.62414938,0.61666667,0.56756757,0.98000000,0.71882641,0.74486238,0.50000000,0.50000000,0.88000000,0.63768116
20,0.57612073,0.80333333,0.77575758,0.85333333,0.81269841,0.69542587,0.57000000,0.55737705,0.68000000,0.61261261
21,0.60926980,0.63666667,0.57976654,0.99333333,0.73218673,0.75234771,0.53000000,0.51724138,0.90000000,0.65693431
22,0.55585152,0.74333333,0.67298578,0.94666667,0.78670360,0.72729975,0.53000000,0.51898734,0.82000000,0.63565891
23,0.55627745,0.73333333,0.88888889,0.53333333,0.66666667,0.72270793,0.50000000,0.50000000,0.28000000,0.35897436
24,0.52726328,0.77666667,0.72677596,0.88666667,0.79879880,0.75244904,0.49000000,0.49230769,0.64000000,0.55652174
25,0.57205296,0.66333333,0.91525424,0.36000000,0.51674641,0.77447039,0.50000000,0.50000000,0.20000000,0.28571429
26,0.78610504,0.50666667,0.75000000,0.02000000,0.03896104,0.88025481,0.50000000,0.00000000,0.00000000,0.00000000
27,0.50187486,0.80333333,0.76300578,0.88000000,0.81733746,0.75959551,0.50000000,0.50000000,0.66000000,0.56896552
28,0.53300112,0.73333333,0.94871795,0.49333333,0.64912281,0.75328261,0.51000000,0.52000000,0.26000000,0.34666667
29,0.48568162,0.81333333,0.87301587,0.73333333,0.79710145,0.75421435,0.52000000,0.52173913,0.48000000,0.50000000
30,0.49418768,0.82666667,0.76923077,0.93333333,0.84337349,0.72147590,0.55000000,0.53731343,0.72000000,0.61538462
31,0.71012825,0.56000000,0.53191489,1.00000000,0.69444444,0.89069396,0.51000000,0.50515464,0.98000000,0.66666667
32,0.46298879,0.86333333,0.81871345,0.93333333,0.87227414,0.74661988,0.53000000,0.52380952,0.66000000,0.58407080
33,0.46094045,0.86666667,0.89285714,0.83333333,0.86206897,0.73199731,0.53000000,0.53333333,0.48000000,0.50526316
34,0.54110074,0.83000000,0.83221477,0.82666667,0.82943144,0.69893050,0.57000000,0.57142857,0.56000000,0.56565657
35,0.55307668,0.67333333,0.98148148,0.35333333,0.51960784,0.76928926,0.54000000,0.64285714,0.18000000,0.28125000
36,0.45275569,0.80000000,0.92452830,0.65333333,0.76562500,0.76424652,0.54000000,0.56250000,0.36000000,0.43902439
37,0.44179749,0.81666667,0.74358974,0.96666667,0.84057971,0.77765197,0.54000000,0.52857143,0.74000000,0.61666667
38,0.76519823,0.54666667,1.00000000,0.09333333,0.17073171,1.01411390,0.52000000,0.66666667,0.08000000,0.14285714
