epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68697906,0.52666667,0.52469136,0.56666667,0.54487179,0.69515556,0.50000000,0.50000000,0.44000000,0.46808511
2,0.68252873,0.56333333,0.54298643,0.80000000,0.64690027,0.69555080,0.48000000,0.48529412,0.66000000,0.55932203
3,0.67782056,0.57333333,0.55045872,0.80000000,0.65217391,0.69577497,0.47000000,0.47692308,0.62000000,0.53913043
4,0.67370141,0.61000000,0.58048780,0.79333333,0.67042254,0.69642746,0.48000000,0.48387097,0.60000000,0.53571429
5,0.67482209,0.58000000,0.54724409,0.92666667,0.68811881,0.70119309,0.50000000,0.50000000,0.84000000,0.62686567
6,0.66714126,0.65000000,0.63473054,0.70666667,0.66876972,0.69771791,0.47000000,0.46938776,0.46000000,0.46464646
7,0.66446984,0.63333333,0.60638298,0.76000000,0.67455621,0.69914442,0.43000000,0.43636364,0.48000000,0.45714286
8,0.66242641,0.63333333,0.61111111,0.73333333,0.66666667,0.70074385,0.41000000,0.42105263,0.48000000,0.44859813
9,0.65920252,0.66000000,0.66666667,0.64000000,0.65306122,0.70092422,0.50000000,0.50000000,0.44000000,0.46808511
10,0.65660322,0.64333333,0.60696517,0.81333333,0.69515670,0.70156431,0.46000000,0.46666667,0.56000000,0.50909091
11,0.65493643,0.64666667,0.61111111,0.80666667,0.69540230,0.70357603,0.45000000,0.46153846,0.60000000,0.52173913
12,0.68085426,0.50666667,0.62500000,0.03333333,0.06329114,0.72451979,0.52000000,0.66666667,0.08000000,0.14285714
13,0.66705823,0.53000000,0.80000000,0.08000000,0.14545455,0.71677506,0.54000000,0.66666667,0.16000000,0.25806452
14,0.64714593,0.66333333,0.62189055,0.83333333,0.71225071,0.70466429,0.49000000,0.49206349,0.62000000,0.54867257
15,0.64420402,0.66000000,0.61764706,0.84000000,0.71186441,0.70648986,0.49000000,0.49230769,0.64000000,0.55652174
16,0.64000601,0.70000000,0.67857143,0.76000000,0.71698113,0.70124358,0.49000000,0.49056604,0.52000000,0.50485437
17,0.63576919,0.71666667,0.70186335,0.75333333,0.72668810,0.70447552,0.49000000,0.49056604,0.52000000,0.50485437
18,0.64216572,0.62000000,0.57438017,0.92666667,0.70918367,0.71415871,0.49000000,0.49333333,0.74000000,0.59200000
19,0.63934356,0.63000000,0.57959184,0.94666667,0.71898734,0.71676427,0.51000000,0.50649351,0.78000000,0.61417323
20,0.63546437,0.66333333,0.81012658,0.42666667,0.55895197,0.70816541,0.45000000,0.41935484,0.26000000,0.32098765
21,0.63874745,0.62333333,0.57370518,0.96000000,0.71820449,0.72047859,0.52000000,0.51219512,0.84000000,0.63636364
22,0.65984815,0.53000000,0.80000000,0.08000000,0.14545455,0.73128933,0.51000000,0.57142857,0.08000000,0.14035088
23,0.62105888,0.71000000,0.83870968,0.52000000,0.64197531,0.71169740,0.49000000,0.48387097,0.30000000,0.37037037
24,0.62325042,0.66333333,0.60986547,0.90666667,0.72922252,0.71826595,0.52000000,0.51428571,0.72000000,0.60000000
25,0.62604344,0.64666667,0.94000000,0.31333333,0.47000000,0.72027999,0.52000000,0.55000000,0.22000000,0.31428571
26,0.60888612,0.74333333,0.79674797,0.65333333,0.71794872,0.70936799,0.46000000,0.45000000,0.36000000,0.40000000
27,0.61251730,0.66666667,0.60683761,0.94666667,0.73958333,0.72281408,0.54000000,0.52777778,0.76000000,0.62295082
28,0.60298204,0.73666667,0.71005917,0.80000000,0.75235110,0.71594709,0.49000000,0.49152542,0.58000000,0.53211009
29,0.59511107,0.74666667,0.70108696,0.86000000,0.77245509,0.71568596,0.50000000,0.50000000,0.60000000,0.54545455
30,0.59266198,0.75000000,0.70270270,0.86666667,0.77611940,0.71892905,0.51000000,0.50819672,0.62000000,0.55855856
31,0.60444868,0.68000000,0.61344538,0.97333333,0.75257732,0.73002905,0.57000000,0.54666667,0.82000000,0.65600000
32,0.59228957,0.73000000,0.88764045,0.52666667,0.66108787,0.72227049,0.49000000,0.48387097,0.30000000,0.37037037
33,0.59066260,0.69666667,0.63228700,0.94000000,0.75603217,0.73738986,0.52000000,0.51470588,0.70000000,0.59322034
34,0.57526857,0.79333333,0.77500000,0.82666667,0.80000000,0.71864212,0.52000000,0.52000000,0.52000000,0.52000000
35,0.60413098,0.66000000,0.59836066,0.97333333,0.74111675,0.74543655,0.57000000,0.54430380,0.86000000,0.66666667
36,0.60794955,0.64666667,0.58870968,0.97333333,0.73366834,0.76579911,0.53000000,0.51851852,0.84000000,0.64122137
37,0.58390176,0.69333333,0.91428571,0.42666667,0.58181818,0.73405296,0.48000000,0.46153846,0.24000000,0.31578947
38,0.57341683,0.71666667,0.89156627,0.49333333,0.63519313,0.73195189,0.46000000,0.43333333,0.26000000,0.32500000
39,0.57036024,0.72333333,0.92405063,0.48666667,0.63755459,0.73547697,0.47000000,0.44827586,0.26000000,0.32911392
40,0.56145781,0.73333333,0.66666667,0.93333333,0.77777778,0.75274116,0.51000000,0.50704225,0.72000000,0.59504132
41,0.57996458,0.67000000,0.60669456,0.96666667,0.74550129,0.77218640,0.55000000,0.53246753,0.82000000,0.64566929
42,0.63489240,0.61333333,0.56439394,0.99333333,0.71980676,0.83064443,0.51000000,0.50574713,0.88000000,0.64233577
43,0.56542432,0.68666667,0.92424242,0.40666667,0.56481481,0.74570435,0.45000000,0.40000000,0.20000000,0.26666667
44,0.56305575,0.71333333,0.92105263,0.46666667,0.61946903,0.74445039,0.48000000,0.46153846,0.24000000,0.31578947
45,0.53519022,0.78666667,0.72395833,0.92666667,0.81286550,0.73736829,0.58000000,0.56666667,0.68000000,0.61818182
46,0.62687278,0.57666667,1.00000000,0.15333333,0.26589595,0.81446362,0.52000000,0.60000000,0.12000000,0.20000000
47,0.62694031,0.57666667,1.00000000,0.15333333,0.26589595,0.81830776,0.53000000,0.71428571,0.10000000,0.17543860
48,0.52914125,0.78000000,0.93750000,0.60000000,0.73170732,0.74251622,0.48000000,0.46666667,0.28000000,0.35000000
49,0.51553661,0.78333333,0.71573604,0.94000000,0.81268012,0.75836760,0.56000000,0.54411765,0.74000000,0.62711864
50,0.50258303,0.84000000,0.86428571,0.80666667,0.83448276,0.74509156,0.49000000,0.48888889,0.44000000,0.46315789
51,0.49613994,0.81333333,0.76404494,0.90666667,0.82926829,0.76159179,0.52000000,0.51724138,0.60000000,0.55555556
52,0.81716543,0.51333333,1.00000000,0.02666667,0.05194805,1.00526404,0.51000000,1.00000000,0.02000000,0.03921569
53,0.52968156,0.73666667,0.65919283,0.98000000,0.78820375,0.78416997,0.55000000,0.53246753,0.82000000,0.64566929
54,0.50557321,0.80000000,0.75280899,0.89333333,0.81707317,0.77529311,0.51000000,0.50819672,0.62000000,0.55855856
55,0.66341603,0.58666667,0.54779412,0.99333333,0.70616114,0.91999662,0.49000000,0.49473684,0.94000000,0.64827586
