epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69196951,0.52666667,0.51449275,0.94666667,0.66666667,0.70408624,0.51000000,0.50526316,0.96000000,0.66206897
2,0.67375672,0.61666667,0.60355030,0.68000000,0.63949843,0.69652128,0.50000000,0.50000000,0.56000000,0.52830189
3,0.67629904,0.53666667,0.76190476,0.10666667,0.18713450,0.70989591,0.48000000,0.33333333,0.04000000,0.07142857
4,0.67014611,0.56333333,0.72093023,0.20666667,0.32124352,0.71812075,0.46000000,0.37500000,0.12000000,0.18181818
5,0.70611054,0.51333333,1.00000000,0.02666667,0.05194805,0.74917305,0.49000000,0.00000000,0.00000000,0.00000000
6,0.65518415,0.65333333,0.61057692,0.84666667,0.70949721,0.70674729,0.52000000,0.51428571,0.72000000,0.60000000
7,0.65231168,0.61666667,0.71604938,0.38666667,0.50216450,0.71427691,0.44000000,0.38461538,0.20000000,0.26315789
8,0.65440947,0.61666667,0.57085020,0.94000000,0.71032746,0.71943808,0.49000000,0.49411765,0.84000000,0.62222222
9,0.66742653,0.53666667,0.78947368,0.10000000,0.17751479,0.72540301,0.49000000,0.44444444,0.08000000,0.13559322
10,0.62748379,0.72000000,0.78448276,0.60666667,0.68421053,0.70949292,0.45000000,0.43589744,0.34000000,0.38202247
11,0.61900717,0.73000000,0.77600000,0.64666667,0.70545455,0.71467710,0.49000000,0.48888889,0.44000000,0.46315789
12,0.63468164,0.60666667,0.90000000,0.24000000,0.37894737,0.72403586,0.48000000,0.44444444,0.16000000,0.23529412
13,0.61869013,0.67000000,0.61751152,0.89333333,0.73024523,0.72066301,0.54000000,0.52631579,0.80000000,0.63492063
14,0.60474306,0.69333333,0.82222222,0.49333333,0.61666667,0.72903055,0.46000000,0.43333333,0.26000000,0.32500000
15,0.59206051,0.76000000,0.79104478,0.70666667,0.74647887,0.72596681,0.53000000,0.53333333,0.48000000,0.50526316
16,0.60399944,0.64666667,0.86666667,0.34666667,0.49523810,0.75129682,0.50000000,0.50000000,0.24000000,0.32432432
