epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67729378,0.59000000,0.56279070,0.80666667,0.66301370,0.69258970,0.51000000,0.50724638,0.70000000,0.58823529
2,0.67206711,0.63000000,0.62420382,0.65333333,0.63843648,0.68553114,0.51000000,0.50943396,0.54000000,0.52427184
3,0.66566324,0.61666667,0.57641921,0.88000000,0.69656992,0.69366837,0.55000000,0.53246753,0.82000000,0.64566929
4,0.65663075,0.67666667,0.65142857,0.76000000,0.70153846,0.68962938,0.50000000,0.50000000,0.60000000,0.54545455
5,0.65193468,0.61000000,0.72602740,0.35333333,0.47533632,0.69592947,0.50000000,0.50000000,0.24000000,0.32432432
6,0.64547020,0.63000000,0.76712329,0.37333333,0.50224215,0.69580978,0.50000000,0.50000000,0.24000000,0.32432432
7,0.63652778,0.66000000,0.75531915,0.47333333,0.58196721,0.69630921,0.49000000,0.48148148,0.26000000,0.33766234
8,0.64637268,0.56333333,0.75675676,0.18666667,0.29946524,0.71740800,0.49000000,0.46153846,0.12000000,0.19047619
9,0.65424281,0.56000000,0.53191489,1.00000000,0.69444444,0.71358055,0.47000000,0.48421053,0.92000000,0.63448276
10,0.61364424,0.71000000,0.74803150,0.63333333,0.68592058,0.70405173,0.46000000,0.44444444,0.32000000,0.37209302
11,0.61752492,0.61666667,0.81818182,0.30000000,0.43902439,0.72089815,0.49000000,0.46666667,0.14000000,0.21538462
12,0.64180911,0.59000000,0.54981550,0.99333333,0.70783848,0.73349214,0.51000000,0.50561798,0.90000000,0.64748201
13,0.59763348,0.70333333,0.63677130,0.94666667,0.76139410,0.72353834,0.57000000,0.54430380,0.86000000,0.66666667
14,0.57573640,0.79333333,0.83333333,0.73333333,0.78014184,0.70879084,0.50000000,0.50000000,0.42000000,0.45652174
15,0.57389343,0.74333333,0.85436893,0.58666667,0.69565217,0.71381050,0.51000000,0.51515152,0.34000000,0.40963855
16,0.63087016,0.56666667,0.88461538,0.15333333,0.26136364,0.78270113,0.50000000,0.50000000,0.08000000,0.13793103
17,0.54756957,0.78000000,0.72105263,0.91333333,0.80588235,0.70872438,0.55000000,0.53731343,0.72000000,0.61538462
