epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68564934,0.54000000,0.54285714,0.50666667,0.52413793,0.69173902,0.58000000,0.58695652,0.54000000,0.56250000
2,0.68684822,0.53000000,0.51724138,0.90000000,0.65693431,0.69848794,0.54000000,0.52272727,0.92000000,0.66666667
3,0.66847295,0.60333333,0.58288770,0.72666667,0.64688427,0.69310081,0.55000000,0.54098361,0.66000000,0.59459459
4,0.66456884,0.62333333,0.58371041,0.86000000,0.69541779,0.69283515,0.59000000,0.56338028,0.80000000,0.66115702
5,0.65727991,0.62666667,0.62500000,0.63333333,0.62913907,0.67878693,0.60000000,0.59259259,0.64000000,0.61538462
6,0.64604032,0.65333333,0.62234043,0.78000000,0.69230769,0.70250899,0.57000000,0.55737705,0.68000000,0.61261261
7,0.65229189,0.59333333,0.55982906,0.87333333,0.68229167,0.70384628,0.58000000,0.55263158,0.84000000,0.66666667
8,0.63929099,0.63666667,0.59534884,0.85333333,0.70136986,0.70790434,0.55000000,0.53424658,0.78000000,0.63414634
9,0.64538735,0.61000000,0.56470588,0.96000000,0.71111111,0.70337981,0.58000000,0.55000000,0.88000000,0.67692308
10,0.62620109,0.66333333,0.75789474,0.48000000,0.58775510,0.71450454,0.57000000,0.61290323,0.38000000,0.46913580
11,0.61417437,0.68333333,0.75229358,0.54666667,0.63320463,0.69920468,0.54000000,0.55000000,0.44000000,0.48888889
12,0.60773712,0.73000000,0.77165354,0.65333333,0.70758123,0.70206618,0.61000000,0.62790698,0.54000000,0.58064516
13,0.62923604,0.61000000,0.92307692,0.24000000,0.38095238,0.74572939,0.57000000,0.70588235,0.24000000,0.35820896
14,0.61122406,0.67333333,0.60924370,0.96666667,0.74742268,0.73649657,0.59000000,0.55696203,0.88000000,0.68217054
15,0.59621179,0.68666667,0.92424242,0.40666667,0.56481481,0.73552734,0.56000000,0.63636364,0.28000000,0.38888889
16,0.59601766,0.74666667,0.75694444,0.72666667,0.74149660,0.69176209,0.57000000,0.56363636,0.62000000,0.59047619
17,0.55789304,0.77666667,0.75460123,0.82000000,0.78594249,0.71984816,0.56000000,0.55769231,0.58000000,0.56862745
18,0.56531060,0.73333333,0.84313725,0.57333333,0.68253968,0.75072235,0.53000000,0.54838710,0.34000000,0.41975309
19,0.54470462,0.79333333,0.75882353,0.86000000,0.80625000,0.72461313,0.56000000,0.55555556,0.60000000,0.57692308
20,0.55086303,0.74666667,0.93023256,0.53333333,0.67796610,0.75151992,0.59000000,0.68000000,0.34000000,0.45333333
21,0.54561710,0.76000000,0.83050847,0.65333333,0.73134328,0.76125848,0.57000000,0.59459459,0.44000000,0.50574713
22,0.55574352,0.70333333,0.63555556,0.95333333,0.76266667,0.78676832,0.53000000,0.52000000,0.78000000,0.62400000
23,0.57644814,0.68666667,0.61666667,0.98666667,0.75897436,0.78167558,0.56000000,0.53750000,0.86000000,0.66153846
24,0.50174612,0.84333333,0.88721805,0.78666667,0.83392226,0.74076051,0.58000000,0.58333333,0.56000000,0.57142857
25,0.51741362,0.73666667,0.66210046,0.96666667,0.78590786,0.80604529,0.53000000,0.52112676,0.74000000,0.61157025
26,0.56182212,0.64000000,0.97727273,0.28666667,0.44329897,0.87462008,0.57000000,0.73333333,0.22000000,0.33846154
27,0.49245489,0.80666667,0.96000000,0.64000000,0.76800000,0.76958466,0.59000000,0.62162162,0.46000000,0.52873563
28,0.46775788,0.79666667,0.82014388,0.76000000,0.78892734,0.83107984,0.52000000,0.52173913,0.48000000,0.50000000
29,0.49424753,0.73666667,0.65919283,0.98000000,0.78820375,0.85346282,0.52000000,0.51351351,0.76000000,0.61290323
30,0.44338608,0.83333333,0.78735632,0.91333333,0.84567901,0.80559802,0.52000000,0.51612903,0.64000000,0.57142857
31,0.41120335,0.92000000,0.92000000,0.92000000,0.92000000,0.79730165,0.52000000,0.52000000,0.52000000,0.52000000
32,0.57026029,0.68666667,0.61764706,0.98000000,0.75773196,0.79270393,0.53000000,0.51898734,0.82000000,0.63565891
