epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69989538,0.48000000,0.48837209,0.84000000,0.61764706,0.69942617,0.49000000,0.49450549,0.90000000,0.63829787
2,0.69298649,0.51666667,0.51336898,0.64000000,0.56973294,0.69603026,0.54000000,0.52702703,0.78000000,0.62903226
3,0.68864709,0.54000000,0.53488372,0.61333333,0.57142857,0.69274169,0.61000000,0.59649123,0.68000000,0.63551402
4,0.68601906,0.53333333,0.53521127,0.50666667,0.52054795,0.69277936,0.56000000,0.56521739,0.52000000,0.54166667
5,0.68309844,0.56333333,0.57723577,0.47333333,0.52014652,0.69138306,0.58000000,0.59523810,0.50000000,0.54347826
6,0.68040931,0.58333333,0.59541985,0.52000000,0.55516014,0.69093603,0.54000000,0.54347826,0.50000000,0.52083333
7,0.67727500,0.61000000,0.61073826,0.60666667,0.60869565,0.68917328,0.55000000,0.54901961,0.56000000,0.55445545
8,0.67445242,0.62000000,0.60000000,0.72000000,0.65454545,0.68742383,0.59000000,0.57377049,0.70000000,0.63063063
9,0.67316818,0.61666667,0.67326733,0.45333333,0.54183267,0.69082564,0.53000000,0.54545455,0.36000000,0.43373494
10,0.67705286,0.55333333,0.52877698,0.98000000,0.68691589,0.68847549,0.52000000,0.51063830,0.96000000,0.66666667
11,0.67042542,0.64666667,0.73913043,0.45333333,0.56198347,0.69369930,0.56000000,0.59375000,0.38000000,0.46341463
12,0.66656649,0.64666667,0.71153846,0.49333333,0.58267717,0.69060975,0.55000000,0.57142857,0.40000000,0.47058824
13,0.66805828,0.61666667,0.73333333,0.36666667,0.48888889,0.69661194,0.52000000,0.53571429,0.30000000,0.38461538
14,0.66126221,0.67333333,0.70312500,0.60000000,0.64748201,0.69239706,0.58000000,0.59090909,0.52000000,0.55319149
15,0.66875237,0.57666667,0.79487179,0.20666667,0.32804233,0.70109206,0.51000000,0.53333333,0.16000000,0.24615385
16,0.66325033,0.61666667,0.78688525,0.32000000,0.45497630,0.69577628,0.55000000,0.63157895,0.24000000,0.34782609
17,0.65475565,0.70000000,0.70833333,0.68000000,0.69387755,0.69346768,0.54000000,0.54166667,0.52000000,0.53061224
18,0.65247077,0.67666667,0.64640884,0.78000000,0.70694864,0.69365841,0.53000000,0.52380952,0.66000000,0.58407080
19,0.64979792,0.69333333,0.65425532,0.82000000,0.72781065,0.69607556,0.53000000,0.52173913,0.72000000,0.60504202
20,0.64696330,0.70666667,0.67613636,0.79333333,0.73006135,0.69582027,0.52000000,0.51562500,0.66000000,0.57894737
21,0.65329498,0.64666667,0.59090909,0.95333333,0.72959184,0.70177048,0.50000000,0.50000000,0.86000000,0.63235294
22,0.64681959,0.67333333,0.61504425,0.92666667,0.73936170,0.70096755,0.50000000,0.50000000,0.80000000,0.61538462
23,0.64317948,0.71333333,0.66666667,0.85333333,0.74853801,0.69966918,0.50000000,0.50000000,0.72000000,0.59016393
24,0.63644856,0.73666667,0.71779141,0.78000000,0.74760383,0.69980413,0.52000000,0.51562500,0.66000000,0.57894737
25,0.63536471,0.69333333,0.64077670,0.88000000,0.74157303,0.70279187,0.50000000,0.50000000,0.76000000,0.60317460
26,0.63787079,0.71000000,0.81818182,0.54000000,0.65060241,0.70353842,0.55000000,0.58620690,0.34000000,0.43037975
27,0.64535463,0.61666667,0.56972112,0.95333333,0.71321696,0.71622151,0.50000000,0.50000000,0.90000000,0.64285714
28,0.63633513,0.68333333,0.85714286,0.44000000,0.58149780,0.70756233,0.53000000,0.57894737,0.22000000,0.31884058
29,0.63248438,0.67000000,0.61038961,0.94000000,0.74015748,0.71184736,0.50000000,0.50000000,0.82000000,0.62121212
30,0.67694259,0.53333333,1.00000000,0.06666667,0.12500000,0.73579907,0.50000000,0.50000000,0.06000000,0.10714286
