epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.75720197,0.50333333,1.00000000,0.00666667,0.01324503,0.75795472,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68895829,0.50666667,0.53125000,0.11333333,0.18681319,0.70425189,0.44000000,0.25000000,0.06000000,0.09677419
3,0.68004191,0.57333333,0.57534247,0.56000000,0.56756757,0.70112181,0.44000000,0.44444444,0.48000000,0.46153846
4,0.71193665,0.50000000,0.50000000,0.01333333,0.02597403,0.72735894,0.49000000,0.00000000,0.00000000,0.00000000
5,0.67093933,0.62333333,0.58371041,0.86000000,0.69541779,0.70738500,0.46000000,0.47560976,0.78000000,0.59090909
6,0.67616415,0.61000000,0.57674419,0.82666667,0.67945205,0.69736975,0.49000000,0.49382716,0.80000000,0.61068702
7,0.66454661,0.65333333,0.62365591,0.77333333,0.69047619,0.70043749,0.50000000,0.50000000,0.62000000,0.55357143
8,0.73222297,0.50666667,0.50335570,1.00000000,0.66964286,0.78658462,0.50000000,0.50000000,1.00000000,0.66666667
9,0.66451496,0.60000000,0.55905512,0.94666667,0.70297030,0.72214323,0.49000000,0.49438202,0.88000000,0.63309353
10,0.64962065,0.67666667,0.62801932,0.86666667,0.72829132,0.71525604,0.46000000,0.47435897,0.74000000,0.57812500
11,0.64491260,0.66333333,0.61502347,0.87333333,0.72176309,0.71436954,0.47000000,0.48148148,0.78000000,0.59541985
12,0.66347474,0.53000000,0.73684211,0.09333333,0.16568047,0.72329545,0.48000000,0.33333333,0.04000000,0.07142857
13,0.64999580,0.63333333,0.58000000,0.96666667,0.72500000,0.71425903,0.54000000,0.52272727,0.92000000,0.66666667
14,0.67790622,0.52000000,0.66666667,0.08000000,0.14285714,0.72320193,0.50000000,0.50000000,0.08000000,0.13793103
15,0.65664941,0.54333333,0.93333333,0.09333333,0.16969697,0.72293472,0.50000000,0.50000000,0.06000000,0.10714286
16,0.62949187,0.68666667,0.67721519,0.71333333,0.69480519,0.71641195,0.46000000,0.46774194,0.58000000,0.51785714
17,0.61289060,0.72666667,0.70731707,0.77333333,0.73885350,0.71604079,0.47000000,0.47761194,0.64000000,0.54700855
18,0.62189209,0.68000000,0.70769231,0.61333333,0.65714286,0.71736300,0.54000000,0.53703704,0.58000000,0.55769231
19,0.65777725,0.59000000,0.55056180,0.98000000,0.70503597,0.76817793,0.48000000,0.48936170,0.92000000,0.63888889
20,0.57690436,0.71333333,0.73880597,0.66000000,0.69718310,0.75421506,0.52000000,0.52000000,0.52000000,0.52000000
21,0.56353641,0.72333333,0.86813187,0.52666667,0.65560166,0.75192720,0.51000000,0.51282051,0.40000000,0.44943820
22,0.59659922,0.64666667,0.58800000,0.98000000,0.73500000,0.83462095,0.51000000,0.50588235,0.86000000,0.63703704
23,0.59973186,0.65000000,0.80821918,0.39333333,0.52914798,0.76006198,0.52000000,0.54166667,0.26000000,0.35135135
24,0.70553827,0.52333333,1.00000000,0.04666667,0.08917197,0.84610170,0.50000000,0.00000000,0.00000000,0.00000000
25,0.61599529,0.62000000,0.69565217,0.42666667,0.52892562,0.75966400,0.54000000,0.55555556,0.40000000,0.46511628
26,0.59905273,0.67666667,0.72649573,0.56666667,0.63670412,0.78291017,0.48000000,0.47368421,0.36000000,0.40909091
27,0.52791959,0.74333333,0.82882883,0.61333333,0.70498084,0.79917657,0.52000000,0.52173913,0.48000000,0.50000000
28,0.51225513,0.78666667,0.76543210,0.82666667,0.79487179,0.77465391,0.51000000,0.50769231,0.66000000,0.57391304
29,0.52171212,0.74666667,0.82456140,0.62666667,0.71212121,0.77588063,0.49000000,0.48780488,0.40000000,0.43956044
30,0.53328884,0.74333333,0.69312169,0.87333333,0.77286136,0.84403098,0.45000000,0.46575342,0.68000000,0.55284553
31,0.49640021,0.77333333,0.89423077,0.62000000,0.73228346,0.85272539,0.51000000,0.51612903,0.32000000,0.39506173
32,0.42475858,0.85000000,0.86713287,0.82666667,0.84641638,0.84590548,0.47000000,0.47619048,0.60000000,0.53097345
33,0.51652211,0.74666667,0.69473684,0.88000000,0.77647059,0.85204589,0.52000000,0.51470588,0.70000000,0.59322034
34,0.48388317,0.77666667,0.72192513,0.90000000,0.80118694,0.86928660,0.49000000,0.49275362,0.68000000,0.57142857
35,0.49415991,0.77666667,0.83200000,0.69333333,0.75636364,0.79931015,0.51000000,0.51063830,0.48000000,0.49484536
36,0.50626737,0.74000000,0.65929204,0.99333333,0.79255319,1.00545025,0.50000000,0.50000000,0.82000000,0.62121212
