epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68928105,0.53666667,0.59649123,0.22666667,0.32850242,0.69205230,0.50000000,0.50000000,0.22000000,0.30555556
2,0.68571746,0.56333333,0.66666667,0.25333333,0.36714976,0.69195187,0.55000000,0.60000000,0.30000000,0.40000000
3,0.68382293,0.54666667,0.70588235,0.16000000,0.26086957,0.69204223,0.49000000,0.47058824,0.16000000,0.23880597
4,0.67677647,0.62333333,0.58851675,0.82000000,0.68523677,0.68870503,0.57000000,0.54666667,0.82000000,0.65600000
5,0.67484242,0.62666667,0.75000000,0.38000000,0.50442478,0.68998307,0.48000000,0.45454545,0.20000000,0.27777778
6,0.67204231,0.61666667,0.80701754,0.30666667,0.44444444,0.69129485,0.52000000,0.56250000,0.18000000,0.27272727
7,0.66573519,0.71000000,0.67597765,0.80666667,0.73556231,0.68976009,0.55000000,0.53846154,0.70000000,0.60869565
8,0.66139597,0.69333333,0.68831169,0.70666667,0.69736842,0.68898231,0.57000000,0.56603774,0.60000000,0.58252427
9,0.65641326,0.70666667,0.72794118,0.66000000,0.69230769,0.68879622,0.50000000,0.50000000,0.44000000,0.46808511
10,0.65240085,0.69666667,0.66298343,0.80000000,0.72507553,0.68722302,0.60000000,0.57142857,0.80000000,0.66666667
11,0.64958918,0.67000000,0.82278481,0.43333333,0.56768559,0.68918508,0.47000000,0.42857143,0.18000000,0.25352113
12,0.66529214,0.55333333,0.52836879,0.99333333,0.68981481,0.70640916,0.54000000,0.52127660,0.98000000,0.68055556
13,0.63705403,0.71333333,0.67204301,0.83333333,0.74404762,0.68606049,0.56000000,0.54166667,0.78000000,0.63934426
14,0.62917644,0.74000000,0.73076923,0.76000000,0.74509804,0.68568754,0.54000000,0.53571429,0.60000000,0.56603774
15,0.62530637,0.73666667,0.70285714,0.82000000,0.75692308,0.68710411,0.54000000,0.53225806,0.66000000,0.58928571
16,0.63030130,0.64666667,0.83333333,0.36666667,0.50925926,0.69853652,0.50000000,0.50000000,0.18000000,0.26470588
17,0.68019819,0.54000000,0.52083333,1.00000000,0.68493151,0.74741787,0.51000000,0.50515464,0.98000000,0.66666667
18,0.60472435,0.74666667,0.72289157,0.80000000,0.75949367,0.68475872,0.54000000,0.53333333,0.64000000,0.58181818
19,0.59724784,0.75333333,0.73750000,0.78666667,0.76129032,0.69313282,0.51000000,0.50877193,0.58000000,0.54205607
20,0.62233263,0.64333333,0.58565737,0.98000000,0.73316708,0.71319807,0.56000000,0.53571429,0.90000000,0.67164179
21,0.58652407,0.75333333,0.72619048,0.81333333,0.76729560,0.68815809,0.55000000,0.54237288,0.64000000,0.58715596
22,0.57814902,0.76333333,0.72067039,0.86000000,0.78419453,0.68963701,0.57000000,0.55384615,0.72000000,0.62608696
23,0.60213912,0.67333333,0.60655738,0.98666667,0.75126904,0.70851606,0.57000000,0.54320988,0.88000000,0.67175573
24,0.56289393,0.81000000,0.81632653,0.80000000,0.80808081,0.68476349,0.54000000,0.54347826,0.50000000,0.52083333
25,0.55586928,0.80666667,0.78048780,0.85333333,0.81528662,0.68549752,0.60000000,0.59259259,0.64000000,0.61538462
26,0.61189443,0.62666667,0.57364341,0.98666667,0.72549020,0.73816478,0.56000000,0.53488372,0.92000000,0.67647059
27,0.54952580,0.79000000,0.89908257,0.65333333,0.75675676,0.70316112,0.50000000,0.50000000,0.34000000,0.40476190
28,0.53610045,0.81000000,0.84962406,0.75333333,0.79858657,0.69310552,0.53000000,0.53658537,0.44000000,0.48351648
29,0.52798647,0.82000000,0.77272727,0.90666667,0.83435583,0.70061326,0.60000000,0.58333333,0.70000000,0.63636364
30,0.55912977,0.71333333,0.64414414,0.95333333,0.76881720,0.71803600,0.59000000,0.56000000,0.84000000,0.67200000
31,0.57863373,0.65666667,0.96078431,0.32666667,0.48756219,0.77045792,0.54000000,0.66666667,0.16000000,0.25806452
32,0.51671809,0.77333333,0.69523810,0.97333333,0.81111111,0.71555358,0.59000000,0.56338028,0.80000000,0.66115702
33,0.54827082,0.71000000,0.63519313,0.98666667,0.77284595,0.76561356,0.59000000,0.55696203,0.88000000,0.68217054
34,0.48773506,0.82666667,0.85507246,0.78666667,0.81944444,0.71505690,0.55000000,0.55555556,0.50000000,0.52631579
35,0.54066020,0.73333333,0.96052632,0.48666667,0.64601770,0.76956707,0.55000000,0.63157895,0.24000000,0.34782609
36,0.48782101,0.84333333,0.96396396,0.71333333,0.81992337,0.71552962,0.54000000,0.57142857,0.32000000,0.41025641
37,0.49511969,0.75000000,0.67123288,0.98000000,0.79674797,0.76235265,0.58000000,0.55555556,0.80000000,0.65573770
38,0.46410462,0.84333333,0.98130841,0.70000000,0.81712062,0.73935586,0.51000000,0.51851852,0.28000000,0.36363636
39,0.48291358,0.77333333,0.98809524,0.55333333,0.70940171,0.78421158,0.54000000,0.60000000,0.24000000,0.34285714
40,0.47944763,0.82000000,0.91379310,0.70666667,0.79699248,0.73808438,0.53000000,0.54545455,0.36000000,0.43373494
41,0.59514046,0.61666667,1.00000000,0.23333333,0.37837838,0.87231308,0.53000000,0.71428571,0.10000000,0.17543860
42,0.58225852,0.63666667,1.00000000,0.27333333,0.42931937,0.91503078,0.52000000,0.62500000,0.10000000,0.17241379
