epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.73105735,0.49666667,0.49831650,0.98666667,0.66219239,0.72435004,0.51000000,0.50505051,1.00000000,0.67114094
2,0.68650216,0.56000000,0.65000000,0.26000000,0.37142857,0.69157958,0.56000000,0.71428571,0.20000000,0.31250000
3,0.69531447,0.51666667,0.50877193,0.96666667,0.66666667,0.70852262,0.50000000,0.50000000,0.92000000,0.64788732
4,0.69261950,0.51333333,0.50680272,0.99333333,0.67117117,0.70960182,0.51000000,0.50526316,0.96000000,0.66206897
5,0.66598296,0.60666667,0.64545455,0.47333333,0.54615385,0.69278389,0.43000000,0.39393939,0.26000000,0.31325301
6,0.68547225,0.56333333,0.55900621,0.60000000,0.57877814,0.69172388,0.46000000,0.45833333,0.44000000,0.44897959
7,0.66904563,0.63666667,0.59030837,0.89333333,0.71087533,0.69424623,0.52000000,0.51388889,0.74000000,0.60655738
8,0.66545260,0.60333333,0.57487923,0.79333333,0.66666667,0.69092989,0.48000000,0.48611111,0.70000000,0.57377049
9,0.66481918,0.64333333,0.67200000,0.56000000,0.61090909,0.69491607,0.49000000,0.48717949,0.38000000,0.42696629
10,0.66749847,0.64666667,0.70754717,0.50000000,0.58593750,0.68058485,0.57000000,0.62068966,0.36000000,0.45569620
11,0.64043689,0.65333333,0.67692308,0.58666667,0.62857143,0.69548392,0.54000000,0.54761905,0.46000000,0.50000000
12,0.66269779,0.65666667,0.60085837,0.93333333,0.73107050,0.68551803,0.52000000,0.51250000,0.82000000,0.63076923
13,0.64519602,0.65333333,0.72115385,0.50000000,0.59055118,0.69661361,0.50000000,0.50000000,0.38000000,0.43181818
14,0.71835315,0.49666667,0.40000000,0.01333333,0.02580645,0.79572695,0.49000000,0.33333333,0.02000000,0.03773585
15,0.62152189,0.70000000,0.68518519,0.74000000,0.71153846,0.70625472,0.53000000,0.52727273,0.58000000,0.55238095
16,0.64454055,0.67333333,0.63265306,0.82666667,0.71676301,0.67710990,0.59000000,0.58823529,0.60000000,0.59405941
17,0.60799104,0.67333333,0.63684211,0.80666667,0.71176471,0.72156250,0.53000000,0.52307692,0.68000000,0.59130435
18,0.62584949,0.70666667,0.64761905,0.90666667,0.75555556,0.69139481,0.54000000,0.52702703,0.78000000,0.62903226
19,0.64209342,0.62000000,0.56870229,0.99333333,0.72330097,0.72006363,0.55000000,0.52941176,0.90000000,0.66666667
20,0.66002482,0.56333333,0.53380783,1.00000000,0.69605568,0.70981407,0.52000000,0.51063830,0.96000000,0.66666667
21,0.62322015,0.65333333,0.59426230,0.96666667,0.73604061,0.68451750,0.51000000,0.50602410,0.84000000,0.63157895
22,0.62507385,0.69666667,0.65945946,0.81333333,0.72835821,0.71657991,0.51000000,0.50769231,0.66000000,0.57391304
23,0.59283155,0.70666667,0.64220183,0.93333333,0.76086957,0.70459342,0.54000000,0.52702703,0.78000000,0.62903226
24,0.58747119,0.71666667,0.75590551,0.64000000,0.69314079,0.69369566,0.55000000,0.56097561,0.46000000,0.50549451
25,0.57364613,0.74333333,0.80672269,0.64000000,0.71375465,0.76243204,0.51000000,0.51282051,0.40000000,0.44943820
26,0.66546804,0.62333333,0.72839506,0.39333333,0.51082251,0.91086078,0.50000000,0.50000000,0.34000000,0.40476190
27,0.58984637,0.66000000,0.94444444,0.34000000,0.50000000,0.88969833,0.53000000,0.63636364,0.14000000,0.22950820
28,0.56366950,0.73666667,0.65919283,0.98000000,0.78820375,0.72581482,0.50000000,0.50000000,0.76000000,0.60317460
29,0.55035663,0.72000000,0.67368421,0.85333333,0.75294118,0.84681201,0.51000000,0.50769231,0.66000000,0.57391304
30,0.59149754,0.62666667,0.88000000,0.29333333,0.44000000,0.85717279,0.50000000,0.50000000,0.14000000,0.21875000
31,0.53303438,0.74333333,0.66666667,0.97333333,0.79132791,0.77406693,0.52000000,0.51388889,0.74000000,0.60655738
32,0.59622836,0.61000000,0.78947368,0.30000000,0.43478261,0.81225497,0.51000000,0.52173913,0.24000000,0.32876712
33,0.52094030,0.74333333,0.85436893,0.58666667,0.69565217,0.76261276,0.49000000,0.48275862,0.28000000,0.35443038
34,0.53470004,0.68333333,0.84810127,0.44666667,0.58515284,0.81359887,0.52000000,0.53846154,0.28000000,0.36842105
35,0.48595458,0.78000000,0.70192308,0.97333333,0.81564246,0.75851840,0.51000000,0.50724638,0.70000000,0.58823529
36,0.70206738,0.61333333,0.56439394,0.99333333,0.71980676,0.93729812,0.53000000,0.51724138,0.90000000,0.65693431
