epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69365436,0.56000000,0.72500000,0.19333333,0.30526316,0.69713914,0.53000000,0.66666667,0.12000000,0.20338983
2,0.68401217,0.59000000,0.60150376,0.53333333,0.56537102,0.68941671,0.53000000,0.53658537,0.44000000,0.48351648
3,0.68629920,0.52000000,0.51056338,0.96666667,0.66820276,0.69599396,0.51000000,0.50537634,0.94000000,0.65734266
4,0.67507732,0.59000000,0.57714286,0.67333333,0.62153846,0.69104749,0.53000000,0.52631579,0.60000000,0.56074766
5,0.67554396,0.57333333,0.54044118,0.98000000,0.69668246,0.69836670,0.49000000,0.49411765,0.84000000,0.62222222
6,0.66926098,0.59333333,0.56140351,0.85333333,0.67724868,0.69905889,0.48000000,0.48611111,0.70000000,0.57377049
7,0.66495556,0.63666667,0.65413534,0.58000000,0.61484099,0.69699568,0.56000000,0.57894737,0.44000000,0.50000000
8,0.66718376,0.59333333,0.55303030,0.97333333,0.70531401,0.70461482,0.46000000,0.47674419,0.82000000,0.60294118
9,0.65867788,0.64333333,0.71287129,0.48000000,0.57370518,0.70142442,0.54000000,0.57142857,0.32000000,0.41025641
10,0.66145051,0.60000000,0.55639098,0.98666667,0.71153846,0.70723116,0.48000000,0.48863636,0.86000000,0.62318841
11,0.65643847,0.63000000,0.80952381,0.34000000,0.47887324,0.70537639,0.56000000,0.68750000,0.22000000,0.33333333
12,0.66022718,0.59000000,0.86486486,0.21333333,0.34224599,0.70848757,0.51000000,0.55555556,0.10000000,0.16949153
13,0.64536864,0.70333333,0.66850829,0.80666667,0.73111782,0.70504808,0.48000000,0.48275862,0.56000000,0.51851852
14,0.64325917,0.67666667,0.79120879,0.48000000,0.59751037,0.70703334,0.52000000,0.53846154,0.28000000,0.36842105
15,0.64005888,0.70333333,0.65326633,0.86666667,0.74498567,0.70526505,0.54000000,0.53448276,0.62000000,0.57407407
16,0.63465798,0.72000000,0.69642857,0.78000000,0.73584906,0.70763797,0.52000000,0.51923077,0.54000000,0.52941176
17,0.62955046,0.73000000,0.70414201,0.79333333,0.74608150,0.70942521,0.53000000,0.52830189,0.56000000,0.54368932
18,0.62809807,0.71333333,0.67391304,0.82666667,0.74251497,0.71593386,0.50000000,0.50000000,0.56000000,0.52830189
19,0.62953764,0.67333333,0.87142857,0.40666667,0.55454545,0.72079259,0.52000000,0.54545455,0.24000000,0.33333333
20,0.62105387,0.71333333,0.64953271,0.92666667,0.76373626,0.71985334,0.49000000,0.49230769,0.64000000,0.55652174
21,0.61537343,0.73666667,0.69189189,0.85333333,0.76417910,0.71843356,0.52000000,0.51851852,0.56000000,0.53846154
22,0.61204165,0.75000000,0.69035533,0.90666667,0.78386167,0.72250766,0.52000000,0.51666667,0.62000000,0.56363636
23,0.61178815,0.75333333,0.86538462,0.60000000,0.70866142,0.72167063,0.49000000,0.48387097,0.30000000,0.37037037
24,0.60307777,0.74333333,0.75172414,0.72666667,0.73898305,0.71508956,0.53000000,0.52941176,0.54000000,0.53465347
25,0.60446668,0.74666667,0.69680851,0.87333333,0.77514793,0.71771288,0.50000000,0.50000000,0.60000000,0.54545455
26,0.62098527,0.66666667,0.60162602,0.98666667,0.74747475,0.73578721,0.50000000,0.50000000,0.76000000,0.60317460
27,0.59124511,0.75666667,0.77697842,0.72000000,0.74740484,0.72187638,0.50000000,0.50000000,0.46000000,0.47916667
28,0.63490665,0.57333333,0.95833333,0.15333333,0.26436782,0.76115328,0.49000000,0.40000000,0.04000000,0.07272727
29,0.64437842,0.57000000,0.95652174,0.14666667,0.25433526,0.77510726,0.51000000,0.66666667,0.04000000,0.07547170
30,0.62652785,0.63000000,0.57528958,0.99333333,0.72860636,0.76053256,0.52000000,0.51190476,0.86000000,0.64179104
31,0.57938975,0.77666667,0.71727749,0.91333333,0.80351906,0.73345780,0.54000000,0.53225806,0.66000000,0.58928571
32,0.68668765,0.55666667,0.53003534,1.00000000,0.69284065,0.80740881,0.48000000,0.48958333,0.94000000,0.64383562
