epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68852496,0.51666667,0.54098361,0.22000000,0.31279621,0.68974257,0.53000000,0.57142857,0.24000000,0.33802817
2,0.68057835,0.55333333,0.59523810,0.33333333,0.42735043,0.69668531,0.48000000,0.45833333,0.22000000,0.29729730
3,0.68139738,0.52000000,0.63636364,0.09333333,0.16279070,0.69885534,0.53000000,0.63636364,0.14000000,0.22950820
4,0.67038953,0.61000000,0.64102564,0.50000000,0.56179775,0.69147199,0.50000000,0.50000000,0.40000000,0.44444444
5,0.66825277,0.62000000,0.58108108,0.86000000,0.69354839,0.69022477,0.54000000,0.52631579,0.80000000,0.63492063
6,0.66157216,0.67000000,0.64739884,0.74666667,0.69349845,0.69212961,0.54000000,0.53571429,0.60000000,0.56603774
7,0.66407865,0.62333333,0.57198444,0.98000000,0.72235872,0.69963872,0.55000000,0.52873563,0.92000000,0.67153285
8,0.65709358,0.64666667,0.59090909,0.95333333,0.72959184,0.69309592,0.56000000,0.53750000,0.86000000,0.66153846
9,0.65235710,0.59666667,0.69333333,0.34666667,0.46222222,0.69752860,0.55000000,0.58064516,0.36000000,0.44444444
10,0.64463729,0.67333333,0.62264151,0.88000000,0.72928177,0.70184660,0.51000000,0.50684932,0.74000000,0.60162602
11,0.67256296,0.55666667,0.53003534,1.00000000,0.69284065,0.72595680,0.51000000,0.50515464,0.98000000,0.66666667
12,0.63389331,0.71333333,0.65533981,0.90000000,0.75842697,0.70500672,0.50000000,0.50000000,0.68000000,0.57627119
13,0.63235122,0.67333333,0.61403509,0.93333333,0.74074074,0.70935798,0.54000000,0.52564103,0.82000000,0.64062500
14,0.66825444,0.57333333,0.53985507,0.99333333,0.69953052,0.75010353,0.54000000,0.52127660,0.98000000,0.68055556
15,0.61814618,0.67000000,0.78651685,0.46666667,0.58577406,0.70546359,0.50000000,0.50000000,0.34000000,0.40476190
16,0.61993772,0.63666667,0.82539683,0.34666667,0.48826291,0.71581262,0.51000000,0.52000000,0.26000000,0.34666667
17,0.59677142,0.74000000,0.73376623,0.75333333,0.74342105,0.70636237,0.52000000,0.51785714,0.58000000,0.54716981
18,0.58896774,0.76666667,0.76315789,0.77333333,0.76821192,0.70733809,0.49000000,0.49056604,0.52000000,0.50485437
19,0.58164227,0.76666667,0.73809524,0.82666667,0.77987421,0.71141326,0.44000000,0.44642857,0.50000000,0.47169811
20,0.62322706,0.62000000,0.56923077,0.98666667,0.72195122,0.75832856,0.55000000,0.52873563,0.92000000,0.67153285
21,0.61119252,0.63666667,0.58102767,0.98000000,0.72952854,0.75713295,0.56000000,0.53571429,0.90000000,0.67164179
22,0.55214071,0.77333333,0.78472222,0.75333333,0.76870748,0.72751474,0.49000000,0.48837209,0.42000000,0.45161290
23,0.55347139,0.77333333,0.79710145,0.73333333,0.76388889,0.73917204,0.51000000,0.51063830,0.48000000,0.49484536
24,0.54086047,0.81333333,0.85606061,0.75333333,0.80141844,0.73476607,0.47000000,0.46808511,0.44000000,0.45360825
25,0.55293518,0.78000000,0.92000000,0.61333333,0.73600000,0.73720199,0.52000000,0.52941176,0.36000000,0.42857143
26,0.70031214,0.54333333,0.52280702,0.99333333,0.68505747,0.85104293,0.51000000,0.50515464,0.98000000,0.66666667
27,0.62076426,0.62000000,0.97368421,0.24666667,0.39361702,0.80733955,0.51000000,0.54545455,0.12000000,0.19672131
28,0.52675480,0.77333333,0.96590909,0.56666667,0.71428571,0.73752433,0.54000000,0.56250000,0.36000000,0.43902439
29,0.55689639,0.67666667,1.00000000,0.35333333,0.52216749,0.76575285,0.53000000,0.57894737,0.22000000,0.31884058
30,0.52784646,0.74333333,0.66820276,0.96666667,0.79019074,0.78369629,0.49000000,0.49333333,0.74000000,0.59200000
31,0.60466760,0.65000000,0.58893281,0.99333333,0.73945409,0.85760897,0.57000000,0.53932584,0.96000000,0.69064748
32,0.47119537,0.80000000,0.76470588,0.86666667,0.81250000,0.78104097,0.52000000,0.51724138,0.60000000,0.55555556
33,0.49966720,0.75000000,0.88659794,0.57333333,0.69635628,0.77553672,0.54000000,0.55263158,0.42000000,0.47727273
34,0.46686238,0.87000000,0.88275862,0.85333333,0.86779661,0.77307314,0.50000000,0.50000000,0.48000000,0.48979592
35,0.55052185,0.66666667,0.98076923,0.34000000,0.50495050,0.85296798,0.56000000,0.68750000,0.22000000,0.33333333
36,0.48418188,0.80666667,0.96000000,0.64000000,0.76800000,0.82168698,0.55000000,0.57142857,0.40000000,0.47058824
37,0.51645845,0.70666667,0.98437500,0.42000000,0.58878505,0.86691725,0.54000000,0.59090909,0.26000000,0.36111111
38,0.63930583,0.59000000,1.00000000,0.18000000,0.30508475,0.95119387,0.54000000,0.66666667,0.16000000,0.25806452
39,0.41521648,0.89666667,0.95419847,0.83333333,0.88967972,0.83055270,0.52000000,0.52631579,0.40000000,0.45454545
40,0.49466121,0.73000000,0.65198238,0.98666667,0.78514589,0.91046816,0.53000000,0.51948052,0.80000000,0.62992126
41,0.39698455,0.87666667,0.82658960,0.95333333,0.88544892,0.83651489,0.48000000,0.48333333,0.58000000,0.52727273
42,0.70132804,0.62000000,0.56870229,0.99333333,0.72330097,1.07101691,0.54000000,0.52222222,0.94000000,0.67142857
43,0.51193166,0.68333333,0.98245614,0.37333333,0.54106280,0.87598819,0.48000000,0.43750000,0.14000000,0.21212121
44,0.37109712,0.89000000,0.91489362,0.86000000,0.88659794,0.89250070,0.48000000,0.48000000,0.48000000,0.48000000
45,0.47375748,0.73666667,0.65919283,0.98000000,0.78820375,0.98973465,0.56000000,0.53947368,0.82000000,0.65079365
46,0.38702247,0.82666667,0.75257732,0.97333333,0.84883721,0.91895193,0.52000000,0.51388889,0.74000000,0.60655738
47,0.46980530,0.75333333,0.67272727,0.98666667,0.80000000,1.00204170,0.54000000,0.52564103,0.82000000,0.64062500
48,0.49264500,0.68333333,1.00000000,0.36666667,0.53658537,0.99213821,0.54000000,0.61111111,0.22000000,0.32352941
49,0.45821524,0.74000000,0.66071429,0.98666667,0.79144385,0.96146929,0.51000000,0.50602410,0.84000000,0.63157895
