epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68943352,0.57333333,0.59482759,0.46000000,0.51879699,0.69145101,0.51000000,0.51111111,0.46000000,0.48421053
2,0.68210512,0.56666667,0.61904762,0.34666667,0.44444444,0.69630617,0.47000000,0.45714286,0.32000000,0.37647059
3,0.67840302,0.58333333,0.68656716,0.30666667,0.42396313,0.69992530,0.49000000,0.48275862,0.28000000,0.35443038
4,0.67391610,0.56333333,0.72093023,0.20666667,0.32124352,0.70223355,0.48000000,0.45454545,0.20000000,0.27777778
5,0.66714144,0.64000000,0.61538462,0.74666667,0.67469880,0.69904482,0.49000000,0.49152542,0.58000000,0.53211009
6,0.66265488,0.68000000,0.71428571,0.60000000,0.65217391,0.70090330,0.47000000,0.46666667,0.42000000,0.44210526
7,0.65806097,0.68000000,0.73275862,0.56666667,0.63909774,0.70204061,0.48000000,0.47826087,0.44000000,0.45833333
8,0.65511054,0.65666667,0.61463415,0.84000000,0.70985915,0.70293254,0.52000000,0.51351351,0.76000000,0.61290323
9,0.65675610,0.59666667,0.79591837,0.26000000,0.39195980,0.71155429,0.50000000,0.50000000,0.24000000,0.32432432
10,0.64450544,0.66000000,0.62631579,0.79333333,0.70000000,0.70540923,0.52000000,0.51470588,0.70000000,0.59322034
11,0.69826519,0.54000000,0.52083333,1.00000000,0.68493151,0.72640580,0.50000000,0.50000000,0.94000000,0.65277778
12,0.63748962,0.67000000,0.63076923,0.82000000,0.71304348,0.71130121,0.51000000,0.50769231,0.66000000,0.57391304
13,0.66164356,0.56000000,0.82142857,0.15333333,0.25842697,0.73430222,0.48000000,0.43750000,0.14000000,0.21212121
14,0.63930005,0.60000000,0.82608696,0.25333333,0.38775510,0.72775817,0.45000000,0.33333333,0.10000000,0.15384615
15,0.62364668,0.67666667,0.82716049,0.44666667,0.58008658,0.72208768,0.54000000,0.56250000,0.36000000,0.43902439
16,0.60943490,0.72000000,0.70121951,0.76666667,0.73248408,0.71392882,0.56000000,0.55357143,0.62000000,0.58490566
17,0.69518065,0.54333333,0.52313167,0.98000000,0.68213457,0.77054042,0.52000000,0.51111111,0.92000000,0.65714286
18,0.59673780,0.75666667,0.77697842,0.72000000,0.74740484,0.73013395,0.50000000,0.50000000,0.52000000,0.50980392
19,0.60716575,0.65333333,0.81081081,0.40000000,0.53571429,0.74472731,0.53000000,0.55172414,0.32000000,0.40506329
20,0.58360648,0.77666667,0.81203008,0.72000000,0.76325088,0.73037016,0.51000000,0.51063830,0.48000000,0.49484536
21,0.57900983,0.76333333,0.82113821,0.67333333,0.73992674,0.72549605,0.55000000,0.55813953,0.48000000,0.51612903
22,0.71928173,0.52666667,1.00000000,0.05333333,0.10126582,0.82837844,0.51000000,0.60000000,0.06000000,0.10909091
23,0.61437052,0.61333333,0.56746032,0.95333333,0.71144279,0.76934683,0.52000000,0.51190476,0.86000000,0.64179104
24,0.57312411,0.73000000,0.67164179,0.90000000,0.76923077,0.74404496,0.52000000,0.51428571,0.72000000,0.60000000
25,0.54546988,0.77333333,0.73837209,0.84666667,0.78881988,0.74380821,0.52000000,0.51666667,0.62000000,0.56363636
26,0.55144048,0.78666667,0.73888889,0.88666667,0.80606061,0.72856706,0.52000000,0.51724138,0.60000000,0.55555556
27,0.57391524,0.71000000,0.95652174,0.44000000,0.60273973,0.74725449,0.46000000,0.41666667,0.20000000,0.27027027
28,0.54668343,0.75666667,0.68780488,0.94000000,0.79436620,0.75222063,0.56000000,0.54166667,0.78000000,0.63934426
29,0.51741499,0.83000000,0.80745342,0.86666667,0.83601286,0.74312329,0.55000000,0.54716981,0.58000000,0.56310680
30,0.51070291,0.78333333,0.72972973,0.90000000,0.80597015,0.76225585,0.52000000,0.51428571,0.72000000,0.60000000
31,0.60087401,0.64000000,0.58333333,0.98000000,0.73134328,0.81480867,0.55000000,0.53012048,0.88000000,0.66165414
32,0.70915151,0.56333333,0.53429603,0.98666667,0.69320843,0.90434653,0.50000000,0.50000000,0.92000000,0.64788732
