epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68835276,0.53000000,0.54368932,0.37333333,0.44268775,0.69671124,0.48000000,0.47619048,0.40000000,0.43478261
2,0.68352163,0.64666667,0.67741935,0.56000000,0.61313869,0.69931710,0.47000000,0.46808511,0.44000000,0.45360825
3,0.67941040,0.66000000,0.65384615,0.68000000,0.66666667,0.70215207,0.49000000,0.49056604,0.52000000,0.50485437
4,0.67643577,0.64333333,0.69369369,0.51333333,0.59003831,0.70468563,0.46000000,0.45000000,0.36000000,0.40000000
5,0.67321891,0.69000000,0.66101695,0.78000000,0.71559633,0.70410591,0.51000000,0.50847458,0.60000000,0.55045872
6,0.67291641,0.59333333,0.55882353,0.88666667,0.68556701,0.70372021,0.48000000,0.48717949,0.76000000,0.59375000
7,0.66674560,0.69333333,0.68354430,0.72000000,0.70129870,0.70441806,0.53000000,0.52830189,0.56000000,0.54368932
8,0.66304779,0.69000000,0.73553719,0.59333333,0.65682657,0.70591825,0.48000000,0.47368421,0.36000000,0.40909091
9,0.66803461,0.56666667,0.85714286,0.16000000,0.26966292,0.71455216,0.51000000,0.53846154,0.14000000,0.22222222
10,0.67693806,0.51666667,1.00000000,0.03333333,0.06451613,0.72790617,0.51000000,0.57142857,0.08000000,0.14035088
11,0.66744006,0.54333333,0.84210526,0.10666667,0.18934911,0.72279197,0.52000000,0.60000000,0.12000000,0.20000000
12,0.67091149,0.54666667,0.52482270,0.98666667,0.68518519,0.72145522,0.50000000,0.50000000,0.94000000,0.65277778
13,0.64534366,0.71666667,0.67015707,0.85333333,0.75073314,0.70750070,0.55000000,0.53968254,0.68000000,0.60176991
14,0.63892710,0.73666667,0.71515152,0.78666667,0.74920635,0.71318954,0.49000000,0.49090909,0.54000000,0.51428571
15,0.66383022,0.55000000,0.85714286,0.12000000,0.21052632,0.73943496,0.52000000,0.62500000,0.10000000,0.17241379
16,0.65102935,0.60666667,0.56106870,0.98000000,0.71359223,0.72733307,0.49000000,0.49438202,0.88000000,0.63309353
17,0.62710011,0.70000000,0.80612245,0.52666667,0.63709677,0.71882367,0.48000000,0.47058824,0.32000000,0.38095238
18,0.62627482,0.68333333,0.79569892,0.49333333,0.60905350,0.72477913,0.50000000,0.50000000,0.32000000,0.39024390
19,0.61730695,0.73666667,0.70520231,0.81333333,0.75541796,0.72755402,0.51000000,0.50819672,0.62000000,0.55855856
20,0.61679131,0.66333333,0.82666667,0.41333333,0.55111111,0.73101914,0.47000000,0.44444444,0.24000000,0.31168831
21,0.60066283,0.75666667,0.72514620,0.82666667,0.77258567,0.72383434,0.50000000,0.50000000,0.56000000,0.52830189
22,0.59683764,0.73000000,0.66995074,0.90666667,0.77053824,0.73020726,0.54000000,0.52857143,0.74000000,0.61666667
23,0.61445647,0.61666667,0.87234043,0.27333333,0.41624365,0.75729024,0.50000000,0.50000000,0.16000000,0.24242424
24,0.57939798,0.78666667,0.73888889,0.88666667,0.80606061,0.72980499,0.53000000,0.52459016,0.64000000,0.57657658
25,0.58602762,0.72333333,0.90361446,0.50000000,0.64377682,0.73930556,0.47000000,0.43478261,0.20000000,0.27397260
26,0.58785832,0.70000000,0.63274336,0.95333333,0.76063830,0.74368942,0.49000000,0.49367089,0.78000000,0.60465116
27,0.61066478,0.64000000,0.58267717,0.98666667,0.73267327,0.78708237,0.52000000,0.51136364,0.90000000,0.65217391
28,0.54947197,0.79666667,0.78343949,0.82000000,0.80130293,0.75325406,0.53000000,0.52727273,0.58000000,0.55238095
29,0.53770447,0.80333333,0.78616352,0.83333333,0.80906149,0.74963653,0.51000000,0.50909091,0.56000000,0.53333333
30,0.53127038,0.82000000,0.77272727,0.90666667,0.83435583,0.75804853,0.51000000,0.50793651,0.64000000,0.56637168
31,0.52060384,0.81333333,0.85074627,0.76000000,0.80281690,0.75606281,0.49000000,0.48717949,0.38000000,0.42696629
32,0.57064617,0.65333333,0.96000000,0.32000000,0.48000000,0.81981784,0.51000000,0.53333333,0.16000000,0.24615385
33,0.54543012,0.71333333,0.64285714,0.96000000,0.77005348,0.77666503,0.50000000,0.50000000,0.78000000,0.60937500
34,0.49613225,0.83666667,0.79190751,0.91333333,0.84829721,0.77175182,0.54000000,0.53333333,0.64000000,0.58181818
35,0.49603355,0.81333333,0.75824176,0.92000000,0.83132530,0.77476370,0.52000000,0.51515152,0.68000000,0.58620690
36,0.57215679,0.65666667,0.59362550,0.99333333,0.74314214,0.82652909,0.52000000,0.51162791,0.88000000,0.64705882
37,0.52821499,0.74666667,0.66666667,0.98666667,0.79569892,0.80056792,0.52000000,0.51351351,0.76000000,0.61290323
38,0.49729729,0.79000000,0.71859296,0.95333333,0.81948424,0.79036576,0.50000000,0.50000000,0.68000000,0.57627119
39,0.47922966,0.81666667,0.92792793,0.68666667,0.78927203,0.81606567,0.50000000,0.50000000,0.30000000,0.37500000
40,0.47419450,0.83666667,0.93162393,0.72666667,0.81647940,0.82865113,0.48000000,0.47500000,0.38000000,0.42222222
41,0.44332331,0.86000000,0.90909091,0.80000000,0.85106383,0.80393291,0.51000000,0.51282051,0.40000000,0.44943820
42,0.47817761,0.77000000,0.95505618,0.56666667,0.71129707,0.86463606,0.47000000,0.43478261,0.20000000,0.27397260
43,0.43210578,0.87666667,0.91240876,0.83333333,0.87108014,0.83511847,0.51000000,0.51162791,0.44000000,0.47311828
44,0.42745337,0.87666667,0.93798450,0.80666667,0.86738351,0.86150831,0.51000000,0.51282051,0.40000000,0.44943820
45,0.46646759,0.77666667,0.69302326,0.99333333,0.81643836,0.87233633,0.51000000,0.50684932,0.74000000,0.60162602
46,0.44843060,0.81666667,0.73399015,0.99333333,0.84419263,0.84546888,0.50000000,0.50000000,0.72000000,0.59016393
47,0.56283855,0.62333333,1.00000000,0.24666667,0.39572193,1.01615417,0.50000000,0.50000000,0.12000000,0.19354839
48,0.67896712,0.60666667,0.55970149,1.00000000,0.71770335,1.04235816,0.52000000,0.51086957,0.94000000,0.66197183
