epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68187219,0.59000000,0.60975610,0.50000000,0.54945055,0.69470054,0.56000000,0.56000000,0.56000000,0.56000000
2,0.70110434,0.50333333,0.50168350,0.99333333,0.66666667,0.71832466,0.51000000,0.50505051,1.00000000,0.67114094
3,0.67382592,0.57000000,0.54625551,0.82666667,0.65782493,0.70330626,0.48000000,0.48717949,0.76000000,0.59375000
4,0.67557579,0.56000000,0.53333333,0.96000000,0.68571429,0.70835280,0.49000000,0.49473684,0.94000000,0.64827586
5,0.66186988,0.64000000,0.69090909,0.50666667,0.58461538,0.70235658,0.49000000,0.48780488,0.40000000,0.43956044
6,0.65723288,0.66333333,0.63243243,0.78000000,0.69850746,0.70028293,0.51000000,0.50746269,0.68000000,0.58119658
7,0.67584401,0.55000000,0.52650177,0.99333333,0.68822171,0.71723890,0.50000000,0.50000000,0.98000000,0.66216216
8,0.66945648,0.56333333,0.53405018,0.99333333,0.69463869,0.71432394,0.49000000,0.49484536,0.96000000,0.65306122
9,0.66213202,0.57666667,0.54243542,0.98000000,0.69833729,0.71130878,0.49000000,0.49484536,0.96000000,0.65306122
10,0.65755779,0.59000000,0.80000000,0.24000000,0.36923077,0.71553123,0.49000000,0.47619048,0.20000000,0.28169014
11,0.64027447,0.69333333,0.66111111,0.79333333,0.72121212,0.70387292,0.48000000,0.48437500,0.62000000,0.54385965
12,0.63984740,0.66333333,0.78160920,0.45333333,0.57383966,0.70644820,0.45000000,0.41379310,0.24000000,0.30379747
13,0.65134931,0.59000000,0.81395349,0.23333333,0.36269430,0.71643651,0.49000000,0.47368421,0.18000000,0.26086957
14,0.65381616,0.57666667,0.54181818,0.99333333,0.70117647,0.72320324,0.47000000,0.48421053,0.92000000,0.63448276
15,0.65477878,0.56666667,0.81250000,0.17333333,0.28571429,0.73081297,0.53000000,0.60000000,0.18000000,0.27692308
16,0.62265170,0.74666667,0.73417722,0.77333333,0.75324675,0.70960033,0.47000000,0.47058824,0.48000000,0.47524752
17,0.62210023,0.69000000,0.63636364,0.88666667,0.74094708,0.71344680,0.47000000,0.47945205,0.70000000,0.56910569
18,0.62891936,0.64000000,0.81818182,0.36000000,0.50000000,0.72148603,0.48000000,0.45833333,0.22000000,0.29729730
19,0.61922538,0.66666667,0.60964912,0.92666667,0.73544974,0.71469086,0.48000000,0.48717949,0.76000000,0.59375000
20,0.61694872,0.68000000,0.81395349,0.46666667,0.59322034,0.71636051,0.49000000,0.48000000,0.24000000,0.32000000
21,0.64107871,0.60333333,0.89743590,0.23333333,0.37037037,0.73921448,0.51000000,0.52941176,0.18000000,0.26865672
22,0.62953591,0.63666667,0.58039216,0.98666667,0.73086420,0.73293239,0.51000000,0.50549451,0.92000000,0.65248227
23,0.65204465,0.58000000,0.54347826,1.00000000,0.70422535,0.75149548,0.50000000,0.50000000,0.94000000,0.65277778
24,0.59906894,0.71666667,0.65402844,0.92000000,0.76454294,0.71135247,0.47000000,0.48000000,0.72000000,0.57600000
25,0.59505522,0.71666667,0.64976959,0.94000000,0.76839237,0.71981871,0.45000000,0.46666667,0.70000000,0.56000000
26,0.63816142,0.58333333,0.85714286,0.20000000,0.32432432,0.75470334,0.54000000,0.62500000,0.20000000,0.30303030
27,0.58442712,0.73666667,0.83809524,0.58666667,0.69019608,0.71412557,0.50000000,0.50000000,0.32000000,0.39024390
28,0.57315278,0.76000000,0.73780488,0.80666667,0.77070064,0.71754879,0.44000000,0.44642857,0.50000000,0.47169811
29,0.60320097,0.65666667,0.59437751,0.98666667,0.74185464,0.73956954,0.49000000,0.49438202,0.88000000,0.63309353
30,0.57462883,0.74000000,0.66981132,0.94666667,0.78453039,0.72740018,0.49000000,0.49333333,0.74000000,0.59200000
31,0.56101143,0.78000000,0.77631579,0.78666667,0.78145695,0.72182447,0.46000000,0.45833333,0.44000000,0.44897959
32,0.58435017,0.68666667,0.61764706,0.98000000,0.75773196,0.73581803,0.48000000,0.48809524,0.82000000,0.61194030
33,0.63854742,0.59666667,0.96774194,0.20000000,0.33149171,0.78524297,0.54000000,0.66666667,0.16000000,0.25806452
