epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69162571,0.54666667,0.56603774,0.40000000,0.46875000,0.69201356,0.55000000,0.55555556,0.50000000,0.52631579
2,0.68930775,0.54333333,0.58666667,0.29333333,0.39111111,0.69394863,0.50000000,0.50000000,0.30000000,0.37500000
3,0.68449086,0.60333333,0.61151079,0.56666667,0.58823529,0.69951385,0.46000000,0.46296296,0.50000000,0.48076923
4,0.67812002,0.58666667,0.65116279,0.37333333,0.47457627,0.70558304,0.41000000,0.35483871,0.22000000,0.27160494
5,0.67073643,0.62666667,0.59223301,0.81333333,0.68539326,0.70680946,0.44000000,0.45833333,0.66000000,0.54098361
6,0.66561395,0.65666667,0.67669173,0.60000000,0.63604240,0.70646894,0.43000000,0.42857143,0.42000000,0.42424242
7,0.65878022,0.65666667,0.70085470,0.54666667,0.61423221,0.70856351,0.45000000,0.43902439,0.36000000,0.39560440
8,0.65569562,0.65333333,0.60550459,0.88000000,0.71739130,0.71269375,0.42000000,0.44871795,0.70000000,0.54687500
9,0.66777873,0.56666667,0.79411765,0.18000000,0.29347826,0.72158688,0.46000000,0.25000000,0.04000000,0.06896552
10,0.64619631,0.65666667,0.60930233,0.87333333,0.71780822,0.71549743,0.44000000,0.46052632,0.70000000,0.55555556
11,0.68829536,0.53333333,0.51736111,0.99333333,0.68036530,0.74655974,0.50000000,0.50000000,0.96000000,0.65753425
12,0.63298047,0.68333333,0.64550265,0.81333333,0.71976401,0.71868503,0.47000000,0.47826087,0.66000000,0.55462185
13,0.67215669,0.55333333,0.94444444,0.11333333,0.20238095,0.74243605,0.48000000,0.25000000,0.02000000,0.03703704
14,0.64302146,0.59666667,0.89189189,0.22000000,0.35294118,0.72625744,0.48000000,0.40000000,0.08000000,0.13333333
15,0.62131858,0.71666667,0.83505155,0.54000000,0.65587045,0.71665066,0.56000000,0.59375000,0.38000000,0.46341463
16,0.60859185,0.74000000,0.72222222,0.78000000,0.75000000,0.71487027,0.47000000,0.47619048,0.60000000,0.53097345
17,0.66656691,0.55666667,0.53003534,1.00000000,0.69284065,0.76936936,0.49000000,0.49473684,0.94000000,0.64827586
18,0.59571433,0.72333333,0.71069182,0.75333333,0.73139159,0.72816008,0.49000000,0.49206349,0.62000000,0.54867257
19,0.59555930,0.71000000,0.84615385,0.51333333,0.63900415,0.72696447,0.51000000,0.51612903,0.32000000,0.39506173
20,0.58622354,0.76000000,0.86792453,0.61333333,0.71875000,0.72326142,0.46000000,0.44444444,0.32000000,0.37209302
21,0.57321364,0.77666667,0.75151515,0.82666667,0.78730159,0.71546316,0.49000000,0.49152542,0.58000000,0.53211009
22,0.72245252,0.51666667,1.00000000,0.03333333,0.06451613,0.82986182,0.50000000,0.00000000,0.00000000,0.00000000
23,0.59824097,0.66000000,0.59836066,0.97333333,0.74111675,0.76886404,0.49000000,0.49425287,0.86000000,0.62773723
24,0.55423063,0.75000000,0.69035533,0.90666667,0.78386167,0.74222654,0.47000000,0.48000000,0.72000000,0.57600000
25,0.56649244,0.71333333,0.64678899,0.94000000,0.76630435,0.75126386,0.47000000,0.48148148,0.78000000,0.59541985
26,0.54974544,0.77666667,0.88785047,0.63333333,0.73929961,0.72380811,0.53000000,0.55172414,0.32000000,0.40506329
27,0.56236392,0.72000000,0.98529412,0.44666667,0.61467890,0.75295532,0.53000000,0.61538462,0.16000000,0.25396825
28,0.54512709,0.72666667,0.65454545,0.96000000,0.77837838,0.75136298,0.49000000,0.49382716,0.80000000,0.61068702
29,0.52327108,0.78333333,0.72020725,0.92666667,0.81049563,0.72379911,0.46000000,0.47142857,0.66000000,0.55000000
30,0.52079362,0.77333333,0.69902913,0.96000000,0.80898876,0.74982971,0.49000000,0.49350649,0.76000000,0.59842520
31,0.57238472,0.65333333,0.59126984,0.99333333,0.74129353,0.79086876,0.52000000,0.51136364,0.90000000,0.65217391
32,0.71352756,0.56333333,0.53380783,1.00000000,0.69605568,0.93457824,0.48000000,0.48958333,0.94000000,0.64383562
