epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68994927,0.52666667,0.51851852,0.74666667,0.61202186,0.69168133,0.55000000,0.53731343,0.72000000,0.61538462
2,0.68705124,0.51333333,0.53571429,0.20000000,0.29126214,0.69685209,0.49000000,0.48000000,0.24000000,0.32000000
3,0.68323100,0.57666667,0.57324841,0.60000000,0.58631922,0.70175195,0.43000000,0.44262295,0.54000000,0.48648649
4,0.68347281,0.54000000,0.80000000,0.10666667,0.18823529,0.69024259,0.53000000,0.66666667,0.12000000,0.20338983
5,0.68178660,0.59000000,0.62162162,0.46000000,0.52873563,0.69464046,0.49000000,0.48936170,0.46000000,0.47422680
6,0.67648113,0.58333333,0.63157895,0.40000000,0.48979592,0.68890560,0.59000000,0.65517241,0.38000000,0.48101266
7,0.67501020,0.56666667,0.76315789,0.19333333,0.30851064,0.69675457,0.52000000,0.56250000,0.18000000,0.27272727
8,0.66571635,0.67000000,0.62439024,0.85333333,0.72112676,0.69371396,0.49000000,0.49253731,0.66000000,0.56410256
9,0.65936518,0.72333333,0.71337580,0.74666667,0.72964169,0.69779158,0.47000000,0.47272727,0.52000000,0.49523810
10,0.65299368,0.69333333,0.65263158,0.82666667,0.72941176,0.69011468,0.55000000,0.54098361,0.66000000,0.59459459
11,0.67553306,0.55000000,0.80000000,0.13333333,0.22857143,0.72141767,0.51000000,0.53846154,0.14000000,0.22222222
12,0.64686489,0.68000000,0.62735849,0.88666667,0.73480663,0.69179940,0.57000000,0.55555556,0.70000000,0.61946903
13,0.64817023,0.61666667,0.56862745,0.96666667,0.71604938,0.71365994,0.51000000,0.50574713,0.88000000,0.64233577
14,0.66290480,0.50666667,0.75000000,0.02000000,0.03896104,0.71475464,0.52000000,1.00000000,0.04000000,0.07692308
15,0.69363731,0.50000000,0.00000000,0.00000000,0.00000000,0.73321396,0.50000000,0.00000000,0.00000000,0.00000000
16,0.61273152,0.71000000,0.73333333,0.66000000,0.69473684,0.71497411,0.52000000,0.51923077,0.54000000,0.52941176
17,0.59426320,0.75000000,0.72189349,0.81333333,0.76489028,0.69550461,0.55000000,0.54237288,0.64000000,0.58715596
18,0.62121624,0.65333333,0.82857143,0.38666667,0.52727273,0.73594570,0.54000000,0.62500000,0.20000000,0.30303030
19,0.61238968,0.68000000,0.61344538,0.97333333,0.75257732,0.72060865,0.53000000,0.51851852,0.84000000,0.64122137
20,0.59559900,0.74333333,0.79200000,0.66000000,0.72000000,0.70455962,0.47000000,0.46341463,0.38000000,0.41758242
21,0.56539941,0.78333333,0.84552846,0.69333333,0.76190476,0.72371322,0.50000000,0.50000000,0.36000000,0.41860465
22,0.61334294,0.62333333,0.62091503,0.63333333,0.62706271,0.77051467,0.48000000,0.48214286,0.54000000,0.50943396
23,0.59373051,0.66000000,0.92857143,0.34666667,0.50485437,0.76056087,0.51000000,0.52631579,0.20000000,0.28985507
24,0.55755758,0.74000000,0.66822430,0.95333333,0.78571429,0.76744276,0.49000000,0.49333333,0.74000000,0.59200000
25,0.55293721,0.75333333,0.69387755,0.90666667,0.78612717,0.76384932,0.47000000,0.47826087,0.66000000,0.55462185
26,0.54318815,0.78666667,0.81617647,0.74000000,0.77622378,0.75349015,0.47000000,0.46666667,0.42000000,0.44210526
27,0.51505899,0.78666667,0.74712644,0.86666667,0.80246914,0.75159818,0.54000000,0.53448276,0.62000000,0.57407407
28,0.51475483,0.77666667,0.71727749,0.91333333,0.80351906,0.75340337,0.56000000,0.54687500,0.70000000,0.61403509
29,0.49769381,0.82000000,0.78571429,0.88000000,0.83018868,0.77694279,0.49000000,0.49152542,0.58000000,0.53211009
30,0.47841105,0.81000000,0.75135135,0.92666667,0.82985075,0.79216421,0.52000000,0.51515152,0.68000000,0.58620690
31,0.48458076,0.80333333,0.73333333,0.95333333,0.82898551,0.75386029,0.57000000,0.55384615,0.72000000,0.62608696
32,0.47118348,0.83333333,0.83783784,0.82666667,0.83221477,0.78401822,0.54000000,0.53703704,0.58000000,0.55769231
33,0.50325459,0.77000000,0.68837209,0.98666667,0.81095890,0.82806504,0.53000000,0.52000000,0.78000000,0.62400000
34,0.54723829,0.67666667,0.93442623,0.38000000,0.54028436,0.93579024,0.54000000,0.61111111,0.22000000,0.32352941
35,0.48788005,0.79000000,0.94845361,0.61333333,0.74493927,0.80256712,0.50000000,0.50000000,0.30000000,0.37500000
36,0.45531115,0.79333333,0.72000000,0.96000000,0.82285714,0.86460698,0.50000000,0.50000000,0.74000000,0.59677419
37,0.45543152,0.81333333,0.95192308,0.66000000,0.77952756,0.89922047,0.47000000,0.44827586,0.26000000,0.32911392
38,0.51814681,0.74333333,0.67298578,0.94666667,0.78670360,0.95582700,0.48000000,0.48611111,0.70000000,0.57377049
39,0.41728923,0.88000000,0.83928571,0.94000000,0.88679245,0.78327495,0.54000000,0.53333333,0.64000000,0.58181818
40,0.37537971,0.85666667,0.81656805,0.92000000,0.86520376,0.90273786,0.50000000,0.50000000,0.58000000,0.53703704
41,0.39133802,0.84333333,0.89922481,0.77333333,0.83154122,0.92555881,0.47000000,0.45454545,0.30000000,0.36144578
