epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68523747,0.53666667,0.54621849,0.43333333,0.48327138,0.70281708,0.44000000,0.41666667,0.30000000,0.34883721
2,0.67978221,0.52333333,0.54117647,0.30666667,0.39148936,0.70195472,0.49000000,0.48387097,0.30000000,0.37037037
3,0.67231399,0.59000000,0.57068063,0.72666667,0.63929619,0.69509095,0.55000000,0.54237288,0.64000000,0.58715596
4,0.67088646,0.60000000,0.56637168,0.85333333,0.68085106,0.69875044,0.63000000,0.58666667,0.88000000,0.70400000
5,0.69515038,0.52666667,0.51418440,0.96666667,0.67129630,0.72241467,0.52000000,0.51020408,1.00000000,0.67567568
6,0.66527796,0.59666667,0.56170213,0.88000000,0.68571429,0.70062745,0.61000000,0.57142857,0.88000000,0.69291339
7,0.65499622,0.63666667,0.67521368,0.52666667,0.59176030,0.69502980,0.52000000,0.52272727,0.46000000,0.48936170
8,0.65718275,0.60333333,0.56431535,0.90666667,0.69565217,0.70029020,0.62000000,0.57500000,0.92000000,0.70769231
9,0.65691316,0.60000000,0.56048387,0.92666667,0.69849246,0.70398086,0.58000000,0.54651163,0.94000000,0.69117647
10,0.66576320,0.59666667,0.55513308,0.97333333,0.70702179,0.71758735,0.53000000,0.51648352,0.94000000,0.66666667
11,0.64237225,0.63333333,0.59259259,0.85333333,0.69945355,0.70103252,0.57000000,0.55072464,0.76000000,0.63865546
12,0.63442367,0.69666667,0.65775401,0.82000000,0.72997033,0.69472182,0.56000000,0.54687500,0.70000000,0.61403509
13,0.64978963,0.60666667,0.56250000,0.96000000,0.70935961,0.71143812,0.59000000,0.55294118,0.94000000,0.69629630
14,0.67944551,0.52333333,0.88888889,0.05333333,0.10062893,0.74008894,0.50000000,0.50000000,0.04000000,0.07407407
15,0.64444238,0.62000000,0.57086614,0.96666667,0.71782178,0.71584958,0.59000000,0.55294118,0.94000000,0.69629630
16,0.61555231,0.72333333,0.71337580,0.74666667,0.72964169,0.69298613,0.51000000,0.50877193,0.58000000,0.54205607
17,0.63904834,0.55666667,0.84000000,0.14000000,0.24000000,0.71430218,0.49000000,0.42857143,0.06000000,0.10526316
18,0.61782044,0.66333333,0.87692308,0.38000000,0.53023256,0.69965440,0.51000000,0.52000000,0.26000000,0.34666667
19,0.62478638,0.64333333,0.58704453,0.96666667,0.73047859,0.70869589,0.57000000,0.54430380,0.86000000,0.66666667
20,0.67794424,0.52666667,1.00000000,0.05333333,0.10126582,0.76032728,0.52000000,1.00000000,0.04000000,0.07692308
21,0.70919150,0.51333333,1.00000000,0.02666667,0.05194805,0.79276210,0.51000000,1.00000000,0.02000000,0.03921569
22,0.58933401,0.76666667,0.75316456,0.79333333,0.77272727,0.69432980,0.56000000,0.55769231,0.58000000,0.56862745
23,0.61362576,0.63666667,0.58299595,0.96000000,0.72544081,0.72733152,0.57000000,0.54216867,0.90000000,0.67669173
24,0.61757725,0.57000000,0.83870968,0.17333333,0.28729282,0.72815198,0.49000000,0.45454545,0.10000000,0.16393443
25,0.61561972,0.58333333,0.87878788,0.19333333,0.31693989,0.73198223,0.50000000,0.50000000,0.12000000,0.19354839
26,0.57444972,0.79000000,0.87179487,0.68000000,0.76404494,0.69802696,0.53000000,0.54054054,0.40000000,0.45977011
27,0.59826899,0.62000000,0.89130435,0.27333333,0.41836735,0.72443616,0.51000000,0.52941176,0.18000000,0.26865672
28,0.57184595,0.73666667,0.90804598,0.52666667,0.66666667,0.70910019,0.54000000,0.56250000,0.36000000,0.43902439
29,0.62311143,0.55333333,1.00000000,0.10666667,0.19277108,0.76804394,0.50000000,0.50000000,0.10000000,0.16666667
30,0.61402458,0.64000000,0.58267717,0.98666667,0.73267327,0.76609409,0.56000000,0.53571429,0.90000000,0.67164179
31,0.57287353,0.69333333,0.62500000,0.96666667,0.75916230,0.73061156,0.55000000,0.53164557,0.84000000,0.65116279
32,0.53957635,0.82333333,0.83448276,0.80666667,0.82033898,0.71086353,0.58000000,0.58695652,0.54000000,0.56250000
33,0.57690209,0.67000000,0.60580913,0.97333333,0.74680307,0.73967177,0.56000000,0.53658537,0.88000000,0.66666667
34,0.53876996,0.78666667,0.71287129,0.96000000,0.81818182,0.71462429,0.59000000,0.56716418,0.76000000,0.64957265
35,0.52459526,0.83666667,0.85815603,0.80666667,0.83161512,0.70821774,0.56000000,0.57500000,0.46000000,0.51111111
36,0.57242298,0.64666667,0.97826087,0.30000000,0.45918367,0.75514817,0.52000000,0.57142857,0.16000000,0.25000000
37,0.52857506,0.78000000,0.70792079,0.95333333,0.81250000,0.72528732,0.57000000,0.55223881,0.74000000,0.63247863
38,0.61910135,0.64333333,0.58431373,0.99333333,0.73580247,0.81194645,0.53000000,0.51724138,0.90000000,0.65693431
