epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68926686,0.53333333,0.55000000,0.36666667,0.44000000,0.70083249,0.44000000,0.39285714,0.22000000,0.28205128
2,0.68163329,0.56333333,0.57851240,0.46666667,0.51660517,0.69906110,0.42000000,0.37500000,0.24000000,0.29268293
3,0.67655450,0.59666667,0.57591623,0.73333333,0.64516129,0.69799513,0.52000000,0.51666667,0.62000000,0.56363636
4,0.67581320,0.57000000,0.75609756,0.20666667,0.32460733,0.70565993,0.48000000,0.43750000,0.14000000,0.21212121
5,0.66870356,0.61333333,0.57589286,0.86000000,0.68983957,0.69953322,0.53000000,0.52238806,0.70000000,0.59829060
6,0.66368383,0.65666667,0.62702703,0.77333333,0.69253731,0.70210266,0.48000000,0.48333333,0.58000000,0.52727273
7,0.65962565,0.67333333,0.65476190,0.73333333,0.69182390,0.70247728,0.52000000,0.51851852,0.56000000,0.53846154
8,0.67509592,0.55000000,0.52631579,1.00000000,0.68965517,0.71626049,0.49000000,0.49473684,0.94000000,0.64827586
9,0.65474313,0.66666667,0.61160714,0.91333333,0.73262032,0.69807583,0.55000000,0.53623188,0.74000000,0.62184874
10,0.64522398,0.71333333,0.69753086,0.75333333,0.72435897,0.70404160,0.47000000,0.46808511,0.44000000,0.45360825
11,0.64238489,0.71666667,0.67015707,0.85333333,0.75073314,0.70200461,0.51000000,0.50819672,0.62000000,0.55855856
12,0.64030182,0.68666667,0.83333333,0.46666667,0.59829060,0.70763683,0.51000000,0.51724138,0.30000000,0.37974684
13,0.63487881,0.70000000,0.63761468,0.92666667,0.75543478,0.70944738,0.54000000,0.52941176,0.72000000,0.61016949
14,0.63441908,0.64666667,0.85483871,0.35333333,0.50000000,0.71775693,0.51000000,0.52173913,0.24000000,0.32876712
15,0.63223535,0.61666667,0.87234043,0.27333333,0.41624365,0.72270477,0.54000000,0.60000000,0.24000000,0.34285714
16,0.61553466,0.73333333,0.70588235,0.80000000,0.75000000,0.71121579,0.49000000,0.49019608,0.50000000,0.49504950
17,0.60887867,0.76000000,0.75000000,0.78000000,0.76470588,0.71032989,0.48000000,0.47916667,0.46000000,0.46938776
18,0.62301028,0.63000000,0.93333333,0.28000000,0.43076923,0.73236859,0.53000000,0.57894737,0.22000000,0.31884058
19,0.60207039,0.69666667,0.63228700,0.94000000,0.75603217,0.72733068,0.56000000,0.54285714,0.76000000,0.63333333
20,0.60247570,0.68666667,0.91176471,0.41333333,0.56880734,0.73469967,0.54000000,0.58333333,0.28000000,0.37837838
21,0.58480591,0.76333333,0.90721649,0.58666667,0.71255061,0.71983558,0.54000000,0.55263158,0.42000000,0.47727273
22,0.62565708,0.60333333,0.55893536,0.98000000,0.71186441,0.76469886,0.54000000,0.52380952,0.88000000,0.65671642
23,0.56330937,0.78000000,0.74418605,0.85333333,0.79503106,0.71830505,0.49000000,0.49056604,0.52000000,0.50485437
24,0.77565563,0.51333333,1.00000000,0.02666667,0.05194805,0.90856731,0.51000000,1.00000000,0.02000000,0.03921569
25,0.57302761,0.71000000,0.90909091,0.46666667,0.61674009,0.74446762,0.53000000,0.56000000,0.28000000,0.37333333
26,0.55065829,0.79666667,0.79470199,0.80000000,0.79734219,0.72515595,0.52000000,0.52083333,0.50000000,0.51020408
27,0.53330290,0.81333333,0.87301587,0.73333333,0.79710145,0.73777419,0.48000000,0.47619048,0.40000000,0.43478261
28,0.54042816,0.74333333,0.96202532,0.50666667,0.66375546,0.75742644,0.56000000,0.60000000,0.36000000,0.45000000
29,0.51103801,0.81666667,0.79874214,0.84666667,0.82200647,0.74041587,0.50000000,0.50000000,0.52000000,0.50980392
30,0.51567382,0.77666667,0.71282051,0.92666667,0.80579710,0.75356472,0.53000000,0.52380952,0.66000000,0.58407080
31,0.49736625,0.85333333,0.90769231,0.78666667,0.84285714,0.73792428,0.50000000,0.50000000,0.44000000,0.46808511
32,0.49175152,0.80333333,0.75138122,0.90666667,0.82175227,0.77886784,0.47000000,0.47272727,0.52000000,0.49523810
33,0.48746857,0.82666667,0.85000000,0.79333333,0.82068966,0.76787496,0.47000000,0.46808511,0.44000000,0.45360825
34,0.48873711,0.80000000,0.73437500,0.94000000,0.82456140,0.78673887,0.52000000,0.51666667,0.62000000,0.56363636
35,0.54637587,0.69333333,0.95312500,0.40666667,0.57009346,0.81656158,0.55000000,0.64705882,0.22000000,0.32835821
36,0.55026650,0.68333333,0.61506276,0.98000000,0.75578406,0.85255075,0.57000000,0.54320988,0.88000000,0.67175573
37,0.51502544,0.73666667,0.65777778,0.98666667,0.78933333,0.80995756,0.57000000,0.54666667,0.82000000,0.65600000
38,0.47843844,0.79000000,0.97802198,0.59333333,0.73858921,0.76872712,0.51000000,0.51724138,0.30000000,0.37974684
39,0.43095461,0.82666667,0.77222222,0.92666667,0.84242424,0.78446180,0.54000000,0.53571429,0.60000000,0.56603774
40,0.55827630,0.64333333,1.00000000,0.28666667,0.44559585,0.89554286,0.54000000,0.70000000,0.14000000,0.23333333
41,0.45232505,0.78666667,0.95744681,0.60000000,0.73770492,0.83459073,0.49000000,0.48275862,0.28000000,0.35443038
42,0.40791145,0.88666667,0.96031746,0.80666667,0.87681159,0.82483047,0.50000000,0.50000000,0.38000000,0.43181818
43,0.42818218,0.85666667,0.81286550,0.92666667,0.86604361,0.78269476,0.51000000,0.50909091,0.56000000,0.53333333
44,0.39778307,0.87666667,0.83431953,0.94000000,0.88401254,0.81347495,0.55000000,0.54385965,0.62000000,0.57943925
45,0.38429394,0.91000000,0.92413793,0.89333333,0.90847458,0.81708860,0.53000000,0.53333333,0.48000000,0.50526316
46,0.70479196,0.53666667,1.00000000,0.07333333,0.13664596,1.08106434,0.51000000,1.00000000,0.02000000,0.03921569
