epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69426543,0.53000000,0.51636364,0.94666667,0.66823529,0.70796049,0.46000000,0.47727273,0.84000000,0.60869565
2,0.68690997,0.56000000,0.55113636,0.64666667,0.59509202,0.70472062,0.37000000,0.38596491,0.44000000,0.41121495
3,0.68337244,0.56333333,0.56643357,0.54000000,0.55290102,0.70454377,0.43000000,0.41860465,0.36000000,0.38709677
4,0.68247306,0.55000000,0.59493671,0.31333333,0.41048035,0.70699185,0.46000000,0.44117647,0.30000000,0.35714286
5,0.67959708,0.57666667,0.63529412,0.36000000,0.45957447,0.70491058,0.46000000,0.44117647,0.30000000,0.35714286
6,0.68235701,0.58000000,0.54477612,0.97333333,0.69856459,0.70934463,0.46000000,0.47674419,0.82000000,0.60294118
7,0.67496073,0.61000000,0.59763314,0.67333333,0.63322884,0.70510739,0.43000000,0.44067797,0.52000000,0.47706422
8,0.67406809,0.62333333,0.58371041,0.86000000,0.69541779,0.70568836,0.46000000,0.47297297,0.70000000,0.56451613
9,0.67123926,0.62666667,0.64615385,0.56000000,0.60000000,0.70535254,0.48000000,0.47826087,0.44000000,0.45833333
10,0.66906351,0.63000000,0.60000000,0.78000000,0.67826087,0.70594251,0.47000000,0.47761194,0.64000000,0.54700855
11,0.66659099,0.65666667,0.62303665,0.79333333,0.69794721,0.70601451,0.47000000,0.47761194,0.64000000,0.54700855
12,0.66430068,0.65333333,0.64197531,0.69333333,0.66666667,0.70674741,0.48000000,0.48275862,0.56000000,0.51851852
13,0.66296983,0.61666667,0.59358289,0.74000000,0.65875371,0.71066171,0.50000000,0.50000000,0.68000000,0.57627119
14,0.66041577,0.63666667,0.62732919,0.67333333,0.64951768,0.71152508,0.46000000,0.46666667,0.56000000,0.50909091
15,0.66381472,0.64666667,0.59243697,0.94000000,0.72680412,0.71447784,0.44000000,0.46250000,0.74000000,0.56923077
16,0.65739137,0.63666667,0.74698795,0.41333333,0.53218884,0.71220189,0.48000000,0.47222222,0.34000000,0.39534884
17,0.65952712,0.60000000,0.78846154,0.27333333,0.40594059,0.71812475,0.47000000,0.44000000,0.22000000,0.29333333
18,0.66241550,0.55666667,0.81481481,0.14666667,0.24858757,0.72015226,0.51000000,0.52380952,0.22000000,0.30985915
