epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.77882636,0.50333333,1.00000000,0.00666667,0.01324503,0.78318101,0.50000000,0.00000000,0.00000000,0.00000000
2,0.69561636,0.51000000,0.50537634,0.94000000,0.65734266,0.70571899,0.52000000,0.51111111,0.92000000,0.65714286
3,0.67696840,0.57333333,0.54954955,0.81333333,0.65591398,0.69111907,0.48000000,0.48648649,0.72000000,0.58064516
4,0.67029434,0.58666667,0.62264151,0.44000000,0.51562500,0.68961716,0.51000000,0.51515152,0.34000000,0.40963855
5,0.66722059,0.58666667,0.64130435,0.39333333,0.48760331,0.69110674,0.52000000,0.53571429,0.30000000,0.38461538
6,0.67598611,0.56666667,0.85714286,0.16000000,0.26966292,0.70309603,0.52000000,0.58333333,0.14000000,0.22580645
7,0.65613365,0.62000000,0.59090909,0.78000000,0.67241379,0.69648206,0.50000000,0.50000000,0.64000000,0.56140351
8,0.68100828,0.54333333,0.80952381,0.11333333,0.19883041,0.71913481,0.52000000,0.66666667,0.08000000,0.14285714
9,0.66467410,0.57333333,0.80555556,0.19333333,0.31182796,0.70527148,0.54000000,0.66666667,0.16000000,0.25806452
10,0.67098165,0.57000000,0.53846154,0.98000000,0.69503546,0.72573090,0.53000000,0.51612903,0.96000000,0.67132867
11,0.65321445,0.59333333,0.76923077,0.26666667,0.39603960,0.70324051,0.52000000,0.55000000,0.22000000,0.31428571
12,0.63646561,0.66666667,0.67605634,0.64000000,0.65753425,0.69877899,0.52000000,0.52000000,0.52000000,0.52000000
13,0.63703334,0.68333333,0.79569892,0.49333333,0.60905350,0.70010757,0.51000000,0.51612903,0.32000000,0.39506173
14,0.70334220,0.51333333,0.83333333,0.03333333,0.06410256,0.75627118,0.49000000,0.00000000,0.00000000,0.00000000
15,0.71540642,0.52000000,0.51020408,1.00000000,0.67567568,0.77507758,0.50000000,0.50000000,1.00000000,0.66666667
16,0.63548529,0.63333333,0.84482759,0.32666667,0.47115385,0.70857358,0.53000000,0.58823529,0.20000000,0.29850746
17,0.64170063,0.60000000,0.55769231,0.96666667,0.70731707,0.73020995,0.51000000,0.50561798,0.90000000,0.64748201
18,0.61223686,0.71666667,0.69461078,0.77333333,0.73186120,0.70201337,0.51000000,0.50909091,0.56000000,0.53333333
19,0.62681389,0.62333333,0.82456140,0.31333333,0.45410628,0.71263230,0.50000000,0.50000000,0.20000000,0.28571429
20,0.61453676,0.66000000,0.84285714,0.39333333,0.53636364,0.71089417,0.54000000,0.60000000,0.24000000,0.34285714
21,0.59899783,0.69666667,0.64974619,0.85333333,0.73775216,0.71123427,0.50000000,0.50000000,0.70000000,0.58333333
22,0.60105366,0.68666667,0.81818182,0.48000000,0.60504202,0.71382678,0.52000000,0.53571429,0.30000000,0.38461538
23,0.61732942,0.63333333,0.85714286,0.32000000,0.46601942,0.73253554,0.56000000,0.68750000,0.22000000,0.33333333
