epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69357669,0.51666667,0.50871080,0.97333333,0.66819222,0.69172728,0.54000000,0.52222222,0.94000000,0.67142857
2,0.68397188,0.55000000,0.54189944,0.64666667,0.58966565,0.68831575,0.58000000,0.56666667,0.68000000,0.61818182
3,0.68215203,0.54666667,0.52800000,0.88000000,0.66000000,0.68974847,0.54000000,0.52564103,0.82000000,0.64062500
4,0.67956209,0.56000000,0.53358209,0.95333333,0.68421053,0.69326961,0.52000000,0.51190476,0.86000000,0.64179104
5,0.67493361,0.61333333,0.72972973,0.36000000,0.48214286,0.68917644,0.47000000,0.44000000,0.22000000,0.29333333
6,0.68011135,0.55000000,0.52727273,0.96666667,0.68235294,0.70090759,0.51000000,0.50588235,0.86000000,0.63703704
7,0.66615504,0.65666667,0.69105691,0.56666667,0.62271062,0.69124955,0.52000000,0.52500000,0.42000000,0.46666667
8,0.66637176,0.60000000,0.56000000,0.93333333,0.70000000,0.69694585,0.52000000,0.51282051,0.80000000,0.62500000
9,0.66158122,0.61000000,0.57971014,0.80000000,0.67226891,0.69505244,0.50000000,0.50000000,0.68000000,0.57627119
10,0.65372843,0.71333333,0.68390805,0.79333333,0.73456790,0.69527799,0.52000000,0.51785714,0.58000000,0.54716981
11,0.65457511,0.62000000,0.80000000,0.32000000,0.45714286,0.69553155,0.50000000,0.50000000,0.24000000,0.32432432
12,0.64560425,0.70000000,0.69230769,0.72000000,0.70588235,0.69710058,0.51000000,0.51020408,0.50000000,0.50505051
13,0.63969278,0.71666667,0.77777778,0.60666667,0.68164794,0.69679946,0.51000000,0.51351351,0.38000000,0.43678161
14,0.63692701,0.75333333,0.76760563,0.72666667,0.74657534,0.69715530,0.51000000,0.51063830,0.48000000,0.49484536
15,0.63076091,0.75666667,0.71270718,0.86000000,0.77945619,0.70144773,0.50000000,0.50000000,0.58000000,0.53703704
16,0.62620157,0.74000000,0.69565217,0.85333333,0.76646707,0.70309526,0.50000000,0.50000000,0.60000000,0.54545455
17,0.62013167,0.77333333,0.75625000,0.80666667,0.78064516,0.70191228,0.51000000,0.51063830,0.48000000,0.49484536
18,0.62169468,0.69666667,0.63348416,0.93333333,0.75471698,0.71537268,0.53000000,0.52173913,0.72000000,0.60504202
19,0.67286158,0.54666667,0.52464789,0.99333333,0.68663594,0.76031065,0.47000000,0.48421053,0.92000000,0.63448276
20,0.61490649,0.67000000,0.86956522,0.40000000,0.54794521,0.70946699,0.51000000,0.52000000,0.26000000,0.34666667
21,0.60104078,0.76333333,0.85585586,0.63333333,0.72796935,0.70368928,0.51000000,0.51515152,0.34000000,0.40963855
22,0.59577733,0.71333333,0.64814815,0.93333333,0.76502732,0.71945333,0.56000000,0.54545455,0.72000000,0.62068966
23,0.59131515,0.74333333,0.67980296,0.92000000,0.78186969,0.72179997,0.51000000,0.50746269,0.68000000,0.58119658
24,0.57791322,0.78333333,0.72486772,0.91333333,0.80825959,0.72468716,0.53000000,0.52380952,0.66000000,0.58407080
25,0.62017608,0.61333333,0.56589147,0.97333333,0.71568627,0.76782727,0.52000000,0.51190476,0.86000000,0.64179104
26,0.59358025,0.64000000,0.95652174,0.29333333,0.44897959,0.72834927,0.51000000,0.52631579,0.20000000,0.28985507
27,0.55751330,0.82666667,0.78823529,0.89333333,0.83750000,0.72161376,0.54000000,0.53703704,0.58000000,0.55769231
28,0.54581738,0.83333333,0.80120482,0.88666667,0.84177215,0.72906691,0.52000000,0.51785714,0.58000000,0.54716981
29,0.53587598,0.84333333,0.84105960,0.84666667,0.84385382,0.72104508,0.48000000,0.47826087,0.44000000,0.45833333
30,0.53268158,0.83666667,0.85815603,0.80666667,0.83161512,0.71961385,0.50000000,0.50000000,0.40000000,0.44444444
31,0.54289502,0.76666667,0.69417476,0.95333333,0.80337079,0.72658604,0.58000000,0.56060606,0.74000000,0.63793103
32,0.52858776,0.77000000,0.93548387,0.58000000,0.71604938,0.73523933,0.49000000,0.48275862,0.28000000,0.35443038
33,0.61439335,0.62000000,0.56976744,0.98000000,0.72058824,0.81949306,0.50000000,0.50000000,0.86000000,0.63235294
34,0.55482882,0.69333333,0.98333333,0.39333333,0.56190476,0.76918310,0.54000000,0.59090909,0.26000000,0.36111111
35,0.52095127,0.73666667,0.66359447,0.96000000,0.78474114,0.76394498,0.56000000,0.54166667,0.78000000,0.63934426
36,0.63627738,0.60000000,0.55639098,0.98666667,0.71153846,0.87637204,0.52000000,0.51136364,0.90000000,0.65217391
