epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69554192,0.50000000,0.50000000,0.38666667,0.43609023,0.69475836,0.48000000,0.47619048,0.40000000,0.43478261
2,0.68757683,0.53333333,0.52747253,0.64000000,0.57831325,0.69686431,0.43000000,0.44262295,0.54000000,0.48648649
3,0.68649721,0.53333333,0.64705882,0.14666667,0.23913043,0.70062935,0.47000000,0.40000000,0.12000000,0.18461538
4,0.67994750,0.58000000,0.62500000,0.40000000,0.48780488,0.69701189,0.45000000,0.43589744,0.34000000,0.38202247
5,0.68225950,0.56000000,0.53358209,0.95333333,0.68421053,0.70226997,0.54000000,0.52272727,0.92000000,0.66666667
6,0.67366129,0.61666667,0.59358289,0.74000000,0.65875371,0.69415224,0.49000000,0.49275362,0.68000000,0.57142857
7,0.67105436,0.61666667,0.58373206,0.81333333,0.67966574,0.69694620,0.48000000,0.48684211,0.74000000,0.58730159
8,0.67020851,0.59666667,0.55918367,0.91333333,0.69367089,0.70655173,0.48000000,0.48780488,0.80000000,0.60606061
9,0.66369075,0.65666667,0.75824176,0.46000000,0.57261411,0.69810820,0.48000000,0.47368421,0.36000000,0.40909091
10,0.65874666,0.66333333,0.65605096,0.68666667,0.67100977,0.70149475,0.42000000,0.43333333,0.52000000,0.47272727
11,0.65885276,0.65666667,0.60633484,0.89333333,0.72237197,0.70387679,0.47000000,0.48051948,0.74000000,0.58267717
12,0.66410911,0.55666667,0.77419355,0.16000000,0.26519337,0.70731562,0.50000000,0.50000000,0.12000000,0.19354839
13,0.65069461,0.66666667,0.78409091,0.46000000,0.57983193,0.70368874,0.50000000,0.50000000,0.34000000,0.40476190
14,0.64683801,0.66666667,0.76041667,0.48666667,0.59349593,0.69997758,0.50000000,0.50000000,0.38000000,0.43181818
15,0.64491624,0.70333333,0.66486486,0.82000000,0.73432836,0.70508498,0.42000000,0.43939394,0.58000000,0.50000000
16,0.64127910,0.70666667,0.65500000,0.87333333,0.74857143,0.71763903,0.44000000,0.45714286,0.64000000,0.53333333
17,0.63689756,0.70666667,0.66666667,0.82666667,0.73809524,0.70683283,0.42000000,0.43939394,0.58000000,0.50000000
18,0.63099712,0.73000000,0.69714286,0.81333333,0.75076923,0.70829719,0.41000000,0.42857143,0.54000000,0.47787611
19,0.62930602,0.70666667,0.75833333,0.60666667,0.67407407,0.70389837,0.48000000,0.47916667,0.46000000,0.46938776
20,0.62484437,0.72000000,0.68750000,0.80666667,0.74233129,0.71691543,0.43000000,0.44615385,0.58000000,0.50434783
21,0.65147978,0.59000000,0.54981550,0.99333333,0.70783848,0.73153436,0.53000000,0.51724138,0.90000000,0.65693431
22,0.61770260,0.70000000,0.80612245,0.52666667,0.63709677,0.71094042,0.49000000,0.48780488,0.40000000,0.43956044
23,0.62208849,0.67333333,0.83333333,0.43333333,0.57017544,0.70118433,0.57000000,0.62068966,0.36000000,0.45569620
24,0.61003280,0.75333333,0.72093023,0.82666667,0.77018634,0.72580647,0.44000000,0.45312500,0.58000000,0.50877193
25,0.60268706,0.75333333,0.73456790,0.79333333,0.76282051,0.71315134,0.50000000,0.50000000,0.60000000,0.54545455
26,0.60321534,0.74000000,0.69780220,0.84666667,0.76506024,0.72918952,0.46000000,0.46969697,0.62000000,0.53448276
27,0.60516244,0.67666667,0.84415584,0.43333333,0.57268722,0.73430228,0.48000000,0.46875000,0.30000000,0.36585366
28,0.61750489,0.60666667,0.90000000,0.24000000,0.37894737,0.73343611,0.51000000,0.53333333,0.16000000,0.24615385
29,0.62102139,0.59000000,0.88571429,0.20666667,0.33513514,0.74414527,0.50000000,0.50000000,0.12000000,0.19354839
30,0.61850649,0.58333333,0.93103448,0.18000000,0.30167598,0.73541933,0.49000000,0.46153846,0.12000000,0.19047619
31,0.58042067,0.77000000,0.70769231,0.92000000,0.80000000,0.73605692,0.49000000,0.49295775,0.70000000,0.57851240
32,0.68624485,0.56333333,0.53380783,1.00000000,0.69605568,0.82115859,0.48000000,0.48913043,0.90000000,0.63380282
33,0.58883321,0.68333333,0.88732394,0.42000000,0.57013575,0.73372483,0.52000000,0.54545455,0.24000000,0.33333333
34,0.55673307,0.80000000,0.77108434,0.85333333,0.81012658,0.74133110,0.48000000,0.48387097,0.60000000,0.53571429
35,0.60942411,0.63333333,0.57812500,0.98666667,0.72906404,0.78188086,0.53000000,0.51764706,0.88000000,0.65185185
36,0.57028210,0.73000000,0.66666667,0.92000000,0.77310924,0.77962661,0.47000000,0.47945205,0.70000000,0.56910569
37,0.55258632,0.78666667,0.72872340,0.91333333,0.81065089,0.73413193,0.53000000,0.52173913,0.72000000,0.60504202
38,0.53816152,0.82666667,0.81410256,0.84666667,0.83006536,0.72245497,0.51000000,0.50943396,0.54000000,0.52427184
39,0.54286510,0.78000000,0.71000000,0.94666667,0.81142857,0.78087217,0.50000000,0.50000000,0.70000000,0.58333333
40,0.60128367,0.65000000,0.58893281,0.99333333,0.73945409,0.77746564,0.52000000,0.51162791,0.88000000,0.64705882
41,0.52625191,0.78666667,0.72164948,0.93333333,0.81395349,0.76360685,0.50000000,0.50000000,0.70000000,0.58333333
42,0.59000307,0.60333333,0.94285714,0.22000000,0.35675676,0.79480875,0.50000000,0.50000000,0.14000000,0.21875000
43,0.53284281,0.74666667,0.94047619,0.52666667,0.67521368,0.77136064,0.50000000,0.50000000,0.22000000,0.30555556
44,0.50393921,0.82333333,0.77094972,0.92000000,0.83890578,0.75941008,0.55000000,0.54098361,0.66000000,0.59459459
45,0.51821113,0.75333333,0.93181818,0.54666667,0.68907563,0.78626633,0.51000000,0.51851852,0.28000000,0.36363636
46,0.49569643,0.79666667,0.90825688,0.66000000,0.76447876,0.75727963,0.54000000,0.56250000,0.36000000,0.43902439
47,0.49541447,0.79666667,0.90825688,0.66000000,0.76447876,0.76493567,0.57000000,0.61290323,0.38000000,0.46913580
48,0.47457251,0.84333333,0.83225806,0.86000000,0.84590164,0.77198738,0.50000000,0.50000000,0.58000000,0.53703704
