epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70202065,0.50333333,0.50943396,0.18000000,0.26600985,0.71811140,0.55000000,0.69230769,0.18000000,0.28571429
2,0.68078178,0.56666667,0.55952381,0.62666667,0.59119497,0.70238233,0.47000000,0.47169811,0.50000000,0.48543689
3,0.69010377,0.50333333,0.52631579,0.06666667,0.11834320,0.72434855,0.52000000,0.62500000,0.10000000,0.17241379
4,0.69031340,0.49333333,0.40000000,0.02666667,0.05000000,0.73098201,0.51000000,0.60000000,0.06000000,0.10909091
5,0.68716502,0.50333333,0.54545455,0.04000000,0.07453416,0.73081011,0.50000000,0.50000000,0.04000000,0.07407407
6,0.67469645,0.59333333,0.55384615,0.96000000,0.70243902,0.70716506,0.46000000,0.47500000,0.76000000,0.58461538
7,0.65959477,0.63666667,0.61202186,0.74666667,0.67267267,0.70553887,0.53000000,0.52631579,0.60000000,0.56074766
8,0.65873873,0.63333333,0.59803922,0.81333333,0.68926554,0.70891196,0.54000000,0.53333333,0.64000000,0.58181818
9,0.65478253,0.64666667,0.62790698,0.72000000,0.67080745,0.71393454,0.55000000,0.54901961,0.56000000,0.55445545
10,0.65122795,0.66000000,0.61214953,0.87333333,0.71978022,0.71274257,0.53000000,0.52380952,0.66000000,0.58407080
11,0.68513596,0.57000000,0.53790614,0.99333333,0.69789227,0.73804945,0.46000000,0.47916667,0.92000000,0.63013699
12,0.64619809,0.64333333,0.59641256,0.88666667,0.71313673,0.71049339,0.49000000,0.49275362,0.68000000,0.57142857
13,0.64667737,0.65000000,0.71028037,0.50666667,0.59143969,0.72217160,0.48000000,0.46875000,0.30000000,0.36585366
14,0.64905661,0.63333333,0.58130081,0.95333333,0.72222222,0.72075915,0.48000000,0.48750000,0.78000000,0.60000000
15,0.63301075,0.67666667,0.63874346,0.81333333,0.71554252,0.71574867,0.55000000,0.54385965,0.62000000,0.57943925
16,0.62852812,0.69000000,0.63768116,0.88000000,0.73949580,0.71715468,0.52000000,0.51666667,0.62000000,0.56363636
17,0.62310117,0.69333333,0.66292135,0.78666667,0.71951220,0.72056383,0.53000000,0.52830189,0.56000000,0.54368932
18,0.66213173,0.53333333,0.91666667,0.07333333,0.13580247,0.76912254,0.52000000,0.75000000,0.06000000,0.11111111
19,0.65827698,0.60666667,0.56106870,0.98000000,0.71359223,0.74343055,0.46000000,0.47727273,0.84000000,0.60869565
20,0.62552547,0.61000000,0.85106383,0.26666667,0.40609137,0.74762595,0.47000000,0.41176471,0.14000000,0.20895522
21,0.63385731,0.58000000,0.83333333,0.20000000,0.32258065,0.76310849,0.49000000,0.46666667,0.14000000,0.21538462
22,0.65229720,0.53333333,0.85714286,0.08000000,0.14634146,0.78515166,0.52000000,0.75000000,0.06000000,0.11111111
23,0.61314845,0.61666667,0.83018868,0.29333333,0.43349754,0.74986589,0.49000000,0.47619048,0.20000000,0.28169014
24,0.58939248,0.72666667,0.80909091,0.59333333,0.68461538,0.73540556,0.51000000,0.51724138,0.30000000,0.37974684
25,0.58297861,0.77333333,0.76282051,0.79333333,0.77777778,0.72807848,0.49000000,0.48888889,0.44000000,0.46315789
26,0.58121228,0.73666667,0.67149758,0.92666667,0.77871148,0.72901392,0.48000000,0.48437500,0.62000000,0.54385965
27,0.58356488,0.70000000,0.63392857,0.94666667,0.75935829,0.74365485,0.47000000,0.47826087,0.66000000,0.55462185
28,0.62738210,0.63333333,0.57874016,0.98000000,0.72772277,0.77331591,0.48000000,0.48888889,0.88000000,0.62857143
29,0.56877804,0.75333333,0.73456790,0.79333333,0.76282051,0.74586016,0.47000000,0.47169811,0.50000000,0.48543689
30,0.59123385,0.63666667,0.95555556,0.28666667,0.44102564,0.77931535,0.51000000,0.52631579,0.20000000,0.28985507
31,0.58008659,0.69000000,0.62337662,0.96000000,0.75590551,0.75129974,0.48000000,0.48611111,0.70000000,0.57377049
32,0.76197785,0.51333333,1.00000000,0.02666667,0.05194805,0.95202208,0.50000000,0.00000000,0.00000000,0.00000000
