epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.73051625,0.50000000,0.50000000,1.00000000,0.66666667,0.74429858,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68911487,0.55000000,0.64705882,0.22000000,0.32835821,0.69000208,0.51000000,0.52941176,0.18000000,0.26865672
3,0.68537366,0.55000000,0.52851711,0.92666667,0.67312349,0.69362253,0.52000000,0.51190476,0.86000000,0.64179104
4,0.68274993,0.60333333,0.68235294,0.38666667,0.49361702,0.69084167,0.51000000,0.51612903,0.32000000,0.39506173
5,0.68015045,0.53333333,0.75000000,0.10000000,0.17647059,0.69228983,0.52000000,0.66666667,0.08000000,0.14285714
6,0.67710990,0.59666667,0.56387665,0.85333333,0.67904509,0.70062125,0.48000000,0.48484848,0.64000000,0.55172414
7,0.67755026,0.55666667,0.53003534,1.00000000,0.69284065,0.68996167,0.54000000,0.52173913,0.96000000,0.67605634
8,0.66761911,0.65000000,0.59183673,0.96666667,0.73417722,0.68614060,0.53000000,0.51948052,0.80000000,0.62992126
9,0.67915571,0.57666667,0.54275093,0.97333333,0.69689737,0.68722123,0.52000000,0.51111111,0.92000000,0.65714286
10,0.67190003,0.52000000,1.00000000,0.04000000,0.07692308,0.69676948,0.51000000,1.00000000,0.02000000,0.03921569
11,0.65412766,0.63333333,0.62987013,0.64666667,0.63815789,0.66894639,0.60000000,0.60000000,0.60000000,0.60000000
12,0.64637178,0.63666667,0.69902913,0.48000000,0.56916996,0.67985636,0.57000000,0.62068966,0.36000000,0.45569620
13,0.63407165,0.68000000,0.66875000,0.71333333,0.69032258,0.68307757,0.59000000,0.57894737,0.66000000,0.61682243
14,0.63628715,0.62000000,0.64285714,0.54000000,0.58695652,0.67703384,0.53000000,0.53658537,0.44000000,0.48351648
15,0.61076546,0.67333333,0.70967742,0.58666667,0.64233577,0.67956161,0.56000000,0.57500000,0.46000000,0.51111111
16,0.71627074,0.52666667,0.78571429,0.07333333,0.13414634,0.74656785,0.52000000,0.75000000,0.06000000,0.11111111
17,0.62209803,0.64333333,0.60093897,0.85333333,0.70523416,0.69991440,0.58000000,0.55882353,0.76000000,0.64406780
18,0.64249134,0.68000000,0.63775510,0.83333333,0.72254335,0.69709212,0.48000000,0.48387097,0.60000000,0.53571429
19,0.63314551,0.65333333,0.60267857,0.90000000,0.72192513,0.68025428,0.61000000,0.57971014,0.80000000,0.67226891
20,0.57095712,0.73333333,0.73333333,0.73333333,0.73333333,0.71907204,0.57000000,0.57142857,0.56000000,0.56565657
21,0.61736834,0.64666667,0.81428571,0.38000000,0.51818182,0.72075486,0.51000000,0.52631579,0.20000000,0.28985507
22,0.64588165,0.63333333,0.73255814,0.42000000,0.53389831,0.77320623,0.56000000,0.61538462,0.32000000,0.42105263
23,0.59739399,0.66000000,0.61111111,0.88000000,0.72131148,0.76507688,0.57000000,0.55072464,0.76000000,0.63865546
24,0.57799023,0.67666667,0.88405797,0.40666667,0.55707763,0.70145845,0.56000000,0.66666667,0.24000000,0.35294118
25,0.57956046,0.68000000,0.61946903,0.93333333,0.74468085,0.68484634,0.61000000,0.57746479,0.82000000,0.67768595
26,0.60363650,0.64333333,0.75294118,0.42666667,0.54468085,0.74328142,0.48000000,0.45000000,0.18000000,0.25714286
27,0.57790905,0.67000000,0.88059701,0.39333333,0.54377880,0.73050326,0.53000000,0.56521739,0.26000000,0.35616438
28,0.52362400,0.74333333,0.68717949,0.89333333,0.77681159,0.77245241,0.54000000,0.53030303,0.70000000,0.60344828
29,0.49832550,0.81666667,0.82312925,0.80666667,0.81481481,0.73251009,0.56000000,0.56000000,0.56000000,0.56000000
30,0.57651991,0.65666667,0.71962617,0.51333333,0.59922179,0.73766065,0.56000000,0.60714286,0.34000000,0.43589744
31,0.61032295,0.64333333,0.58498024,0.98666667,0.73449132,0.78549254,0.54000000,0.52439024,0.86000000,0.65151515
32,0.52396554,0.74333333,0.66976744,0.96000000,0.78904110,0.73592496,0.59000000,0.56338028,0.80000000,0.66115702
33,0.51825732,0.78333333,0.81021898,0.74000000,0.77351916,0.76537377,0.57000000,0.58536585,0.48000000,0.52747253
34,0.56069547,0.73333333,0.66203704,0.95333333,0.78142077,0.75496083,0.52000000,0.51388889,0.74000000,0.60655738
35,0.47978652,0.83666667,0.84353741,0.82666667,0.83501684,0.75657082,0.53000000,0.53191489,0.50000000,0.51546392
36,0.51480365,0.71333333,0.90000000,0.48000000,0.62608696,0.81804633,0.57000000,0.66666667,0.28000000,0.39436620
37,0.49023551,0.78666667,0.75903614,0.84000000,0.79746835,0.73206657,0.60000000,0.59259259,0.64000000,0.61538462
38,0.45585683,0.77333333,0.91836735,0.60000000,0.72580645,0.89408052,0.57000000,0.62068966,0.36000000,0.45569620
39,0.57514596,0.65333333,0.94230769,0.32666667,0.48514851,1.02575397,0.54000000,0.66666667,0.16000000,0.25806452
40,0.44645721,0.79000000,0.72081218,0.94666667,0.81844380,0.83168381,0.60000000,0.57812500,0.74000000,0.64912281
41,0.45384297,0.74666667,0.76428571,0.71333333,0.73793103,0.81809419,0.60000000,0.59259259,0.64000000,0.61538462
42,0.60901797,0.64666667,0.94000000,0.31333333,0.47000000,1.02391171,0.54000000,0.61111111,0.22000000,0.32352941
