epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69751740,0.51666667,0.55813953,0.16000000,0.24870466,0.69989204,0.48000000,0.43750000,0.14000000,0.21212121
2,0.68959379,0.54666667,0.53043478,0.81333333,0.64210526,0.69411325,0.51000000,0.50724638,0.70000000,0.58823529
3,0.68429047,0.56666667,0.56172840,0.60666667,0.58333333,0.69336355,0.52000000,0.52272727,0.46000000,0.48936170
4,0.68387681,0.57000000,0.54430380,0.86000000,0.66666667,0.69346839,0.50000000,0.50000000,0.72000000,0.59016393
5,0.68350756,0.50666667,0.55000000,0.07333333,0.12941176,0.70012087,0.46000000,0.16666667,0.02000000,0.03571429
6,0.68150729,0.51000000,0.58823529,0.06666667,0.11976048,0.70073807,0.47000000,0.20000000,0.02000000,0.03636364
7,0.67478508,0.61666667,0.67326733,0.45333333,0.54183267,0.69351000,0.52000000,0.53333333,0.32000000,0.40000000
8,0.67141122,0.64000000,0.63636364,0.65333333,0.64473684,0.69335663,0.51000000,0.51162791,0.44000000,0.47311828
9,0.67034006,0.60000000,0.72727273,0.32000000,0.44444444,0.69653016,0.51000000,0.52631579,0.20000000,0.28985507
10,0.66926450,0.56666667,0.71739130,0.22000000,0.33673469,0.69780111,0.51000000,0.52941176,0.18000000,0.26865672
11,0.66263700,0.65333333,0.72115385,0.50000000,0.59055118,0.69433612,0.53000000,0.54545455,0.36000000,0.43373494
12,0.66165119,0.67666667,0.63730570,0.82000000,0.71720117,0.69523740,0.50000000,0.50000000,0.58000000,0.53703704
13,0.65848422,0.68666667,0.63207547,0.89333333,0.74033149,0.69522119,0.51000000,0.50819672,0.62000000,0.55855856
14,0.65908617,0.62333333,0.57370518,0.96000000,0.71820449,0.69798219,0.51000000,0.50666667,0.76000000,0.60800000
15,0.65616828,0.64333333,0.58847737,0.95333333,0.72773537,0.69588351,0.51000000,0.50666667,0.76000000,0.60800000
16,0.65558767,0.59333333,0.55263158,0.98000000,0.70673077,0.69796205,0.53000000,0.51851852,0.84000000,0.64122137
17,0.64293200,0.68666667,0.85897436,0.44666667,0.58771930,0.69615561,0.53000000,0.54838710,0.34000000,0.41975309
18,0.63698471,0.75333333,0.71111111,0.85333333,0.77575758,0.69527024,0.49000000,0.49090909,0.54000000,0.51428571
19,0.65248781,0.53666667,0.78947368,0.10000000,0.17751479,0.71147418,0.54000000,0.70000000,0.14000000,0.23333333
20,0.62933916,0.69666667,0.63594470,0.92000000,0.75204360,0.69703126,0.56000000,0.54285714,0.76000000,0.63333333
21,0.62745827,0.68000000,0.83750000,0.44666667,0.58260870,0.69904351,0.53000000,0.55555556,0.30000000,0.38961039
22,0.61463690,0.77666667,0.77124183,0.78666667,0.77887789,0.69966990,0.50000000,0.50000000,0.50000000,0.50000000
23,0.60756737,0.77000000,0.75471698,0.80000000,0.77669903,0.69640237,0.54000000,0.54000000,0.54000000,0.54000000
24,0.61424452,0.67666667,0.61087866,0.97333333,0.75064267,0.70723778,0.54000000,0.52631579,0.80000000,0.63492063
25,0.69748312,0.52666667,0.51369863,1.00000000,0.67873303,0.77087784,0.48000000,0.48958333,0.94000000,0.64383562
26,0.59585720,0.77333333,0.73295455,0.86000000,0.79141104,0.69788843,0.55000000,0.54716981,0.58000000,0.56310680
27,0.58685112,0.75333333,0.70212766,0.88000000,0.78106509,0.70254034,0.57000000,0.56140351,0.64000000,0.59813084
28,0.59398007,0.72333333,0.65876777,0.92666667,0.77008310,0.71053773,0.53000000,0.52380952,0.66000000,0.58407080
29,0.58871418,0.69666667,0.62882096,0.96000000,0.75989446,0.71395648,0.51000000,0.50684932,0.74000000,0.60162602
30,0.57037288,0.79666667,0.90090090,0.66666667,0.76628352,0.71202779,0.51000000,0.51162791,0.44000000,0.47311828
31,0.56335276,0.81000000,0.79245283,0.84000000,0.81553398,0.71131003,0.51000000,0.50943396,0.54000000,0.52427184
32,0.55482912,0.80333333,0.78616352,0.83333333,0.80906149,0.70969743,0.54000000,0.54000000,0.54000000,0.54000000
33,0.58123595,0.68333333,0.61410788,0.98666667,0.75703325,0.74074370,0.52000000,0.51282051,0.80000000,0.62500000
34,0.54332811,0.84000000,0.86956522,0.80000000,0.83333333,0.71931303,0.52000000,0.52083333,0.50000000,0.51020408
35,0.55563599,0.75333333,0.94186047,0.54000000,0.68644068,0.73362809,0.51000000,0.51724138,0.30000000,0.37974684
36,0.53749359,0.80000000,0.92452830,0.65333333,0.76562500,0.73883384,0.52000000,0.52631579,0.40000000,0.45454545
37,0.52292824,0.85000000,0.87769784,0.81333333,0.84429066,0.72031546,0.55000000,0.55319149,0.52000000,0.53608247
38,0.51434618,0.83666667,0.84827586,0.82000000,0.83389831,0.72400999,0.55000000,0.54901961,0.56000000,0.55445545
39,0.57223666,0.67666667,0.98181818,0.36000000,0.52682927,0.77034754,0.52000000,0.56250000,0.18000000,0.27272727
40,0.50216931,0.84666667,0.91269841,0.76666667,0.83333333,0.73747361,0.51000000,0.51219512,0.42000000,0.46153846
41,0.52216876,0.75000000,0.67942584,0.94666667,0.79108635,0.75186235,0.58000000,0.55555556,0.80000000,0.65573770
42,0.48269531,0.84000000,0.81481481,0.88000000,0.84615385,0.73413712,0.53000000,0.52727273,0.58000000,0.55238095
43,0.48036855,0.86000000,0.89130435,0.82000000,0.85416667,0.73548490,0.53000000,0.53191489,0.50000000,0.51546392
44,0.47093675,0.86000000,0.83750000,0.89333333,0.86451613,0.74168974,0.51000000,0.50980392,0.52000000,0.51485149
45,0.50555587,0.75666667,0.67906977,0.97333333,0.80000000,0.76680785,0.55000000,0.53424658,0.78000000,0.63414634
46,0.45811716,0.85666667,0.81656805,0.92000000,0.86520376,0.73899841,0.56000000,0.55357143,0.62000000,0.58490566
47,0.49474242,0.77000000,1.00000000,0.54000000,0.70129870,0.78125453,0.52000000,0.54166667,0.26000000,0.35135135
48,0.45596898,0.85333333,0.82317073,0.90000000,0.85987261,0.75026429,0.58000000,0.57407407,0.62000000,0.59615385
49,0.44243053,0.86333333,0.81871345,0.93333333,0.87227414,0.76440829,0.52000000,0.51785714,0.58000000,0.54716981
50,0.48838755,0.75333333,0.67431193,0.98000000,0.79891304,0.80917495,0.57000000,0.54430380,0.86000000,0.66666667
51,0.48902935,0.73666667,0.65777778,0.98666667,0.78933333,0.80136579,0.55000000,0.53246753,0.82000000,0.64566929
52,0.43716675,0.88333333,0.95275591,0.80666667,0.87364621,0.77002382,0.51000000,0.51282051,0.40000000,0.44943820
53,0.41771489,0.90666667,0.94852941,0.86000000,0.90209790,0.75882417,0.55000000,0.56097561,0.46000000,0.50549451
54,0.46713033,0.77333333,1.00000000,0.54666667,0.70689655,0.83507186,0.54000000,0.60000000,0.24000000,0.34285714
55,0.50190878,0.72333333,0.64502165,0.99333333,0.78215223,0.82947248,0.57000000,0.54545455,0.84000000,0.66141732
56,0.55528599,0.66333333,0.98039216,0.33333333,0.49751244,0.88577288,0.53000000,0.80000000,0.08000000,0.14545455
57,0.59117657,0.65000000,0.58823529,1.00000000,0.74074074,0.90866989,0.50000000,0.50000000,0.88000000,0.63768116
58,0.43810898,0.82000000,0.96153846,0.66666667,0.78740157,0.80078483,0.50000000,0.50000000,0.28000000,0.35897436
59,0.93429667,0.53666667,0.51903114,1.00000000,0.68337130,1.18878078,0.47000000,0.48453608,0.94000000,0.63945578
60,0.43010101,0.82666667,0.99000000,0.66000000,0.79200000,0.81294513,0.53000000,0.56521739,0.26000000,0.35616438
61,0.61693507,0.60000000,1.00000000,0.20000000,0.33333333,0.95747101,0.52000000,1.00000000,0.04000000,0.07692308
62,0.46593994,0.74666667,0.66371681,1.00000000,0.79787234,0.84062505,0.57000000,0.54430380,0.86000000,0.66666667
63,0.42993414,0.78666667,1.00000000,0.57333333,0.72881356,0.88216162,0.53000000,0.58823529,0.20000000,0.29850746
64,0.40091065,0.90666667,0.92957746,0.88000000,0.90410959,0.74707109,0.61000000,0.62222222,0.56000000,0.58947368
65,0.37055889,0.89666667,0.84795322,0.96666667,0.90342679,0.78293347,0.58000000,0.56896552,0.66000000,0.61111111
66,0.33236495,0.90000000,0.87037037,0.94000000,0.90384615,0.80020911,0.51000000,0.50909091,0.56000000,0.53333333
67,0.43645924,0.77333333,0.94565217,0.58000000,0.71900826,0.85301942,0.54000000,0.58333333,0.28000000,0.37837838
68,0.40325576,0.80000000,0.71634615,0.99333333,0.83240223,0.84985787,0.54000000,0.52702703,0.78000000,0.62903226
69,0.45361269,0.73666667,1.00000000,0.47333333,0.64253394,0.93640441,0.55000000,0.72727273,0.16000000,0.26229508
70,0.30975407,0.94333333,0.97841727,0.90666667,0.94117647,0.81954938,0.55000000,0.55319149,0.52000000,0.53608247
71,0.47061080,0.77000000,0.69014085,0.98000000,0.80991736,0.81393158,0.55000000,0.53333333,0.80000000,0.64000000
72,0.35127142,0.89333333,1.00000000,0.78666667,0.88059701,0.89692825,0.53000000,0.57142857,0.24000000,0.33802817
73,0.30873340,0.94333333,0.95862069,0.92666667,0.94237288,0.81519514,0.59000000,0.59574468,0.56000000,0.57731959
74,0.55296153,0.68333333,0.61224490,1.00000000,0.75949367,0.95574534,0.55000000,0.53086420,0.86000000,0.65648855
75,0.28434968,0.94000000,0.97826087,0.90000000,0.93750000,0.87871331,0.56000000,0.58333333,0.42000000,0.48837209
