epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68725038,0.56000000,0.55844156,0.57333333,0.56578947,0.70165682,0.48000000,0.48148148,0.52000000,0.50000000
2,0.67920858,0.60000000,0.60563380,0.57333333,0.58904110,0.69836009,0.48000000,0.48076923,0.50000000,0.49019608
3,0.67479867,0.63000000,0.62111801,0.66666667,0.64308682,0.69382513,0.55000000,0.54237288,0.64000000,0.58715596
4,0.67572343,0.57333333,0.62500000,0.36666667,0.46218487,0.69654757,0.50000000,0.50000000,0.32000000,0.39024390
5,0.68176961,0.52000000,0.51020408,1.00000000,0.67567568,0.69867265,0.51000000,0.50526316,0.96000000,0.66206897
6,0.67481202,0.59000000,0.70769231,0.30666667,0.42790698,0.69955879,0.48000000,0.46153846,0.24000000,0.31578947
7,0.66290146,0.65333333,0.61386139,0.82666667,0.70454545,0.69773263,0.50000000,0.50000000,0.76000000,0.60317460
8,0.65707886,0.64666667,0.60280374,0.86000000,0.70879121,0.69034326,0.60000000,0.56410256,0.88000000,0.68750000
9,0.64913851,0.66666667,0.63020833,0.80666667,0.70760234,0.70022035,0.54000000,0.52857143,0.74000000,0.61666667
10,0.64626437,0.65000000,0.69230769,0.54000000,0.60674157,0.69957471,0.54000000,0.54761905,0.46000000,0.50000000
11,0.64270169,0.69000000,0.65573770,0.80000000,0.72072072,0.70087796,0.51000000,0.50746269,0.68000000,0.58119658
12,0.64967811,0.61000000,0.56470588,0.96000000,0.71111111,0.70476824,0.52000000,0.51111111,0.92000000,0.65714286
13,0.63060981,0.66666667,0.73148148,0.52666667,0.61240310,0.70492709,0.54000000,0.54761905,0.46000000,0.50000000
14,0.62186033,0.70333333,0.68484848,0.75333333,0.71746032,0.69473195,0.56000000,0.54838710,0.68000000,0.60714286
15,0.61407977,0.70666667,0.69871795,0.72666667,0.71241830,0.69472384,0.54000000,0.53448276,0.62000000,0.57407407
16,0.61204755,0.70666667,0.65048544,0.89333333,0.75280899,0.70147669,0.56000000,0.54054054,0.80000000,0.64516129
17,0.61129349,0.68666667,0.62389381,0.94000000,0.75000000,0.70302689,0.57000000,0.54320988,0.88000000,0.67175573
18,0.60314250,0.73333333,0.67857143,0.88666667,0.76878613,0.70058244,0.54000000,0.52702703,0.78000000,0.62903226
19,0.58263570,0.74666667,0.73717949,0.76666667,0.75163399,0.69803637,0.58000000,0.56666667,0.68000000,0.61818182
20,0.59742755,0.69666667,0.62770563,0.96666667,0.76115486,0.71679425,0.54000000,0.52564103,0.82000000,0.64062500
21,0.57435817,0.76333333,0.72832370,0.84000000,0.78018576,0.70687413,0.54000000,0.53030303,0.70000000,0.60344828
22,0.59834272,0.65000000,0.59036145,0.98000000,0.73684211,0.73490351,0.57000000,0.54117647,0.92000000,0.68148148
23,0.55459541,0.79000000,0.77018634,0.82666667,0.79742765,0.69996870,0.58000000,0.56666667,0.68000000,0.61818182
24,0.54435676,0.79666667,0.82014388,0.76000000,0.78892734,0.70999503,0.55000000,0.54901961,0.56000000,0.55445545
25,0.53544807,0.79000000,0.74576271,0.88000000,0.80733945,0.71245193,0.58000000,0.56250000,0.72000000,0.63157895
26,0.58675683,0.67000000,0.93220339,0.36666667,0.52631579,0.76004225,0.53000000,0.57894737,0.22000000,0.31884058
27,0.54859149,0.72666667,0.65178571,0.97333333,0.78074866,0.72592360,0.58000000,0.55263158,0.84000000,0.66666667
28,0.52657527,0.80000000,0.93269231,0.64666667,0.76377953,0.72596061,0.50000000,0.50000000,0.36000000,0.41860465
29,0.51464903,0.78333333,0.92929293,0.61333333,0.73895582,0.73721850,0.51000000,0.51428571,0.36000000,0.42352941
30,0.62631214,0.60333333,0.55805243,0.99333333,0.71462830,0.80954170,0.53000000,0.51648352,0.94000000,0.66666667
