epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69009674,0.52000000,0.51351351,0.76000000,0.61290323,0.69172871,0.52000000,0.51282051,0.80000000,0.62500000
2,0.68520367,0.53333333,0.61904762,0.17333333,0.27083333,0.69737977,0.51000000,0.53846154,0.14000000,0.22222222
3,0.68042606,0.56666667,0.55494505,0.67333333,0.60843373,0.69489056,0.55000000,0.53731343,0.72000000,0.61538462
4,0.68372560,0.51000000,0.66666667,0.04000000,0.07547170,0.70450628,0.49000000,0.00000000,0.00000000,0.00000000
5,0.67356670,0.61333333,0.59340659,0.72000000,0.65060241,0.69306213,0.56000000,0.54545455,0.72000000,0.62068966
6,0.67060912,0.61666667,0.66355140,0.47333333,0.55252918,0.69658905,0.56000000,0.57500000,0.46000000,0.51111111
7,0.66841573,0.62666667,0.71590909,0.42000000,0.52941176,0.69686788,0.57000000,0.60000000,0.42000000,0.49411765
8,0.66367543,0.64000000,0.65671642,0.58666667,0.61971831,0.69493318,0.58000000,0.56896552,0.66000000,0.61111111
9,0.66076845,0.61000000,0.60784314,0.62000000,0.61386139,0.69737500,0.57000000,0.55737705,0.68000000,0.61261261
10,0.65971285,0.65000000,0.62162162,0.76666667,0.68656716,0.69405758,0.54000000,0.52941176,0.72000000,0.61016949
11,0.65400201,0.64666667,0.65714286,0.61333333,0.63448276,0.69834226,0.57000000,0.55932203,0.66000000,0.60550459
12,0.65406054,0.62666667,0.77941176,0.35333333,0.48623853,0.69990391,0.56000000,0.61538462,0.32000000,0.42105263
13,0.64954507,0.65333333,0.80263158,0.40666667,0.53982301,0.70198709,0.53000000,0.56000000,0.28000000,0.37333333
14,0.66033316,0.60333333,0.55984556,0.96666667,0.70904645,0.70828229,0.47000000,0.48314607,0.86000000,0.61870504
15,0.65216821,0.63333333,0.58196721,0.94666667,0.72081218,0.70146030,0.48000000,0.48863636,0.86000000,0.62318841
16,0.63672215,0.68333333,0.73504274,0.57333333,0.64419476,0.69705230,0.57000000,0.58536585,0.48000000,0.52747253
17,0.63811940,0.66666667,0.61792453,0.87333333,0.72375691,0.69979692,0.55000000,0.53521127,0.76000000,0.62809917
18,0.62959301,0.71666667,0.69005848,0.78666667,0.73520249,0.69560379,0.53000000,0.52631579,0.60000000,0.56074766
19,0.63392264,0.62000000,0.86000000,0.28666667,0.43000000,0.71747512,0.55000000,0.63157895,0.24000000,0.34782609
20,0.62270558,0.71666667,0.66839378,0.86000000,0.75218659,0.69506240,0.57000000,0.54929577,0.78000000,0.64462810
21,0.64445031,0.55666667,0.84000000,0.14000000,0.24000000,0.73080528,0.53000000,0.61538462,0.16000000,0.25396825
22,0.60576582,0.74666667,0.75694444,0.72666667,0.74149660,0.70274031,0.52000000,0.51851852,0.56000000,0.53846154
23,0.59914112,0.72000000,0.74626866,0.66666667,0.70422535,0.70553052,0.56000000,0.55172414,0.64000000,0.59259259
24,0.60774803,0.69000000,0.62555066,0.94666667,0.75331565,0.71072948,0.54000000,0.52564103,0.82000000,0.64062500
25,0.59314454,0.73666667,0.68983957,0.86000000,0.76557864,0.70143670,0.57000000,0.55737705,0.68000000,0.61261261
26,0.58077937,0.73000000,0.68062827,0.86666667,0.76246334,0.70149517,0.55000000,0.53968254,0.68000000,0.60176991
27,0.57106185,0.75000000,0.71676301,0.82666667,0.76780186,0.70446181,0.62000000,0.60714286,0.68000000,0.64150943
28,0.59571934,0.69000000,0.62337662,0.96000000,0.75590551,0.72783077,0.53000000,0.51898734,0.82000000,0.63565891
29,0.57794410,0.70333333,0.85882353,0.48666667,0.62127660,0.73650146,0.54000000,0.59090909,0.26000000,0.36111111
30,0.56440586,0.73666667,0.80869565,0.62000000,0.70188679,0.72988296,0.49000000,0.48837209,0.42000000,0.45161290
31,0.55505842,0.79000000,0.86554622,0.68666667,0.76579926,0.71911222,0.55000000,0.56756757,0.42000000,0.48275862
32,0.59731090,0.63666667,1.00000000,0.27333333,0.42931937,0.77247542,0.53000000,0.61538462,0.16000000,0.25396825
33,0.54203397,0.74666667,0.68137255,0.92666667,0.78531073,0.73679733,0.54000000,0.52857143,0.74000000,0.61666667
34,0.52521557,0.75000000,0.82608696,0.63333333,0.71698113,0.74867409,0.50000000,0.50000000,0.36000000,0.41860465
35,0.51035374,0.81000000,0.75977654,0.90666667,0.82674772,0.73335308,0.59000000,0.57894737,0.66000000,0.61682243
36,0.57581806,0.68000000,0.61538462,0.96000000,0.75000000,0.77688450,0.51000000,0.50617284,0.82000000,0.62595420
37,0.50349236,0.80000000,0.85714286,0.72000000,0.78260870,0.74685943,0.55000000,0.56410256,0.44000000,0.49438202
38,0.55883437,0.68000000,0.61250000,0.98000000,0.75384615,0.79516232,0.57000000,0.54216867,0.90000000,0.67669173
39,0.49703100,0.79000000,0.88495575,0.66666667,0.76045627,0.76030564,0.55000000,0.58064516,0.36000000,0.44444444
40,0.47748494,0.81333333,0.87301587,0.73333333,0.79710145,0.76423001,0.51000000,0.51282051,0.40000000,0.44943820
41,0.52279806,0.73333333,0.65486726,0.98666667,0.78723404,0.79114789,0.56000000,0.53658537,0.88000000,0.66666667
42,0.46312633,0.85333333,0.95689655,0.74000000,0.83458647,0.76284361,0.50000000,0.50000000,0.30000000,0.37500000
43,0.45903617,0.81333333,0.74736842,0.94666667,0.83529412,0.78216970,0.55000000,0.53846154,0.70000000,0.60869565
44,0.63022310,0.64000000,0.58139535,1.00000000,0.73529412,0.91891056,0.54000000,0.52173913,0.96000000,0.67605634
