epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.67383283,0.60666667,0.73529412,0.33333333,0.45871560,0.69544351,0.53000000,0.57142857,0.24000000,0.33802817
2,0.67757499,0.59000000,0.69014085,0.32666667,0.44343891,0.69237065,0.54000000,0.62500000,0.20000000,0.30303030
3,0.66188765,0.62333333,0.64122137,0.56000000,0.59786477,0.69489211,0.50000000,0.50000000,0.38000000,0.43181818
4,0.65373617,0.63666667,0.61849711,0.71333333,0.66253870,0.68726683,0.54000000,0.53703704,0.58000000,0.55769231
5,0.66062671,0.59333333,0.55511811,0.94000000,0.69801980,0.69506043,0.55000000,0.53164557,0.84000000,0.65116279
6,0.64333224,0.64333333,0.59817352,0.87333333,0.71002710,0.69222033,0.54000000,0.52941176,0.72000000,0.61016949
7,0.63003439,0.69666667,0.75652174,0.58000000,0.65660377,0.68867582,0.54000000,0.55555556,0.40000000,0.46511628
8,0.61645585,0.71000000,0.71140940,0.70666667,0.70903010,0.69442976,0.62000000,0.62000000,0.62000000,0.62000000
9,0.61168814,0.72000000,0.66836735,0.87333333,0.75722543,0.68935835,0.57000000,0.55737705,0.68000000,0.61261261
10,0.61278605,0.67666667,0.61674009,0.93333333,0.74270557,0.70061934,0.54000000,0.52777778,0.76000000,0.62295082
11,0.59959650,0.69666667,0.63849765,0.90666667,0.74931129,0.70569807,0.57000000,0.55223881,0.74000000,0.63247863
12,0.59104955,0.71000000,0.64651163,0.92666667,0.76164384,0.69924194,0.58000000,0.55882353,0.76000000,0.64406780
13,0.62087858,0.64333333,0.58565737,0.98000000,0.73316708,0.72376138,0.48000000,0.48750000,0.78000000,0.60000000
14,0.64886957,0.59000000,0.93548387,0.19333333,0.32044199,0.81129920,0.51000000,0.54545455,0.12000000,0.19672131
15,0.58284259,0.70333333,0.63436123,0.96000000,0.76392573,0.71568406,0.53000000,0.52112676,0.74000000,0.61157025
16,0.54980600,0.78000000,0.84426230,0.68666667,0.75735294,0.72729409,0.56000000,0.57894737,0.44000000,0.50000000
17,0.57080340,0.65666667,0.89830508,0.35333333,0.50717703,0.74763018,0.53000000,0.58823529,0.20000000,0.29850746
18,0.59301078,0.63666667,0.95555556,0.28666667,0.44102564,0.78885537,0.52000000,0.58333333,0.14000000,0.22580645
19,0.60328096,0.65666667,0.59514170,0.98000000,0.74055416,0.75877118,0.56000000,0.53846154,0.84000000,0.65625000
20,0.61805457,0.59333333,0.96666667,0.19333333,0.32222222,0.80831027,0.51000000,0.57142857,0.08000000,0.14035088
21,0.73670942,0.52333333,1.00000000,0.04666667,0.08917197,0.93165255,0.50000000,0.00000000,0.00000000,0.00000000
22,0.48797303,0.82333333,0.79041916,0.88000000,0.83280757,0.75437003,0.59000000,0.58490566,0.62000000,0.60194175
23,0.56139690,0.66666667,0.60000000,1.00000000,0.75000000,0.79936719,0.47000000,0.48192771,0.80000000,0.60150376
24,0.60804176,0.59000000,0.93548387,0.19333333,0.32044199,0.89151901,0.51000000,0.55555556,0.10000000,0.16949153
25,0.57329863,0.63000000,0.95348837,0.27333333,0.42487047,0.87579477,0.49000000,0.46153846,0.12000000,0.19047619
26,0.45930094,0.85666667,0.89051095,0.81333333,0.85017422,0.78410691,0.53000000,0.54285714,0.38000000,0.44705882
27,0.43686086,0.87666667,0.83832335,0.93333333,0.88328076,0.75592202,0.56000000,0.56000000,0.56000000,0.56000000
28,0.44419557,0.84333333,0.91200000,0.76000000,0.82909091,0.79884231,0.57000000,0.60606061,0.40000000,0.48192771
29,0.51710713,0.65666667,0.96078431,0.32666667,0.48756219,0.88409013,0.52000000,0.56250000,0.18000000,0.27272727
30,0.47815648,0.79666667,0.71090047,1.00000000,0.83102493,0.81509471,0.47000000,0.48101266,0.76000000,0.58914729
31,0.59770691,0.64333333,0.58365759,1.00000000,0.73710074,0.89785582,0.51000000,0.50549451,0.92000000,0.65248227
