epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69553232,0.48666667,0.44117647,0.10000000,0.16304348,0.69167989,0.53000000,0.61538462,0.16000000,0.25396825
2,0.67832303,0.59000000,0.61739130,0.47333333,0.53584906,0.69384462,0.51000000,0.51515152,0.34000000,0.40963855
3,0.74533904,0.50000000,0.50000000,1.00000000,0.66666667,0.74698579,0.50000000,0.50000000,1.00000000,0.66666667
4,0.66879743,0.61000000,0.64601770,0.48666667,0.55513308,0.70242673,0.48000000,0.47222222,0.34000000,0.39534884
5,0.67701894,0.53666667,0.92307692,0.08000000,0.14723926,0.72524506,0.52000000,0.66666667,0.08000000,0.14285714
6,0.67835802,0.61333333,0.57327586,0.88666667,0.69633508,0.68764269,0.61000000,0.57746479,0.82000000,0.67768595
7,0.66629744,0.63666667,0.58723404,0.92000000,0.71688312,0.69470656,0.55000000,0.53246753,0.82000000,0.64566929
8,0.69908828,0.53666667,0.68965517,0.13333333,0.22346369,0.75582522,0.49000000,0.44444444,0.08000000,0.13559322
9,0.66558164,0.53333333,0.91666667,0.07333333,0.13580247,0.71381497,0.51000000,0.60000000,0.06000000,0.10909091
10,0.64484322,0.64000000,0.58898305,0.92666667,0.72020725,0.69757849,0.52000000,0.51250000,0.82000000,0.63076923
11,0.65473092,0.60666667,0.56557377,0.92000000,0.70050761,0.72065425,0.57000000,0.54216867,0.90000000,0.67669173
12,0.61960763,0.66333333,0.77528090,0.46000000,0.57740586,0.73191285,0.55000000,0.59259259,0.32000000,0.41558442
13,0.65498072,0.59000000,0.55094340,0.97333333,0.70361446,0.74704146,0.47000000,0.48314607,0.86000000,0.61870504
14,0.64806467,0.66666667,0.60964912,0.92666667,0.73544974,0.70929986,0.61000000,0.57746479,0.82000000,0.67768595
15,0.65168935,0.60000000,0.55725191,0.97333333,0.70873786,0.74080932,0.54000000,0.52380952,0.88000000,0.65671642
16,0.71276146,0.54000000,0.52083333,1.00000000,0.68493151,0.78045183,0.48000000,0.48979592,0.96000000,0.64864865
17,0.62890679,0.64666667,0.78947368,0.40000000,0.53097345,0.70994240,0.48000000,0.45833333,0.22000000,0.29729730
18,0.59318614,0.71666667,0.84946237,0.52666667,0.65020576,0.71462244,0.60000000,0.64705882,0.44000000,0.52380952
19,0.68518913,0.54666667,0.52447552,1.00000000,0.68807339,0.77254868,0.50000000,0.50000000,0.94000000,0.65277778
20,0.66274679,0.57333333,0.92307692,0.16000000,0.27272727,0.80242735,0.54000000,0.70000000,0.14000000,0.23333333
21,0.64880443,0.61666667,0.56603774,1.00000000,0.72289157,0.79651016,0.49000000,0.49462366,0.92000000,0.64335664
22,0.54409659,0.72333333,0.66341463,0.90666667,0.76619718,0.79227471,0.48000000,0.48611111,0.70000000,0.57377049
23,0.55398566,0.71333333,0.65094340,0.92000000,0.76243094,0.86591840,0.46000000,0.47368421,0.72000000,0.57142857
24,0.52791178,0.73333333,0.83018868,0.58666667,0.68750000,0.79013503,0.53000000,0.53658537,0.44000000,0.48351648
25,0.60407293,0.67666667,0.60816327,0.99333333,0.75443038,0.95020646,0.50000000,0.50000000,0.84000000,0.62686567
26,0.52982432,0.75000000,0.87128713,0.58666667,0.70119522,0.81189680,0.52000000,0.53571429,0.30000000,0.38461538
27,0.53336030,0.74000000,0.66822430,0.95333333,0.78571429,0.82673478,0.47000000,0.48051948,0.74000000,0.58267717
28,0.66233045,0.62666667,0.57307692,0.99333333,0.72682927,1.01073611,0.49000000,0.49438202,0.88000000,0.63309353
29,0.53652698,0.76000000,0.82500000,0.66000000,0.73333333,0.75698930,0.56000000,0.57894737,0.44000000,0.50000000
30,0.44244680,0.83666667,0.83443709,0.84000000,0.83720930,0.86917800,0.52000000,0.52083333,0.50000000,0.51020408
31,0.53271967,0.76333333,0.70466321,0.90666667,0.79300292,0.73894238,0.54000000,0.53448276,0.62000000,0.57407407
32,0.58770239,0.62000000,0.95000000,0.25333333,0.40000000,0.92640609,0.55000000,0.77777778,0.14000000,0.23728814
33,0.51011002,0.75000000,0.67281106,0.97333333,0.79564033,1.05520940,0.46000000,0.47500000,0.76000000,0.58461538
34,0.53420484,0.69000000,0.95238095,0.40000000,0.56338028,0.83842224,0.48000000,0.45000000,0.18000000,0.25714286
35,0.39183974,0.87333333,0.88888889,0.85333333,0.87074830,0.84537798,0.58000000,0.59523810,0.50000000,0.54347826
36,0.76516062,0.59000000,0.54945055,1.00000000,0.70921986,1.03220141,0.51000000,0.50526316,0.96000000,0.66206897
