epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70315063,0.52000000,0.51041667,0.98000000,0.67123288,0.72952706,0.50000000,0.50000000,0.92000000,0.64788732
2,0.68672425,0.54666667,0.52755906,0.89333333,0.66336634,0.71695817,0.46000000,0.47500000,0.76000000,0.58461538
3,0.68358356,0.54666667,0.52734375,0.90000000,0.66502463,0.71383303,0.48000000,0.48750000,0.78000000,0.60000000
4,0.67229366,0.61666667,0.58293839,0.82000000,0.68144044,0.71489882,0.45000000,0.46268657,0.62000000,0.52991453
5,0.67275268,0.60666667,0.56956522,0.87333333,0.68947368,0.71467459,0.47000000,0.48000000,0.72000000,0.57600000
6,0.66733330,0.59666667,0.67901235,0.36666667,0.47619048,0.71871781,0.47000000,0.43478261,0.20000000,0.27397260
7,0.67136264,0.60666667,0.56504065,0.92666667,0.70202020,0.72110802,0.48000000,0.48750000,0.78000000,0.60000000
8,0.65944654,0.64666667,0.63095238,0.70666667,0.66666667,0.71701837,0.40000000,0.40384615,0.42000000,0.41176471
9,0.66916966,0.59000000,0.55212355,0.95333333,0.69926650,0.72208571,0.48000000,0.48837209,0.84000000,0.61764706
10,0.66982335,0.54333333,0.84210526,0.10666667,0.18934911,0.73428100,0.48000000,0.25000000,0.02000000,0.03703704
11,0.65211087,0.61000000,0.70370370,0.38000000,0.49350649,0.72143435,0.48000000,0.45000000,0.18000000,0.25714286
12,0.64463961,0.66666667,0.69841270,0.58666667,0.63768116,0.71528715,0.47000000,0.46153846,0.36000000,0.40449438
13,0.64250427,0.67333333,0.63131313,0.83333333,0.71839080,0.71827680,0.48000000,0.48484848,0.64000000,0.55172414
14,0.64208543,0.61333333,0.74285714,0.34666667,0.47272727,0.72728378,0.48000000,0.44444444,0.16000000,0.23529412
15,0.64511853,0.58666667,0.76000000,0.25333333,0.38000000,0.74224508,0.48000000,0.43750000,0.14000000,0.21212121
16,0.69757926,0.50666667,1.00000000,0.01333333,0.02631579,0.79517102,0.48000000,0.00000000,0.00000000,0.00000000
17,0.62556398,0.72000000,0.68539326,0.81333333,0.74390244,0.72467208,0.46000000,0.46428571,0.52000000,0.49056604
18,0.65785724,0.58333333,0.54716981,0.96666667,0.69879518,0.74397629,0.47000000,0.48314607,0.86000000,0.61870504
19,0.61498749,0.73000000,0.76744186,0.66000000,0.70967742,0.72881639,0.47000000,0.45714286,0.32000000,0.37647059
20,0.61172920,0.70666667,0.79807692,0.55333333,0.65354331,0.73697019,0.45000000,0.41379310,0.24000000,0.30379747
21,0.61313701,0.69333333,0.63551402,0.90666667,0.74725275,0.74239206,0.49000000,0.49315068,0.72000000,0.58536585
22,0.61985594,0.65333333,0.59745763,0.94000000,0.73056995,0.76013786,0.48000000,0.48684211,0.74000000,0.58730159
23,0.61372727,0.64333333,0.87719298,0.33333333,0.48309179,0.75709045,0.51000000,0.53846154,0.14000000,0.22222222
24,0.58791786,0.75666667,0.79389313,0.69333333,0.74021352,0.74667418,0.47000000,0.45945946,0.34000000,0.39080460
25,0.58846933,0.72333333,0.84536082,0.54666667,0.66396761,0.75894213,0.48000000,0.46666667,0.28000000,0.35000000
26,0.59544235,0.67000000,0.93220339,0.36666667,0.52631579,0.75802457,0.51000000,0.53333333,0.16000000,0.24615385
27,0.57663798,0.77000000,0.71428571,0.90000000,0.79646018,0.75197202,0.50000000,0.50000000,0.58000000,0.53703704
28,0.59394896,0.67666667,0.86301370,0.42000000,0.56502242,0.78810561,0.44000000,0.35000000,0.14000000,0.20000000
29,0.56379539,0.75666667,0.69948187,0.90000000,0.78717201,0.75608277,0.49000000,0.49206349,0.62000000,0.54867257
30,0.58418298,0.68333333,0.87671233,0.42666667,0.57399103,0.79497248,0.46000000,0.40000000,0.16000000,0.22857143
31,0.63668096,0.54666667,1.00000000,0.09333333,0.17073171,0.81782222,0.50000000,0.50000000,0.06000000,0.10714286
32,0.54818314,0.75666667,0.88118812,0.59333333,0.70916335,0.76704508,0.50000000,0.50000000,0.24000000,0.32432432
33,0.71752310,0.55333333,0.52816901,1.00000000,0.69124424,0.88629913,0.46000000,0.47916667,0.92000000,0.63013699
34,0.52831668,0.80666667,0.81944444,0.78666667,0.80272109,0.77371222,0.51000000,0.51219512,0.42000000,0.46153846
35,0.72259867,0.54666667,0.52447552,1.00000000,0.68807339,0.88902646,0.45000000,0.47368421,0.90000000,0.62068966
36,0.51687783,0.82666667,0.81012658,0.85333333,0.83116883,0.77005845,0.51000000,0.51063830,0.48000000,0.49484536
37,0.50296974,0.81333333,0.81333333,0.81333333,0.81333333,0.79283082,0.50000000,0.50000000,0.48000000,0.48979592
38,0.57844013,0.67666667,0.60816327,0.99333333,0.75443038,0.83299029,0.52000000,0.51250000,0.82000000,0.63076923
39,0.55765724,0.69666667,0.62553191,0.98000000,0.76363636,0.80751127,0.50000000,0.50000000,0.76000000,0.60317460
40,0.67452210,0.58333333,0.54545455,1.00000000,0.70588235,0.88582975,0.47000000,0.48387097,0.90000000,0.62937063
41,0.52653360,0.70333333,0.96923077,0.42000000,0.58604651,0.83160514,0.52000000,0.56250000,0.18000000,0.27272727
42,0.52949643,0.72333333,0.64888889,0.97333333,0.77866667,0.82036799,0.53000000,0.52054795,0.76000000,0.61788618
43,0.71147132,0.57666667,0.54151625,1.00000000,0.70257611,0.94416809,0.46000000,0.47872340,0.90000000,0.62500000
44,0.69604719,0.53333333,1.00000000,0.06666667,0.12500000,1.01324606,0.47000000,0.00000000,0.00000000,0.00000000
45,0.48463374,0.79000000,0.93069307,0.62666667,0.74900398,0.86919522,0.48000000,0.46875000,0.30000000,0.36585366
46,0.46813405,0.80000000,0.76785714,0.86000000,0.81132075,0.85431105,0.49000000,0.48979592,0.48000000,0.48484848
47,0.46599752,0.85333333,0.80813953,0.92666667,0.86335404,0.79202223,0.51000000,0.50877193,0.58000000,0.54205607
