epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69273239,0.50666667,0.50595238,0.56666667,0.53459119,0.69778013,0.51000000,0.51063830,0.48000000,0.49484536
2,0.68846506,0.55666667,0.60759494,0.32000000,0.41921397,0.69675124,0.54000000,0.59090909,0.26000000,0.36111111
3,0.68470687,0.54000000,0.53092784,0.68666667,0.59883721,0.69412613,0.49000000,0.49180328,0.60000000,0.54054054
4,0.68317378,0.55000000,0.53303965,0.80666667,0.64190981,0.69441772,0.47000000,0.47761194,0.64000000,0.54700855
5,0.67938721,0.59000000,0.67532468,0.34666667,0.45814978,0.69434303,0.55000000,0.61904762,0.26000000,0.36619718
6,0.67909282,0.54333333,0.52674897,0.85333333,0.65139949,0.69335109,0.49000000,0.49367089,0.78000000,0.60465116
7,0.67298001,0.60000000,0.58426966,0.69333333,0.63414634,0.69102019,0.46000000,0.46296296,0.50000000,0.48076923
8,0.67436475,0.56000000,0.53688525,0.87333333,0.66497462,0.69402272,0.51000000,0.50649351,0.78000000,0.61417323
9,0.66734618,0.62666667,0.61309524,0.68666667,0.64779874,0.69079465,0.52000000,0.51851852,0.56000000,0.53846154
10,0.66499633,0.62333333,0.61212121,0.67333333,0.64126984,0.69099456,0.49000000,0.49019608,0.50000000,0.49504950
11,0.66494364,0.65666667,0.77011494,0.44666667,0.56540084,0.69190758,0.53000000,0.56000000,0.28000000,0.37333333
12,0.66155446,0.65000000,0.70270270,0.52000000,0.59770115,0.69366634,0.51000000,0.51515152,0.34000000,0.40963855
13,0.65800816,0.62666667,0.60919540,0.70666667,0.65432099,0.69179422,0.54000000,0.53703704,0.58000000,0.55769231
14,0.65528899,0.63000000,0.59701493,0.80000000,0.68376068,0.69138342,0.52000000,0.51612903,0.64000000,0.57142857
15,0.65212291,0.65333333,0.62365591,0.77333333,0.69047619,0.69065881,0.51000000,0.50909091,0.56000000,0.53333333
16,0.64917266,0.65666667,0.63742690,0.72666667,0.67912773,0.68912965,0.51000000,0.50980392,0.52000000,0.51485149
17,0.64769846,0.64666667,0.61702128,0.77333333,0.68639053,0.69210851,0.50000000,0.50000000,0.60000000,0.54545455
18,0.64644289,0.65000000,0.60563380,0.86000000,0.71074380,0.69187278,0.50000000,0.50000000,0.68000000,0.57627119
19,0.67566121,0.56000000,0.53237410,0.98666667,0.69158879,0.71501052,0.49000000,0.49462366,0.92000000,0.64335664
20,0.64502180,0.67333333,0.86111111,0.41333333,0.55855856,0.69347435,0.52000000,0.55000000,0.22000000,0.31428571
21,0.63655692,0.70000000,0.71739130,0.66000000,0.68750000,0.68846738,0.53000000,0.53488372,0.46000000,0.49462366
22,0.63890421,0.65000000,0.60180995,0.88666667,0.71698113,0.69211257,0.54000000,0.52702703,0.78000000,0.62903226
23,0.63090473,0.67666667,0.63184080,0.84666667,0.72364672,0.69130868,0.54000000,0.53125000,0.68000000,0.59649123
24,0.62730050,0.67666667,0.63451777,0.83333333,0.72046110,0.69199270,0.52000000,0.51612903,0.64000000,0.57142857
25,0.64763570,0.60666667,0.56250000,0.96000000,0.70935961,0.71061933,0.49000000,0.49450549,0.90000000,0.63829787
26,0.63295734,0.67333333,0.90625000,0.38666667,0.54205607,0.69444913,0.51000000,0.52631579,0.20000000,0.28985507
27,0.61786711,0.72666667,0.70238095,0.78666667,0.74213836,0.68852901,0.55000000,0.54716981,0.58000000,0.56310680
28,0.61473525,0.73666667,0.76691729,0.68000000,0.72084806,0.68994927,0.58000000,0.59523810,0.50000000,0.54347826
29,0.61205393,0.70333333,0.66310160,0.82666667,0.73590504,0.69034421,0.53000000,0.52631579,0.60000000,0.56074766
30,0.60738832,0.72000000,0.67741935,0.84000000,0.75000000,0.69197994,0.52000000,0.51724138,0.60000000,0.55555556
31,0.60386199,0.75666667,0.74522293,0.78000000,0.76221498,0.69073981,0.54000000,0.54000000,0.54000000,0.54000000
32,0.60752994,0.73666667,0.85858586,0.56666667,0.68273092,0.69157487,0.58000000,0.63333333,0.38000000,0.47500000
33,0.62185019,0.64666667,0.59016393,0.96000000,0.73096447,0.70743656,0.52000000,0.51190476,0.86000000,0.64179104
34,0.60355163,0.74333333,0.90109890,0.54666667,0.68049793,0.69471389,0.58000000,0.65384615,0.34000000,0.44736842
35,0.61759144,0.64333333,0.58775510,0.96000000,0.72911392,0.71776754,0.51000000,0.50588235,0.86000000,0.63703704
36,0.63544679,0.62000000,0.56976744,0.98000000,0.72058824,0.72943497,0.49000000,0.49450549,0.90000000,0.63829787
37,0.58151394,0.77000000,0.76129032,0.78666667,0.77377049,0.69536161,0.55000000,0.55102041,0.54000000,0.54545455
38,0.58491355,0.76000000,0.89000000,0.59333333,0.71200000,0.70219570,0.56000000,0.60000000,0.36000000,0.45000000
39,0.57239765,0.77333333,0.75308642,0.81333333,0.78205128,0.69824296,0.55000000,0.54901961,0.56000000,0.55445545
40,0.62444586,0.62666667,0.57421875,0.98000000,0.72413793,0.74759090,0.51000000,0.50561798,0.90000000,0.64748201
41,0.58235073,0.74000000,0.91860465,0.52666667,0.66949153,0.71323842,0.54000000,0.57692308,0.30000000,0.39473684
42,0.56468678,0.73333333,0.67500000,0.90000000,0.77142857,0.70656264,0.52000000,0.51515152,0.68000000,0.58620690
43,0.57373995,0.71666667,0.65116279,0.93333333,0.76712329,0.72037047,0.53000000,0.52112676,0.74000000,0.61157025
44,0.56140286,0.73666667,0.68205128,0.88666667,0.77101449,0.70002699,0.58000000,0.56060606,0.74000000,0.63793103
45,0.57719100,0.71000000,0.64000000,0.96000000,0.76800000,0.72411561,0.54000000,0.52500000,0.84000000,0.64615385
46,0.54847139,0.79666667,0.88034188,0.68666667,0.77153558,0.70320988,0.55000000,0.57142857,0.40000000,0.47058824
47,0.63209313,0.56333333,1.00000000,0.12666667,0.22485207,0.77100933,0.53000000,1.00000000,0.06000000,0.11320755
