epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69689626,0.52000000,0.51153846,0.88666667,0.64878049,0.70245725,0.52000000,0.51136364,0.90000000,0.65217391
2,0.68526876,0.53000000,0.53383459,0.47333333,0.50176678,0.69768494,0.46000000,0.44736842,0.34000000,0.38636364
3,0.68265676,0.59333333,0.56034483,0.86666667,0.68062827,0.70407689,0.48000000,0.48648649,0.72000000,0.58064516
4,0.67506504,0.61000000,0.59763314,0.67333333,0.63322884,0.70647842,0.42000000,0.42307692,0.44000000,0.43137255
5,0.67247456,0.62333333,0.58447489,0.85333333,0.69376694,0.70914549,0.45000000,0.46376812,0.64000000,0.53781513
6,0.66955560,0.60333333,0.70129870,0.36000000,0.47577093,0.70676965,0.46000000,0.42307692,0.22000000,0.28947368
7,0.66974884,0.56333333,0.71111111,0.21333333,0.32820513,0.71422166,0.45000000,0.33333333,0.10000000,0.15384615
8,0.66640598,0.60666667,0.56557377,0.92000000,0.70050761,0.71787995,0.52000000,0.51219512,0.84000000,0.63636364
9,0.65746927,0.61666667,0.70114943,0.40666667,0.51476793,0.71314144,0.45000000,0.41379310,0.24000000,0.30379747
10,0.65129739,0.68333333,0.65193370,0.78666667,0.71299094,0.71455282,0.42000000,0.42857143,0.48000000,0.45283019
11,0.64890140,0.69666667,0.66480447,0.79333333,0.72340426,0.71163023,0.45000000,0.45454545,0.50000000,0.47619048
12,0.65509564,0.61000000,0.56680162,0.93333333,0.70528967,0.72239286,0.50000000,0.50000000,0.78000000,0.60937500
13,0.64154631,0.70000000,0.70000000,0.70000000,0.70000000,0.71959364,0.43000000,0.43137255,0.44000000,0.43564356
14,0.64308262,0.67666667,0.77319588,0.50000000,0.60728745,0.72126061,0.44000000,0.40000000,0.24000000,0.30000000
15,0.63519663,0.67666667,0.64804469,0.77333333,0.70516717,0.72062832,0.42000000,0.43333333,0.52000000,0.47272727
16,0.64576995,0.62666667,0.57851240,0.93333333,0.71428571,0.73056501,0.51000000,0.50632911,0.80000000,0.62015504
17,0.63598949,0.66000000,0.77906977,0.44666667,0.56779661,0.72623259,0.42000000,0.34615385,0.18000000,0.23684211
18,0.62876397,0.67666667,0.62926829,0.86000000,0.72676056,0.72290921,0.44000000,0.45454545,0.60000000,0.51724138
19,0.63421685,0.63666667,0.58577406,0.93333333,0.71979434,0.73037338,0.47000000,0.48051948,0.74000000,0.58267717
20,0.62003452,0.73333333,0.77777778,0.65333333,0.71014493,0.72612572,0.42000000,0.40000000,0.32000000,0.35555556
21,0.62055534,0.68000000,0.62500000,0.90000000,0.73770492,0.72557610,0.48000000,0.48571429,0.68000000,0.56666667
22,0.61505985,0.71666667,0.66169154,0.88666667,0.75783476,0.72641402,0.46000000,0.47058824,0.64000000,0.54237288
23,0.60847038,0.73333333,0.70833333,0.79333333,0.74842767,0.72523040,0.42000000,0.43103448,0.50000000,0.46296296
24,0.60530519,0.75666667,0.76190476,0.74666667,0.75420875,0.72664684,0.44000000,0.44000000,0.44000000,0.44000000
25,0.62423182,0.63333333,0.88461538,0.30666667,0.45544554,0.74378967,0.50000000,0.50000000,0.08000000,0.13793103
26,0.59773654,0.75666667,0.78102190,0.71333333,0.74564460,0.73301482,0.40000000,0.39583333,0.38000000,0.38775510
27,0.59974253,0.76333333,0.86915888,0.62000000,0.72373541,0.72772676,0.43000000,0.38709677,0.24000000,0.29629630
28,0.59210551,0.72666667,0.67346939,0.88000000,0.76300578,0.73565489,0.44000000,0.45312500,0.58000000,0.50877193
29,0.65623081,0.58000000,0.54347826,1.00000000,0.70422535,0.78383642,0.48000000,0.48913043,0.90000000,0.63380282
30,0.58172148,0.74000000,0.70689655,0.82000000,0.75925926,0.72868270,0.44000000,0.45000000,0.54000000,0.49090909
31,0.58621532,0.71666667,0.65258216,0.92666667,0.76584022,0.74243468,0.47000000,0.47887324,0.68000000,0.56198347
32,0.57488924,0.77666667,0.80740741,0.72666667,0.76491228,0.73769933,0.44000000,0.43181818,0.38000000,0.40425532
33,0.60041952,0.65666667,0.59514170,0.98000000,0.74055416,0.75689894,0.53000000,0.51807229,0.86000000,0.64661654
34,0.60816419,0.63000000,0.57528958,0.99333333,0.72860636,0.76558751,0.52000000,0.51190476,0.86000000,0.64179104
35,0.60992616,0.62666667,0.57307692,0.99333333,0.72682927,0.77775627,0.53000000,0.51807229,0.86000000,0.64661654
36,0.55827272,0.74000000,0.68181818,0.90000000,0.77586207,0.75399685,0.46000000,0.46875000,0.60000000,0.52631579
37,0.55241215,0.74000000,0.68367347,0.89333333,0.77456647,0.74794149,0.46000000,0.46969697,0.62000000,0.53448276
38,0.54431987,0.80666667,0.80263158,0.81333333,0.80794702,0.74313951,0.41000000,0.41509434,0.44000000,0.42718447
39,0.54047495,0.81666667,0.84172662,0.78000000,0.80968858,0.75138378,0.43000000,0.42553191,0.40000000,0.41237113
