epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.73141032,0.50000000,0.00000000,0.00000000,0.00000000,0.72859186,0.50000000,0.00000000,0.00000000,0.00000000
2,0.68079001,0.55666667,0.56488550,0.49333333,0.52669039,0.69452012,0.46000000,0.44117647,0.30000000,0.35714286
3,0.68850136,0.52000000,0.58823529,0.13333333,0.21739130,0.71593362,0.49000000,0.47058824,0.16000000,0.23880597
4,0.68714082,0.52666667,0.70000000,0.09333333,0.16470588,0.69952983,0.49000000,0.44444444,0.08000000,0.13559322
5,0.68389136,0.56000000,0.53629032,0.88666667,0.66834171,0.69369102,0.50000000,0.50000000,0.82000000,0.62121212
6,0.67186463,0.59333333,0.55833333,0.89333333,0.68717949,0.70698762,0.48000000,0.48717949,0.76000000,0.59375000
7,0.67040831,0.63000000,0.63087248,0.62666667,0.62876254,0.70374846,0.48000000,0.47916667,0.46000000,0.46938776
8,0.67490369,0.59000000,0.55212355,0.95333333,0.69926650,0.70092195,0.51000000,0.50617284,0.82000000,0.62595420
9,0.67298514,0.54666667,0.62068966,0.24000000,0.34615385,0.68959749,0.51000000,0.52941176,0.18000000,0.26865672
10,0.65243149,0.62666667,0.58189655,0.90000000,0.70680628,0.71646285,0.51000000,0.50617284,0.82000000,0.62595420
11,0.67559505,0.55333333,0.52836879,0.99333333,0.68981481,0.73210031,0.48000000,0.48936170,0.92000000,0.63888889
12,0.67373830,0.57666667,0.76744186,0.22000000,0.34196891,0.78696179,0.49000000,0.47058824,0.16000000,0.23880597
13,0.65552348,0.59333333,0.55384615,0.96000000,0.70243902,0.76292765,0.49000000,0.49438202,0.88000000,0.63309353
14,0.67637503,0.56000000,0.53191489,1.00000000,0.69444444,0.77361906,0.49000000,0.49462366,0.92000000,0.64335664
15,0.61817658,0.65333333,0.72549020,0.49333333,0.58730159,0.76632851,0.46000000,0.44444444,0.32000000,0.37209302
16,0.62052137,0.65333333,0.78750000,0.42000000,0.54782609,0.76065397,0.54000000,0.58333333,0.28000000,0.37837838
17,0.62022245,0.60000000,0.77777778,0.28000000,0.41176471,0.77795309,0.49000000,0.47058824,0.16000000,0.23880597
18,0.59082878,0.73666667,0.69189189,0.85333333,0.76417910,0.72647840,0.54000000,0.53448276,0.62000000,0.57407407
19,0.57063872,0.72666667,0.69767442,0.80000000,0.74534161,0.74402010,0.50000000,0.50000000,0.58000000,0.53703704
20,0.66400379,0.57666667,0.54243542,0.98000000,0.69833729,0.82036948,0.54000000,0.52272727,0.92000000,0.66666667
21,0.61192578,0.64333333,0.58565737,0.98000000,0.73316708,0.73807114,0.53000000,0.51898734,0.82000000,0.63565891
22,0.53699839,0.73666667,0.67839196,0.90000000,0.77363897,0.77913344,0.54000000,0.53125000,0.68000000,0.59649123
23,0.60842377,0.66000000,0.75000000,0.48000000,0.58536585,0.80684280,0.52000000,0.52777778,0.38000000,0.44186047
24,0.53511977,0.76000000,0.72159091,0.84666667,0.77914110,0.78736824,0.53000000,0.52542373,0.62000000,0.56880734
25,0.56722301,0.75000000,0.76223776,0.72666667,0.74402730,0.77015030,0.50000000,0.50000000,0.48000000,0.48979592
26,0.62861055,0.64666667,0.58730159,0.98666667,0.73631841,0.72797114,0.51000000,0.50574713,0.88000000,0.64233577
27,0.72728199,0.52666667,0.72222222,0.08666667,0.15476190,0.91494697,0.50000000,0.50000000,0.02000000,0.03846154
28,0.62694097,0.63000000,0.81967213,0.33333333,0.47393365,0.80781740,0.51000000,0.53333333,0.16000000,0.24615385
29,0.58604592,0.64666667,0.74444444,0.44666667,0.55833333,0.77597046,0.52000000,0.55555556,0.20000000,0.29411765
30,0.68438560,0.57333333,0.53956835,1.00000000,0.70093458,0.89811671,0.47000000,0.48387097,0.90000000,0.62937063
31,0.59978718,0.65333333,0.59055118,1.00000000,0.74257426,0.82092822,0.54000000,0.52439024,0.86000000,0.65151515
32,0.53794444,0.73333333,0.66826923,0.92666667,0.77653631,0.80767518,0.51000000,0.50769231,0.66000000,0.57391304
33,0.49557444,0.75666667,0.80800000,0.67333333,0.73454545,0.83287370,0.53000000,0.53488372,0.46000000,0.49462366
34,0.50115436,0.76000000,0.83620690,0.64666667,0.72932331,0.87057412,0.54000000,0.55263158,0.42000000,0.47727273
35,0.57290727,0.64000000,1.00000000,0.28000000,0.43750000,0.91576385,0.47000000,0.33333333,0.06000000,0.10169492
36,0.57666433,0.67666667,0.83544304,0.44000000,0.57641921,0.97682101,0.54000000,0.58333333,0.28000000,0.37837838
37,0.48843515,0.79000000,0.87826087,0.67333333,0.76226415,0.87586206,0.53000000,0.54545455,0.36000000,0.43373494
38,0.63421690,0.57000000,0.83870968,0.17333333,0.28729282,0.95344895,0.47000000,0.28571429,0.04000000,0.07017544
