epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69545358,0.50666667,0.50381679,0.88000000,0.64077670,0.68948406,0.52000000,0.51162791,0.88000000,0.64705882
2,0.68671393,0.58000000,0.58695652,0.54000000,0.56250000,0.68408203,0.55000000,0.55555556,0.50000000,0.52631579
3,0.68492371,0.56000000,0.54054054,0.80000000,0.64516129,0.68648428,0.55000000,0.53521127,0.76000000,0.62809917
4,0.68236566,0.56333333,0.54112554,0.83333333,0.65616798,0.68802869,0.54000000,0.52631579,0.80000000,0.63492063
5,0.67690867,0.58666667,0.58024691,0.62666667,0.60256410,0.68359417,0.52000000,0.51851852,0.56000000,0.53846154
6,0.67423433,0.60666667,0.61940299,0.55333333,0.58450704,0.68262905,0.56000000,0.56521739,0.52000000,0.54166667
7,0.67294711,0.61000000,0.57674419,0.82666667,0.67945205,0.68769014,0.57000000,0.54794521,0.80000000,0.65040650
8,0.67010075,0.61333333,0.65454545,0.48000000,0.55384615,0.68382812,0.59000000,0.60465116,0.52000000,0.55913978
9,0.66552228,0.62333333,0.62758621,0.60666667,0.61694915,0.68517256,0.54000000,0.54000000,0.54000000,0.54000000
10,0.66613173,0.59000000,0.67088608,0.35333333,0.46288210,0.68547636,0.60000000,0.65625000,0.42000000,0.51219512
11,0.66088533,0.64666667,0.70000000,0.51333333,0.59230769,0.68482381,0.60000000,0.61904762,0.52000000,0.56521739
12,0.65713638,0.65000000,0.61658031,0.79333333,0.69387755,0.68693894,0.54000000,0.53125000,0.68000000,0.59649123
13,0.65785408,0.63333333,0.77027027,0.38000000,0.50892857,0.68658894,0.59000000,0.64516129,0.40000000,0.49382716
14,0.67793131,0.53000000,0.80000000,0.08000000,0.14545455,0.70296836,0.55000000,0.77777778,0.14000000,0.23728814
15,0.64701557,0.67000000,0.67114094,0.66666667,0.66889632,0.68516463,0.59000000,0.58823529,0.60000000,0.59405941
16,0.64646280,0.66666667,0.62626263,0.82666667,0.71264368,0.68789184,0.52000000,0.51562500,0.66000000,0.57894737
17,0.64278281,0.69000000,0.65921788,0.78666667,0.71732523,0.68541884,0.52000000,0.51562500,0.66000000,0.57894737
18,0.64058220,0.66666667,0.70161290,0.58000000,0.63503650,0.68652040,0.57000000,0.58139535,0.50000000,0.53763441
19,0.66244328,0.56666667,0.53676471,0.97333333,0.69194313,0.70519531,0.52000000,0.51111111,0.92000000,0.65714286
20,0.66236323,0.56333333,0.53429603,0.98666667,0.69320843,0.70739716,0.52000000,0.51086957,0.94000000,0.66197183
21,0.63269985,0.70666667,0.66145833,0.84666667,0.74269006,0.68701339,0.53000000,0.52307692,0.68000000,0.59130435
22,0.63293099,0.66333333,0.61395349,0.88000000,0.72328767,0.69063431,0.55000000,0.53521127,0.76000000,0.62809917
23,0.62229466,0.72666667,0.72972973,0.72000000,0.72483221,0.68451542,0.59000000,0.59183673,0.58000000,0.58585859
24,0.61928582,0.70666667,0.69135802,0.74666667,0.71794872,0.68412614,0.60000000,0.59259259,0.64000000,0.61538462
25,0.64160210,0.63000000,0.57768924,0.96666667,0.72319202,0.70819443,0.51000000,0.50574713,0.88000000,0.64233577
26,0.61197203,0.74333333,0.76258993,0.70666667,0.73356401,0.68499082,0.56000000,0.56818182,0.50000000,0.53191489
27,0.64646834,0.57333333,0.89285714,0.16666667,0.28089888,0.71794969,0.57000000,0.81818182,0.18000000,0.29508197
28,0.60411763,0.73666667,0.70760234,0.80666667,0.75389408,0.68549055,0.56000000,0.55555556,0.60000000,0.57692308
29,0.60618132,0.71000000,0.84615385,0.51333333,0.63900415,0.69076210,0.55000000,0.58620690,0.34000000,0.43037975
30,0.66506523,0.53000000,0.84615385,0.07333333,0.13496933,0.74161041,0.53000000,0.71428571,0.10000000,0.17543860
31,0.59521508,0.74666667,0.69270833,0.88666667,0.77777778,0.68648881,0.53000000,0.52380952,0.66000000,0.58407080
32,0.59787214,0.71333333,0.89024390,0.48666667,0.62931034,0.69855541,0.54000000,0.57142857,0.32000000,0.41025641
33,0.65485269,0.54333333,0.88235294,0.10000000,0.17964072,0.74480599,0.53000000,0.71428571,0.10000000,0.17543860
34,0.58136982,0.78000000,0.87500000,0.65333333,0.74809160,0.69060010,0.57000000,0.60606061,0.40000000,0.48192771
35,0.60355449,0.67666667,0.60816327,0.99333333,0.75443038,0.70193905,0.55000000,0.53086420,0.86000000,0.65648855
36,0.69294757,0.54333333,0.52264808,1.00000000,0.68649886,0.78531736,0.49000000,0.49484536,0.96000000,0.65306122
37,0.58005476,0.73333333,0.91666667,0.51333333,0.65811966,0.70648819,0.56000000,0.62500000,0.30000000,0.40540541
38,0.56031698,0.78666667,0.77922078,0.80000000,0.78947368,0.70141089,0.54000000,0.54166667,0.52000000,0.53061224
39,0.55368334,0.79000000,0.77358491,0.82000000,0.79611650,0.69561911,0.55000000,0.55319149,0.52000000,0.53608247
40,0.64900422,0.55333333,0.90000000,0.12000000,0.21176471,0.77513617,0.53000000,0.71428571,0.10000000,0.17543860
