epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.75637692,0.49333333,0.25000000,0.00666667,0.01298701,0.75056726,0.51000000,1.00000000,0.02000000,0.03921569
2,0.68459511,0.56333333,0.57851240,0.46666667,0.51660517,0.68459582,0.55000000,0.56410256,0.44000000,0.49438202
3,0.67745757,0.57000000,0.62068966,0.36000000,0.45569620,0.68454969,0.57000000,0.62068966,0.36000000,0.45569620
4,0.68064493,0.53000000,0.69565217,0.10666667,0.18497110,0.69739830,0.51000000,0.54545455,0.12000000,0.19672131
5,0.66270089,0.63666667,0.66942149,0.54000000,0.59778598,0.68814254,0.53000000,0.54545455,0.36000000,0.43373494
6,0.67088723,0.56666667,0.53787879,0.94666667,0.68599034,0.70333755,0.48000000,0.48809524,0.82000000,0.61194030
7,0.65354228,0.64666667,0.68333333,0.54666667,0.60740741,0.69862944,0.54000000,0.55882353,0.38000000,0.45238095
8,0.67662305,0.56000000,0.53214286,0.99333333,0.69302326,0.72033173,0.53000000,0.51612903,0.96000000,0.67132867
9,0.67147684,0.55333333,0.52877698,0.98000000,0.68691589,0.72571671,0.52000000,0.51111111,0.92000000,0.65714286
10,0.64715242,0.62333333,0.57740586,0.92000000,0.70951157,0.71687859,0.48000000,0.48684211,0.74000000,0.58730159
11,0.64060301,0.64666667,0.59401709,0.92666667,0.72395833,0.71407259,0.50000000,0.50000000,0.76000000,0.60317460
12,0.64001656,0.62666667,0.77941176,0.35333333,0.48623853,0.72306657,0.52000000,0.54545455,0.24000000,0.33333333
13,0.62713665,0.67666667,0.62211982,0.90000000,0.73569482,0.70412779,0.52000000,0.51428571,0.72000000,0.60000000
14,0.63068247,0.64666667,0.81428571,0.38000000,0.51818182,0.70787168,0.52000000,0.54545455,0.24000000,0.33333333
15,0.62812889,0.62666667,0.86538462,0.30000000,0.44554455,0.71879584,0.53000000,0.58823529,0.20000000,0.29850746
16,0.62034577,0.64333333,0.83076923,0.36000000,0.50232558,0.71961576,0.55000000,0.61904762,0.26000000,0.36619718
17,0.60041726,0.76333333,0.76510067,0.76000000,0.76254181,0.71216613,0.54000000,0.54347826,0.50000000,0.52083333
18,0.63364863,0.60333333,0.94285714,0.22000000,0.35675676,0.73406637,0.54000000,0.62500000,0.20000000,0.30303030
19,0.63842946,0.59000000,0.55133080,0.96666667,0.70217918,0.74613714,0.51000000,0.50574713,0.88000000,0.64233577
20,0.62221736,0.62000000,0.92857143,0.26000000,0.40625000,0.74490690,0.53000000,0.60000000,0.18000000,0.27692308
21,0.58778006,0.72000000,0.83673469,0.54666667,0.66129032,0.72673917,0.54000000,0.57142857,0.32000000,0.41025641
22,0.61945289,0.61666667,0.56756757,0.98000000,0.71882641,0.73942477,0.54000000,0.52325581,0.90000000,0.66176471
23,0.59009558,0.70666667,0.95588235,0.43333333,0.59633028,0.71835279,0.52000000,0.56250000,0.18000000,0.27272727
24,0.84037000,0.50333333,1.00000000,0.00666667,0.01324503,0.94923997,0.51000000,1.00000000,0.02000000,0.03921569
25,0.60492998,0.63000000,0.97560976,0.26666667,0.41884817,0.75518632,0.52000000,0.58333333,0.14000000,0.22580645
26,0.55885404,0.79000000,0.77018634,0.82666667,0.79742765,0.72274190,0.58000000,0.58000000,0.58000000,0.58000000
27,0.57411176,0.68333333,0.96610169,0.38000000,0.54545455,0.74922645,0.53000000,0.58823529,0.20000000,0.29850746
28,0.55656159,0.77000000,0.94505495,0.57333333,0.71369295,0.71854854,0.53000000,0.55555556,0.30000000,0.38961039
29,0.56325418,0.71000000,0.94366197,0.44666667,0.60633484,0.75519502,0.53000000,0.57894737,0.22000000,0.31884058
30,0.53272635,0.81000000,0.75409836,0.92000000,0.82882883,0.72708648,0.51000000,0.50746269,0.68000000,0.58119658
31,0.53654349,0.78333333,0.93814433,0.60666667,0.73684211,0.73990232,0.51000000,0.52173913,0.24000000,0.32876712
32,0.52469087,0.79333333,0.84375000,0.72000000,0.77697842,0.75241637,0.52000000,0.52631579,0.40000000,0.45454545
33,0.51788932,0.79000000,0.72307692,0.94000000,0.81739130,0.74116868,0.50000000,0.50000000,0.68000000,0.57627119
34,0.51277387,0.79666667,0.72820513,0.94666667,0.82318841,0.73874235,0.53000000,0.52307692,0.68000000,0.59130435
35,0.66969907,0.53666667,1.00000000,0.07333333,0.13664596,0.89674872,0.52000000,0.75000000,0.06000000,0.11111111
36,0.64511365,0.59000000,0.54945055,1.00000000,0.70921986,0.84061325,0.50000000,0.50000000,0.92000000,0.64788732
37,0.59796977,0.66000000,0.59600000,0.99333333,0.74500000,0.79127198,0.53000000,0.51724138,0.90000000,0.65693431
38,0.58831805,0.62333333,1.00000000,0.24666667,0.39572193,0.81989259,0.51000000,0.55555556,0.10000000,0.16949153
39,0.52920026,0.74000000,0.66216216,0.98000000,0.79032258,0.78075880,0.53000000,0.51898734,0.82000000,0.63565891
40,0.52407056,0.70333333,0.98412698,0.41333333,0.58215962,0.79755455,0.51000000,0.53333333,0.16000000,0.24615385
41,0.49089926,0.79000000,0.97802198,0.59333333,0.73858921,0.77502167,0.52000000,0.54166667,0.26000000,0.35135135
42,0.48882422,0.79000000,0.96774194,0.60000000,0.74074074,0.78703231,0.52000000,0.54545455,0.24000000,0.33333333
43,0.53282917,0.70333333,0.62869198,0.99333333,0.77002584,0.75615317,0.57000000,0.54216867,0.90000000,0.67669173
44,0.49882567,0.78000000,0.70000000,0.98000000,0.81666667,0.76069522,0.54000000,0.52702703,0.78000000,0.62903226
45,0.46962500,0.82000000,0.74489796,0.97333333,0.84393064,0.75620651,0.53000000,0.52238806,0.70000000,0.59829060
46,0.88482195,0.51000000,1.00000000,0.02000000,0.03921569,1.15812242,0.52000000,1.00000000,0.04000000,0.07692308
