epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68388623,0.52333333,0.88888889,0.05333333,0.10062893,0.69632971,0.49000000,0.33333333,0.02000000,0.03773585
2,0.68199790,0.52666667,0.83333333,0.06666667,0.12345679,0.69680417,0.53000000,0.80000000,0.08000000,0.14545455
3,0.67668021,0.53666667,0.51929825,0.98666667,0.68045977,0.70278633,0.48000000,0.48979592,0.96000000,0.64864865
4,0.66809148,0.61000000,0.65420561,0.46666667,0.54474708,0.69324493,0.49000000,0.48837209,0.42000000,0.45161290
5,0.66434497,0.69000000,0.63902439,0.87333333,0.73802817,0.69360715,0.53000000,0.51948052,0.80000000,0.62992126
6,0.67486960,0.56666667,0.59433962,0.42000000,0.49218750,0.68077987,0.56000000,0.57894737,0.44000000,0.50000000
7,0.66636580,0.53666667,1.00000000,0.07333333,0.13664596,0.70775521,0.51000000,0.60000000,0.06000000,0.10909091
8,0.64423078,0.68333333,0.61702128,0.96666667,0.75324675,0.69336468,0.53000000,0.52054795,0.76000000,0.61788618
9,0.66666973,0.52666667,0.78571429,0.07333333,0.13414634,0.72860593,0.51000000,0.57142857,0.08000000,0.14035088
10,0.62137657,0.73666667,0.69832402,0.83333333,0.75987842,0.68943572,0.50000000,0.50000000,0.68000000,0.57627119
11,0.77637428,0.50333333,1.00000000,0.00666667,0.01324503,0.83299345,0.50000000,0.00000000,0.00000000,0.00000000
12,0.62271565,0.63000000,0.57768924,0.96666667,0.72319202,0.72249717,0.51000000,0.50561798,0.90000000,0.64748201
13,0.66369134,0.60000000,0.55681818,0.98000000,0.71014493,0.77829581,0.49000000,0.49462366,0.92000000,0.64335664
14,0.61541677,0.64666667,0.92307692,0.32000000,0.47524752,0.70567256,0.51000000,0.53333333,0.16000000,0.24615385
15,0.60197079,0.66333333,0.98039216,0.33333333,0.49751244,0.70932496,0.55000000,0.66666667,0.20000000,0.30769231
16,0.56426328,0.77666667,0.86086957,0.66000000,0.74716981,0.70480043,0.53000000,0.53846154,0.42000000,0.47191011
17,0.61677426,0.65333333,0.59504132,0.96000000,0.73469388,0.71839476,0.52000000,0.51190476,0.86000000,0.64179104
18,0.59600258,0.71000000,0.64000000,0.96000000,0.76800000,0.70929891,0.50000000,0.50000000,0.80000000,0.61538462
19,0.59357119,0.61333333,0.97222222,0.23333333,0.37634409,0.78972942,0.55000000,0.69230769,0.18000000,0.28571429
20,0.53092700,0.75333333,0.71839080,0.83333333,0.77160494,0.74490815,0.50000000,0.50000000,0.62000000,0.55357143
21,0.56248456,0.67666667,0.94915254,0.37333333,0.53588517,0.77007329,0.54000000,0.62500000,0.20000000,0.30303030
22,0.54155409,0.81666667,0.89256198,0.72000000,0.79704797,0.72321045,0.52000000,0.52631579,0.40000000,0.45454545
23,0.48866847,0.76666667,0.69801980,0.94000000,0.80113636,0.80881453,0.54000000,0.52857143,0.74000000,0.61666667
24,0.50894696,0.77000000,0.74846626,0.81333333,0.77955272,0.76850891,0.57000000,0.56140351,0.64000000,0.59813084
25,0.56507361,0.65000000,1.00000000,0.30000000,0.46153846,0.86380810,0.55000000,0.64705882,0.22000000,0.32835821
26,0.56283319,0.63000000,1.00000000,0.26000000,0.41269841,0.84248114,0.50000000,0.50000000,0.12000000,0.19354839
27,0.49409410,0.81333333,0.77647059,0.88000000,0.82500000,0.73564476,0.55000000,0.53968254,0.68000000,0.60176991
28,0.53273153,0.68333333,0.61506276,0.98000000,0.75578406,0.87621909,0.47000000,0.48192771,0.80000000,0.60150376
29,0.44621053,0.83333333,0.87313433,0.78000000,0.82394366,0.80747253,0.50000000,0.50000000,0.48000000,0.48979592
30,0.50715435,0.74000000,0.88297872,0.55333333,0.68032787,0.86479497,0.57000000,0.61290323,0.38000000,0.46913580
31,0.41319424,0.84666667,0.81325301,0.90000000,0.85443038,0.85678375,0.49000000,0.49152542,0.58000000,0.53211009
32,0.45528683,0.82000000,0.75531915,0.94666667,0.84023669,0.77421123,0.57000000,0.55072464,0.76000000,0.63865546
33,0.43205842,0.80000000,0.73936170,0.92666667,0.82248521,0.88801444,0.57000000,0.55555556,0.70000000,0.61946903
34,0.45907542,0.77000000,0.69377990,0.96666667,0.80779944,0.90782499,0.56000000,0.53846154,0.84000000,0.65625000
35,0.43919399,0.80666667,0.74210526,0.94000000,0.82941176,0.79776990,0.56000000,0.54545455,0.72000000,0.62068966
36,0.43440175,0.83333333,0.91666667,0.73333333,0.81481481,0.76434982,0.56000000,0.58333333,0.42000000,0.48837209
37,0.40408230,0.85000000,0.88888889,0.80000000,0.84210526,0.81633192,0.53000000,0.53488372,0.46000000,0.49462366
38,0.40071890,0.83333333,0.93859649,0.71333333,0.81060606,0.90532655,0.57000000,0.60606061,0.40000000,0.48192771
39,0.51604402,0.67333333,1.00000000,0.34666667,0.51485149,0.95684826,0.56000000,0.68750000,0.22000000,0.33333333
