epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68829644,0.55000000,0.62711864,0.24666667,0.35406699,0.69354564,0.51000000,0.52380952,0.22000000,0.30985915
2,0.67685521,0.62000000,0.68367347,0.44666667,0.54032258,0.69167173,0.56000000,0.58823529,0.40000000,0.47619048
3,0.68265289,0.60000000,0.58426966,0.69333333,0.63414634,0.69123167,0.52000000,0.51612903,0.64000000,0.57142857
4,0.67846978,0.54666667,0.52631579,0.93333333,0.67307692,0.69437039,0.55000000,0.52873563,0.92000000,0.67153285
5,0.67959452,0.57000000,0.53992395,0.94666667,0.68765133,0.70409805,0.53000000,0.51648352,0.94000000,0.66666667
6,0.66343021,0.62000000,0.59000000,0.78666667,0.67428571,0.70112240,0.46000000,0.46969697,0.62000000,0.53448276
7,0.66089529,0.61000000,0.57142857,0.88000000,0.69291339,0.70424956,0.51000000,0.50649351,0.78000000,0.61417323
8,0.66376364,0.62666667,0.61046512,0.70000000,0.65217391,0.69438690,0.55000000,0.53731343,0.72000000,0.61538462
9,0.64823484,0.67333333,0.65294118,0.74000000,0.69375000,0.69598228,0.49000000,0.49152542,0.58000000,0.53211009
10,0.64663762,0.64000000,0.59459459,0.88000000,0.70967742,0.71096039,0.50000000,0.50000000,0.72000000,0.59016393
11,0.63267893,0.66000000,0.72641509,0.51333333,0.60156250,0.70309830,0.48000000,0.47500000,0.38000000,0.42222222
12,0.72178888,0.52666667,1.00000000,0.05333333,0.10126582,0.76630485,0.50000000,0.50000000,0.06000000,0.10714286
13,0.66696626,0.54333333,0.88235294,0.10000000,0.17964072,0.72865689,0.48000000,0.33333333,0.04000000,0.07142857
14,0.62317443,0.65666667,0.61137441,0.86000000,0.71468144,0.70791489,0.57000000,0.55384615,0.72000000,0.62608696
15,0.65800071,0.65666667,0.60930233,0.87333333,0.71780822,0.69320434,0.51000000,0.50684932,0.74000000,0.60162602
16,0.64030659,0.63000000,0.57894737,0.95333333,0.72040302,0.71427941,0.53000000,0.51948052,0.80000000,0.62992126
17,0.61188084,0.66333333,0.76923077,0.46666667,0.58091286,0.72478408,0.50000000,0.50000000,0.34000000,0.40476190
18,0.62772465,0.63000000,0.57587549,0.98666667,0.72727273,0.78449804,0.49000000,0.49397590,0.82000000,0.61654135
19,0.62523848,0.62666667,0.57539683,0.96666667,0.72139303,0.76238686,0.51000000,0.50602410,0.84000000,0.63157895
20,0.57793289,0.71333333,0.76229508,0.62000000,0.68382353,0.72406918,0.50000000,0.50000000,0.38000000,0.43181818
21,0.61735338,0.66333333,0.60000000,0.98000000,0.74430380,0.75139725,0.52000000,0.51136364,0.90000000,0.65217391
22,0.64770341,0.57000000,0.95652174,0.14666667,0.25433526,0.81506526,0.49000000,0.42857143,0.06000000,0.10526316
23,0.57250166,0.68000000,0.93548387,0.38666667,0.54716981,0.77951550,0.49000000,0.47619048,0.20000000,0.28169014
24,0.58248615,0.68666667,0.61965812,0.96666667,0.75520833,0.84824705,0.52000000,0.51282051,0.80000000,0.62500000
25,0.64220601,0.60000000,0.96875000,0.20666667,0.34065934,0.86703038,0.50000000,0.50000000,0.10000000,0.16666667
26,0.63812512,0.60333333,0.76271186,0.30000000,0.43062201,0.74822766,0.54000000,0.62500000,0.20000000,0.30303030
27,0.52005237,0.73666667,0.66824645,0.94000000,0.78116343,0.81816387,0.49000000,0.49295775,0.70000000,0.57851240
28,0.50936109,0.76333333,0.70466321,0.90666667,0.79300292,0.82107830,0.48000000,0.48611111,0.70000000,0.57377049
29,0.54223382,0.73000000,0.77165354,0.65333333,0.70758123,0.73620254,0.57000000,0.59459459,0.44000000,0.50574713
30,0.49925074,0.79000000,0.73513514,0.90666667,0.81194030,0.78831697,0.52000000,0.51562500,0.66000000,0.57894737
31,0.59751099,0.65666667,0.59362550,0.99333333,0.74314214,0.82662612,0.52000000,0.51190476,0.86000000,0.64179104
32,0.58719003,0.66333333,0.92982456,0.35333333,0.51207729,0.73813856,0.52000000,0.56250000,0.18000000,0.27272727
33,0.48136100,0.76666667,0.68867925,0.97333333,0.80662983,0.87597847,0.53000000,0.52112676,0.74000000,0.61157025
34,0.46246690,0.77333333,0.70707071,0.93333333,0.80459770,0.87978834,0.52000000,0.51515152,0.68000000,0.58620690
35,0.51018965,0.77333333,0.69902913,0.96000000,0.80898876,0.82652509,0.53000000,0.52054795,0.76000000,0.61788618
36,0.51630479,0.80333333,0.75706215,0.89333333,0.81957187,0.75889111,0.47000000,0.47826087,0.66000000,0.55462185
37,0.60074502,0.67333333,0.60655738,0.98666667,0.75126904,1.00684547,0.51000000,0.50574713,0.88000000,0.64233577
38,0.48593110,0.74666667,0.96250000,0.51333333,0.66956522,0.85153866,0.55000000,0.59259259,0.32000000,0.41558442
39,0.46374166,0.83000000,0.87218045,0.77333333,0.81978799,0.78180754,0.52000000,0.52380952,0.44000000,0.47826087
40,0.50809342,0.78000000,0.70588235,0.96000000,0.81355932,0.79535699,0.47000000,0.47826087,0.66000000,0.55462185
41,0.48988828,0.72666667,0.94736842,0.48000000,0.63716814,0.89623547,0.50000000,0.50000000,0.24000000,0.32432432
42,0.54820710,0.78333333,0.78523490,0.78000000,0.78260870,0.74925858,0.52000000,0.51785714,0.58000000,0.54716981
43,0.75189668,0.58333333,1.00000000,0.16666667,0.28571429,0.96951210,0.55000000,0.72727273,0.16000000,0.26229508
