epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69028974,0.52333333,0.51282051,0.93333333,0.66193853,0.69510871,0.53000000,0.51685393,0.92000000,0.66187050
2,0.67870569,0.58333333,0.63157895,0.40000000,0.48979592,0.69574767,0.51000000,0.51612903,0.32000000,0.39506173
3,0.67159849,0.60333333,0.56126482,0.94666667,0.70471464,0.69551897,0.53000000,0.51898734,0.82000000,0.63565891
4,0.66115826,0.64000000,0.61931818,0.72666667,0.66871166,0.69372332,0.52000000,0.51666667,0.62000000,0.56363636
5,0.67204785,0.56000000,0.53284672,0.97333333,0.68867925,0.70916778,0.52000000,0.51162791,0.88000000,0.64705882
6,0.66023320,0.60666667,0.83333333,0.26666667,0.40404040,0.70740050,0.53000000,0.60000000,0.18000000,0.27692308
7,0.65517586,0.61333333,0.92500000,0.24666667,0.38947368,0.71377993,0.52000000,0.57142857,0.16000000,0.25000000
8,0.65190578,0.61000000,0.56420233,0.96666667,0.71253071,0.70942777,0.54000000,0.52500000,0.84000000,0.64615385
9,0.64338213,0.63000000,0.88235294,0.30000000,0.44776119,0.71953493,0.49000000,0.47058824,0.16000000,0.23880597
10,0.61905265,0.67333333,0.66455696,0.70000000,0.68181818,0.71291918,0.52000000,0.51785714,0.58000000,0.54716981
11,0.62111521,0.65666667,0.60352423,0.91333333,0.72679045,0.71638376,0.53000000,0.52238806,0.70000000,0.59829060
12,0.65026277,0.56666667,0.53649635,0.98000000,0.69339623,0.74785399,0.52000000,0.51190476,0.86000000,0.64179104
13,0.60228503,0.70333333,0.81443299,0.52666667,0.63967611,0.72900009,0.49000000,0.48387097,0.30000000,0.37037037
14,0.58945853,0.75333333,0.81666667,0.65333333,0.72592593,0.71836668,0.54000000,0.55555556,0.40000000,0.46511628
15,0.57970202,0.77333333,0.77333333,0.77333333,0.77333333,0.72424471,0.52000000,0.51851852,0.56000000,0.53846154
16,0.58355826,0.72000000,0.67368421,0.85333333,0.75294118,0.72834915,0.54000000,0.53125000,0.68000000,0.59649123
17,0.58505231,0.68666667,0.91176471,0.41333333,0.56880734,0.76277161,0.50000000,0.50000000,0.18000000,0.26470588
18,0.55248904,0.75666667,0.70370370,0.88666667,0.78466077,0.73607445,0.53000000,0.52380952,0.66000000,0.58407080
19,0.65491033,0.59333333,0.55223881,0.98666667,0.70813397,0.80737138,0.52000000,0.51136364,0.90000000,0.65217391
20,0.54609174,0.76000000,0.89000000,0.59333333,0.71200000,0.75010896,0.51000000,0.51851852,0.28000000,0.36363636
21,0.53922457,0.75000000,0.67605634,0.96000000,0.79338843,0.76714891,0.53000000,0.52112676,0.74000000,0.61157025
22,0.52718335,0.77666667,0.71727749,0.91333333,0.80351906,0.74518371,0.53000000,0.52459016,0.64000000,0.57657658
23,0.54084790,0.70333333,0.95522388,0.42666667,0.58986175,0.80416125,0.51000000,0.52380952,0.22000000,0.30985915
24,0.49093843,0.83000000,0.88976378,0.75333333,0.81588448,0.78097886,0.50000000,0.50000000,0.34000000,0.40476190
25,0.56492484,0.66000000,1.00000000,0.32000000,0.48484848,0.82936555,0.53000000,0.61538462,0.16000000,0.25396825
26,0.48246583,0.82000000,0.92857143,0.69333333,0.79389313,0.77321714,0.51000000,0.51612903,0.32000000,0.39506173
27,0.59311014,0.62333333,0.95121951,0.26000000,0.40837696,0.88485163,0.48000000,0.41666667,0.10000000,0.16129032
28,0.44676346,0.84333333,0.79768786,0.92000000,0.85448916,0.81019521,0.47000000,0.47368421,0.54000000,0.50467290
29,0.62906855,0.62000000,0.56870229,0.99333333,0.72330097,0.92447799,0.52000000,0.51136364,0.90000000,0.65217391
30,0.43266022,0.86000000,0.86486486,0.85333333,0.85906040,0.79589760,0.52000000,0.52173913,0.48000000,0.50000000
31,0.43852744,0.84000000,0.89230769,0.77333333,0.82857143,0.84248656,0.53000000,0.53658537,0.44000000,0.48351648
32,0.59162444,0.64000000,1.00000000,0.28000000,0.43750000,0.96276289,0.48000000,0.41666667,0.10000000,0.16129032
