epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69795322,0.52666667,0.51449275,0.94666667,0.66666667,0.71540713,0.51000000,0.50549451,0.92000000,0.65248227
2,0.68280315,0.55666667,0.53679654,0.82666667,0.65091864,0.71258348,0.47000000,0.47826087,0.66000000,0.55462185
3,0.67570776,0.58333333,0.55506608,0.84000000,0.66843501,0.71293366,0.49000000,0.49253731,0.66000000,0.56410256
4,0.66771209,0.57666667,0.59055118,0.50000000,0.54151625,0.71645373,0.47000000,0.46511628,0.40000000,0.43010753
5,0.66953099,0.52666667,0.57692308,0.20000000,0.29702970,0.72388476,0.48000000,0.45454545,0.20000000,0.27777778
6,0.66802341,0.58333333,0.54940711,0.92666667,0.68982630,0.71504194,0.48000000,0.48684211,0.74000000,0.58730159
7,0.65579307,0.66000000,0.61764706,0.84000000,0.71186441,0.71714216,0.46000000,0.46774194,0.58000000,0.51785714
8,0.64976817,0.67000000,0.62318841,0.86000000,0.72268908,0.71892977,0.49000000,0.49206349,0.62000000,0.54867257
9,0.64478952,0.66000000,0.63043478,0.77333333,0.69461078,0.72059584,0.46000000,0.46551724,0.54000000,0.50000000
10,0.66914612,0.53666667,0.73913043,0.11333333,0.19653179,0.74950045,0.50000000,0.50000000,0.12000000,0.19354839
11,0.63813913,0.69333333,0.65760870,0.80666667,0.72455090,0.71929842,0.50000000,0.50000000,0.54000000,0.51923077
12,0.63268459,0.66333333,0.63387978,0.77333333,0.69669670,0.72687221,0.47000000,0.47272727,0.52000000,0.49523810
13,0.62774813,0.68333333,0.64550265,0.81333333,0.71976401,0.73007339,0.48000000,0.48214286,0.54000000,0.50943396
14,0.62204844,0.69000000,0.64467005,0.84666667,0.73198847,0.72683913,0.47000000,0.47368421,0.54000000,0.50467290
15,0.61860275,0.69333333,0.64500000,0.86000000,0.73714286,0.72723085,0.49000000,0.49152542,0.58000000,0.53211009
16,0.64590782,0.57333333,0.69642857,0.26000000,0.37864078,0.76285654,0.50000000,0.50000000,0.24000000,0.32432432
17,0.67160314,0.54000000,0.83333333,0.10000000,0.17857143,0.78529310,0.49000000,0.42857143,0.06000000,0.10526316
18,0.60734820,0.72333333,0.66502463,0.90000000,0.76487252,0.72838724,0.51000000,0.50847458,0.60000000,0.55045872
19,0.65362346,0.59666667,0.55430712,0.98666667,0.70983213,0.73646134,0.53000000,0.51724138,0.90000000,0.65693431
20,0.59628338,0.71333333,0.65686275,0.89333333,0.75706215,0.73769188,0.52000000,0.51562500,0.66000000,0.57894737
21,0.66710508,0.53333333,1.00000000,0.06666667,0.12500000,0.79434276,0.50000000,0.50000000,0.04000000,0.07407407
22,0.58766425,0.74000000,0.78125000,0.66666667,0.71942446,0.74538195,0.50000000,0.50000000,0.44000000,0.46808511
23,0.59431714,0.68666667,0.62389381,0.94000000,0.75000000,0.76363814,0.48000000,0.48648649,0.72000000,0.58064516
24,0.56864047,0.78666667,0.78289474,0.79333333,0.78807947,0.73873359,0.53000000,0.53333333,0.48000000,0.50526316
25,0.62699670,0.64666667,0.58730159,0.98666667,0.73631841,0.76518929,0.51000000,0.50588235,0.86000000,0.63703704
26,0.57297754,0.75333333,0.74358974,0.77333333,0.75816993,0.71754652,0.54000000,0.54545455,0.48000000,0.51063830
27,0.59029698,0.64666667,0.90740741,0.32666667,0.48039216,0.76000261,0.50000000,0.50000000,0.14000000,0.21875000
