epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68029672,0.52666667,0.59523810,0.16666667,0.26041667,0.70926511,0.52000000,0.58333333,0.14000000,0.22580645
2,0.68715817,0.52666667,0.72222222,0.08666667,0.15476190,0.72418630,0.50000000,0.50000000,0.08000000,0.13793103
3,0.67152846,0.54000000,0.71428571,0.13333333,0.22471910,0.71746063,0.50000000,0.50000000,0.12000000,0.19354839
4,0.65431458,0.63333333,0.59090909,0.86666667,0.70270270,0.70127821,0.50000000,0.50000000,0.76000000,0.60317460
5,0.66069192,0.57666667,0.69491525,0.27333333,0.39234450,0.73185271,0.48000000,0.45833333,0.22000000,0.29729730
6,0.63412249,0.70000000,0.73076923,0.63333333,0.67857143,0.70586377,0.53000000,0.53488372,0.46000000,0.49462366
7,0.62979734,0.68000000,0.63366337,0.85333333,0.72727273,0.71447569,0.48000000,0.48684211,0.74000000,0.58730159
8,0.62267232,0.69000000,0.65745856,0.79333333,0.71903323,0.72010863,0.45000000,0.46376812,0.64000000,0.53781513
9,0.61484915,0.74000000,0.73684211,0.74666667,0.74172185,0.71086138,0.51000000,0.50980392,0.52000000,0.51485149
10,0.62868482,0.61666667,0.56972112,0.95333333,0.71321696,0.72339129,0.53000000,0.51807229,0.86000000,0.64661654
11,0.68274009,0.53333333,0.91666667,0.07333333,0.13580247,0.78916496,0.51000000,0.57142857,0.08000000,0.14035088
12,0.70668542,0.52666667,0.51388889,0.98666667,0.67579909,0.79797226,0.49000000,0.49484536,0.96000000,0.65306122
13,0.59801579,0.71000000,0.64516129,0.93333333,0.76294278,0.72240555,0.56000000,0.54054054,0.80000000,0.64516129
14,0.58574301,0.75666667,0.72000000,0.84000000,0.77538462,0.71832728,0.52000000,0.51612903,0.64000000,0.57142857
15,0.60571820,0.65666667,0.89830508,0.35333333,0.50717703,0.75409806,0.49000000,0.47619048,0.20000000,0.28169014
16,0.59871733,0.68333333,0.91044776,0.40666667,0.56221198,0.76155287,0.49000000,0.47826087,0.22000000,0.30136986
17,0.68860370,0.55000000,0.52669039,0.98666667,0.68677494,0.84118927,0.51000000,0.50561798,0.90000000,0.64748201
18,0.59609962,0.65666667,0.59751037,0.96000000,0.73657289,0.76858467,0.53000000,0.51807229,0.86000000,0.64661654
19,0.56622672,0.72666667,0.67171717,0.88666667,0.76436782,0.75336027,0.52000000,0.51428571,0.72000000,0.60000000
20,0.71802562,0.53000000,0.51567944,0.98666667,0.67734554,0.80954629,0.49000000,0.49473684,0.94000000,0.64827586
21,0.54401708,0.73666667,0.68393782,0.88000000,0.76967930,0.75536710,0.49000000,0.49253731,0.66000000,0.56410256
22,0.54007691,0.75333333,0.68627451,0.93333333,0.79096045,0.74999678,0.52000000,0.51428571,0.72000000,0.60000000
23,0.56642795,0.69666667,0.62660944,0.97333333,0.76240209,0.74921381,0.54000000,0.52564103,0.82000000,0.64062500
24,0.52866834,0.81000000,0.88429752,0.71333333,0.78966790,0.74268067,0.54000000,0.55882353,0.38000000,0.45238095
25,0.51228219,0.83666667,0.81761006,0.86666667,0.84142395,0.73473001,0.54000000,0.53703704,0.58000000,0.55769231
26,0.70590562,0.55000000,0.52631579,1.00000000,0.68965517,0.88443774,0.49000000,0.49462366,0.92000000,0.64335664
27,0.56894654,0.66333333,0.96226415,0.34000000,0.50246305,0.80591607,0.53000000,0.58823529,0.20000000,0.29850746
28,0.51351899,0.79666667,0.93203883,0.64000000,0.75889328,0.77232271,0.53000000,0.54838710,0.34000000,0.41975309
29,0.52914417,0.74666667,0.66818182,0.98000000,0.79459459,0.77854866,0.57000000,0.54666667,0.82000000,0.65600000
30,0.71850669,0.53000000,0.51578947,0.98000000,0.67586207,0.84081531,0.53000000,0.51578947,0.98000000,0.67586207
31,0.55644697,0.65666667,0.94339623,0.33333333,0.49261084,0.81809163,0.49000000,0.46666667,0.14000000,0.21538462
32,0.50954735,0.77000000,0.69014085,0.98000000,0.80991736,0.79284310,0.56000000,0.54054054,0.80000000,0.64516129
33,0.57084781,0.64666667,0.58800000,0.98000000,0.73500000,0.80325580,0.55000000,0.53012048,0.88000000,0.66165414
34,0.50984484,0.77666667,0.95604396,0.58000000,0.72199170,0.79223859,0.49000000,0.48275862,0.28000000,0.35443038
35,0.65492272,0.56000000,0.90909091,0.13333333,0.23255814,0.95275998,0.53000000,0.80000000,0.08000000,0.14545455
36,0.48411065,0.82333333,0.95327103,0.68000000,0.79377432,0.76934886,0.50000000,0.50000000,0.32000000,0.39024390
37,0.55631346,0.66333333,0.59919028,0.98666667,0.74559194,0.87477416,0.52000000,0.51162791,0.88000000,0.64705882
38,0.54235721,0.68000000,0.96551724,0.37333333,0.53846154,0.83751160,0.55000000,0.66666667,0.20000000,0.30769231
39,0.55061066,0.68333333,0.93650794,0.39333333,0.55399061,0.89259505,0.53000000,0.60000000,0.18000000,0.27692308
40,0.45308411,0.81000000,0.73134328,0.98000000,0.83760684,0.82280046,0.54000000,0.52941176,0.72000000,0.61016949
41,0.90331745,0.51333333,1.00000000,0.02666667,0.05194805,1.21633625,0.50000000,0.00000000,0.00000000,0.00000000
42,0.53791374,0.65666667,0.97959184,0.32000000,0.48241206,0.88555330,0.52000000,0.60000000,0.12000000,0.20000000
43,0.49901474,0.74333333,0.66222222,0.99333333,0.79466667,0.88156772,0.53000000,0.51851852,0.84000000,0.64122137
44,0.54945081,0.64000000,0.97727273,0.28666667,0.44329897,0.90966386,0.53000000,0.71428571,0.10000000,0.17543860
