epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68855178,0.55333333,0.53773585,0.76000000,0.62983425,0.68489224,0.53000000,0.52054795,0.76000000,0.61788618
2,0.68460310,0.55333333,0.53773585,0.76000000,0.62983425,0.68454009,0.61000000,0.57971014,0.80000000,0.67226891
3,0.68173492,0.60000000,0.57894737,0.73333333,0.64705882,0.68354535,0.59000000,0.57142857,0.72000000,0.63716814
4,0.68115693,0.57000000,0.63636364,0.32666667,0.43171806,0.68443221,0.55000000,0.59259259,0.32000000,0.41558442
5,0.67630762,0.64333333,0.66666667,0.57333333,0.61648746,0.68730432,0.55000000,0.55555556,0.50000000,0.52631579
6,0.67447776,0.57333333,0.54330709,0.92000000,0.68316832,0.68804592,0.58000000,0.55128205,0.86000000,0.67187500
7,0.66997325,0.66666667,0.68115942,0.62666667,0.65277778,0.68742055,0.50000000,0.50000000,0.50000000,0.50000000
8,0.67024237,0.60333333,0.56224900,0.93333333,0.70175439,0.69201124,0.58000000,0.54878049,0.90000000,0.68181818
9,0.66446400,0.68333333,0.67741935,0.70000000,0.68852459,0.68694139,0.56000000,0.55769231,0.58000000,0.56862745
10,0.66145855,0.68666667,0.68918919,0.68000000,0.68456376,0.68884027,0.55000000,0.54716981,0.58000000,0.56310680
11,0.66322285,0.61666667,0.56809339,0.97333333,0.71744472,0.69269890,0.58000000,0.55000000,0.88000000,0.67692308
12,0.65453118,0.69666667,0.74380165,0.60000000,0.66420664,0.68603194,0.57000000,0.57777778,0.52000000,0.54736842
13,0.65856767,0.61666667,0.81818182,0.30000000,0.43902439,0.69401866,0.51000000,0.52000000,0.26000000,0.34666667
14,0.64839196,0.69666667,0.78640777,0.54000000,0.64031621,0.68895555,0.54000000,0.54761905,0.46000000,0.50000000
15,0.64555687,0.69000000,0.77669903,0.53333333,0.63241107,0.69019878,0.55000000,0.55813953,0.48000000,0.51612903
16,0.64088583,0.66666667,0.76041667,0.48666667,0.59349593,0.68994462,0.56000000,0.57500000,0.46000000,0.51111111
17,0.65061522,0.60000000,0.55555556,1.00000000,0.71428571,0.69986451,0.54000000,0.52325581,0.90000000,0.66176471
18,0.62903655,0.73333333,0.73648649,0.72666667,0.73154362,0.69269425,0.52000000,0.51851852,0.56000000,0.53846154
19,0.62419617,0.71000000,0.69325153,0.75333333,0.72204473,0.69547379,0.56000000,0.54838710,0.68000000,0.60714286
20,0.66142249,0.55666667,0.86956522,0.13333333,0.23121387,0.71999699,0.51000000,0.57142857,0.08000000,0.14035088
21,0.65071291,0.59666667,0.55350554,1.00000000,0.71258907,0.72254515,0.52000000,0.51111111,0.92000000,0.65714286
22,0.62599683,0.64666667,0.58943089,0.96666667,0.73232323,0.70714784,0.56000000,0.53846154,0.84000000,0.65625000
23,0.62477624,0.65333333,0.87096774,0.36000000,0.50943396,0.70933259,0.53000000,0.56000000,0.28000000,0.37333333
24,0.63170415,0.60333333,0.89743590,0.23333333,0.37037037,0.72450697,0.53000000,0.60000000,0.18000000,0.27692308
25,0.60280323,0.67333333,0.81707317,0.44666667,0.57758621,0.71179867,0.52000000,0.52941176,0.36000000,0.42857143
26,0.58233768,0.76666667,0.71739130,0.88000000,0.79041916,0.70140535,0.54000000,0.53125000,0.68000000,0.59649123
27,0.57315069,0.77333333,0.74404762,0.83333333,0.78616352,0.70247144,0.54000000,0.53333333,0.64000000,0.58181818
28,0.57696301,0.71666667,0.64840183,0.94666667,0.76964770,0.70664382,0.54000000,0.52702703,0.78000000,0.62903226
29,0.56074280,0.80333333,0.75418994,0.90000000,0.82066869,0.69850355,0.58000000,0.56896552,0.66000000,0.61111111
30,0.55288339,0.79000000,0.85950413,0.69333333,0.76752768,0.70551801,0.57000000,0.57777778,0.52000000,0.54736842
31,0.55624479,0.80333333,0.87603306,0.70666667,0.78228782,0.70688438,0.57000000,0.58139535,0.50000000,0.53763441
32,0.58344096,0.68000000,0.93548387,0.38666667,0.54716981,0.74469513,0.51000000,0.52173913,0.24000000,0.32876712
33,0.54166943,0.77000000,0.90099010,0.60666667,0.72509960,0.72539181,0.53000000,0.54285714,0.38000000,0.44705882
34,0.54160267,0.74000000,0.91860465,0.52666667,0.66949153,0.73983043,0.56000000,0.58823529,0.40000000,0.47619048
35,0.53723830,0.74666667,0.94047619,0.52666667,0.67521368,0.72733921,0.54000000,0.56250000,0.36000000,0.43902439
36,0.53317976,0.77000000,0.69014085,0.98000000,0.80991736,0.72337651,0.50000000,0.50000000,0.70000000,0.58333333
37,0.51845115,0.78000000,0.70388350,0.96666667,0.81460674,0.71854568,0.53000000,0.52112676,0.74000000,0.61157025
