epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68991625,0.54000000,0.55000000,0.44000000,0.48888889,0.70978844,0.42000000,0.38888889,0.28000000,0.32558140
2,0.70049548,0.52333333,0.51219512,0.98000000,0.67276888,0.73705602,0.48000000,0.48958333,0.94000000,0.64383562
3,0.67164856,0.61666667,0.58139535,0.83333333,0.68493151,0.71206391,0.47000000,0.47887324,0.68000000,0.56198347
4,0.66481656,0.67000000,0.66887417,0.67333333,0.67109635,0.70594907,0.44000000,0.44000000,0.44000000,0.44000000
5,0.66415119,0.58666667,0.55241935,0.91333333,0.68844221,0.71243942,0.49000000,0.49382716,0.80000000,0.61068702
6,0.67621553,0.54000000,0.52127660,0.98000000,0.68055556,0.73253220,0.50000000,0.50000000,0.90000000,0.64285714
7,0.65188700,0.63333333,0.58547009,0.91333333,0.71354167,0.71580881,0.48000000,0.48717949,0.76000000,0.59375000
8,0.65555710,0.58666667,0.78260870,0.24000000,0.36734694,0.72013611,0.47000000,0.40000000,0.12000000,0.18461538
9,0.67231691,0.55000000,0.52669039,0.98666667,0.68677494,0.74496198,0.52000000,0.51086957,0.94000000,0.66197183
10,0.63850790,0.64666667,0.59734513,0.90000000,0.71808511,0.71702898,0.54000000,0.52702703,0.78000000,0.62903226
11,0.74054730,0.50333333,0.66666667,0.01333333,0.02614379,0.80654627,0.49000000,0.00000000,0.00000000,0.00000000
12,0.62480813,0.73000000,0.76744186,0.66000000,0.70967742,0.72115165,0.43000000,0.41025641,0.32000000,0.35955056
13,0.61538237,0.70666667,0.67613636,0.79333333,0.73006135,0.71988022,0.48000000,0.48275862,0.56000000,0.51851852
14,0.61187488,0.69666667,0.64974619,0.85333333,0.73775216,0.73037148,0.48000000,0.48571429,0.68000000,0.56666667
15,0.62942976,0.62333333,0.82456140,0.31333333,0.45410628,0.74554801,0.48000000,0.43750000,0.14000000,0.21212121
16,0.60162121,0.76333333,0.82113821,0.67333333,0.73992674,0.72499967,0.49000000,0.48484848,0.32000000,0.38554217
17,0.63684905,0.58333333,0.93103448,0.18000000,0.30167598,0.75401956,0.50000000,0.50000000,0.08000000,0.13793103
18,0.76330858,0.52333333,0.51194539,1.00000000,0.67720090,0.89611953,0.49000000,0.49494949,0.98000000,0.65771812
19,0.59202534,0.78666667,0.87068966,0.67333333,0.75939850,0.72731459,0.48000000,0.47058824,0.32000000,0.38095238
20,0.67496198,0.55000000,0.52650177,0.99333333,0.68822171,0.82193381,0.52000000,0.51041667,0.98000000,0.67123288
21,0.59595215,0.63666667,0.58299595,0.96000000,0.72544081,0.74734503,0.52000000,0.51250000,0.82000000,0.63076923
22,0.58382434,0.75666667,0.86666667,0.60666667,0.71372549,0.74373078,0.50000000,0.50000000,0.28000000,0.35897436
23,0.59778571,0.68333333,0.95081967,0.38666667,0.54976303,0.76427245,0.48000000,0.44444444,0.16000000,0.23529412
24,0.58571607,0.70666667,0.96969697,0.42666667,0.59259259,0.75631160,0.47000000,0.42105263,0.16000000,0.23188406
25,0.56644058,0.74666667,0.91111111,0.54666667,0.68333333,0.76008177,0.47000000,0.43478261,0.20000000,0.27397260
26,0.59853095,0.63333333,0.97619048,0.27333333,0.42708333,0.78097701,0.50000000,0.50000000,0.12000000,0.19354839
27,0.69433010,0.55666667,0.53003534,1.00000000,0.69284065,0.89234132,0.51000000,0.50515464,0.98000000,0.66666667
28,0.72884458,0.54333333,0.52264808,1.00000000,0.68649886,0.92264205,0.49000000,0.49484536,0.96000000,0.65306122
29,0.54152775,0.78000000,0.73333333,0.88000000,0.80000000,0.74049789,0.48000000,0.48387097,0.60000000,0.53571429
30,0.73132944,0.55000000,0.52631579,1.00000000,0.68965517,0.95615113,0.49000000,0.49484536,0.96000000,0.65306122
