epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69221234,0.54000000,0.52727273,0.77333333,0.62702703,0.68486726,0.56000000,0.54054054,0.80000000,0.64516129
2,0.69815344,0.53333333,0.75000000,0.10000000,0.17647059,0.69917673,0.55000000,0.85714286,0.12000000,0.21052632
3,0.68258148,0.55000000,0.60000000,0.30000000,0.40000000,0.68975848,0.53000000,0.54545455,0.36000000,0.43373494
4,0.67871541,0.57333333,0.66666667,0.29333333,0.40740741,0.68938613,0.52000000,0.53333333,0.32000000,0.40000000
5,0.67527956,0.55000000,0.52988048,0.88666667,0.66334165,0.68938071,0.54000000,0.52325581,0.90000000,0.66176471
6,0.66945112,0.59000000,0.55844156,0.86000000,0.67716535,0.68927228,0.54000000,0.52439024,0.86000000,0.65151515
7,0.66559273,0.61333333,0.59444444,0.71333333,0.64848485,0.68917203,0.51000000,0.50746269,0.68000000,0.58119658
8,0.67302662,0.56333333,0.82758621,0.16000000,0.26815642,0.69728285,0.55000000,0.72727273,0.16000000,0.26229508
9,0.66765094,0.58666667,0.82500000,0.22000000,0.34736842,0.69601363,0.54000000,0.61111111,0.22000000,0.32352941
10,0.65477884,0.65000000,0.75280899,0.44666667,0.56066946,0.68633741,0.51000000,0.51428571,0.36000000,0.42352941
11,0.64943194,0.67000000,0.68345324,0.63333333,0.65743945,0.68478012,0.53000000,0.52727273,0.58000000,0.55238095
12,0.64648944,0.68333333,0.75700935,0.54000000,0.63035019,0.68674624,0.49000000,0.48780488,0.40000000,0.43956044
13,0.64233667,0.68333333,0.65363128,0.78000000,0.71124620,0.68940765,0.51000000,0.50746269,0.68000000,0.58119658
14,0.63929278,0.68666667,0.75000000,0.56000000,0.64122137,0.68924850,0.47000000,0.46511628,0.40000000,0.43010753
15,0.67895192,0.54333333,1.00000000,0.08666667,0.15950920,0.72494990,0.51000000,0.66666667,0.04000000,0.07547170
16,0.70786601,0.51000000,1.00000000,0.02000000,0.03921569,0.75491244,0.51000000,0.66666667,0.04000000,0.07547170
17,0.63474089,0.66666667,0.85714286,0.40000000,0.54545455,0.69504911,0.50000000,0.50000000,0.26000000,0.34210526
18,0.62604523,0.68666667,0.64141414,0.84666667,0.72988506,0.69270098,0.53000000,0.52112676,0.74000000,0.61157025
19,0.68423814,0.53333333,1.00000000,0.06666667,0.12500000,0.74254906,0.51000000,0.66666667,0.04000000,0.07547170
20,0.61378467,0.71666667,0.73049645,0.68666667,0.70790378,0.69189715,0.49000000,0.49019608,0.50000000,0.49504950
21,0.62216467,0.65000000,0.59574468,0.93333333,0.72727273,0.71225053,0.52000000,0.51250000,0.82000000,0.63076923
22,0.60686105,0.72000000,0.78947368,0.60000000,0.68181818,0.68898219,0.52000000,0.52380952,0.44000000,0.47826087
23,0.61237806,0.67666667,0.61471861,0.94666667,0.74540682,0.69958681,0.58000000,0.55405405,0.82000000,0.66129032
24,0.61657625,0.63666667,0.58232932,0.96666667,0.72681704,0.71691942,0.52000000,0.51190476,0.86000000,0.64179104
25,0.60822827,0.67666667,0.89552239,0.40000000,0.55299539,0.70117521,0.52000000,0.54166667,0.26000000,0.35135135
26,0.63880783,0.61000000,1.00000000,0.22000000,0.36065574,0.73613036,0.54000000,0.70000000,0.14000000,0.23333333
27,0.61528057,0.63000000,0.57647059,0.98000000,0.72592593,0.74192107,0.50000000,0.50000000,0.86000000,0.63235294
28,0.57731467,0.76000000,0.86792453,0.61333333,0.71875000,0.69339269,0.51000000,0.51219512,0.42000000,0.46153846
29,0.63597369,0.60333333,1.00000000,0.20666667,0.34254144,0.75264937,0.53000000,0.66666667,0.12000000,0.20338983
30,0.56883138,0.79000000,0.81751825,0.74666667,0.78048780,0.70367122,0.47000000,0.47058824,0.48000000,0.47524752
31,0.56182277,0.78333333,0.72251309,0.92000000,0.80938416,0.71173406,0.54000000,0.52941176,0.72000000,0.61016949
32,0.57355171,0.69333333,0.62500000,0.96666667,0.75916230,0.73669267,0.58000000,0.55263158,0.84000000,0.66666667
33,0.78152168,0.51666667,1.00000000,0.03333333,0.06451613,0.89480162,0.51000000,1.00000000,0.02000000,0.03921569
34,0.58673167,0.66666667,0.96296296,0.34666667,0.50980392,0.73795301,0.54000000,0.62500000,0.20000000,0.30303030
35,0.53973848,0.78000000,0.73863636,0.86666667,0.79754601,0.70171875,0.55000000,0.53846154,0.70000000,0.60869565
36,0.70017946,0.55333333,0.52836879,0.99333333,0.68981481,0.85565519,0.53000000,0.51648352,0.94000000,0.66666667
37,0.69521558,0.54333333,0.52264808,1.00000000,0.68649886,0.86643875,0.47000000,0.48421053,0.92000000,0.63448276
38,0.52922952,0.78333333,0.91262136,0.62666667,0.74308300,0.71918207,0.52000000,0.52941176,0.36000000,0.42857143
39,0.52400953,0.78666667,0.88392857,0.66000000,0.75572519,0.71437269,0.51000000,0.51282051,0.40000000,0.44943820
40,0.50703341,0.85000000,0.83439490,0.87333333,0.85342020,0.72840804,0.53000000,0.52631579,0.60000000,0.56074766
41,0.52801263,0.74333333,0.66666667,0.97333333,0.79132791,0.75727570,0.56000000,0.54054054,0.80000000,0.64516129
42,0.54263544,0.71000000,0.63636364,0.98000000,0.77165354,0.77183169,0.57000000,0.54545455,0.84000000,0.66141732
43,0.77664047,0.54000000,0.52083333,1.00000000,0.68493151,1.00469637,0.48000000,0.48958333,0.94000000,0.64383562
