epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68700361,0.52333333,0.53763441,0.33333333,0.41152263,0.69459546,0.53000000,0.55172414,0.32000000,0.40506329
2,0.68028921,0.57666667,0.56647399,0.65333333,0.60681115,0.69563550,0.48000000,0.48437500,0.62000000,0.54385965
3,0.67916226,0.54000000,0.52564103,0.82000000,0.64062500,0.69806123,0.54000000,0.52439024,0.86000000,0.65151515
4,0.67454487,0.57666667,0.55555556,0.76666667,0.64425770,0.69637460,0.50000000,0.50000000,0.76000000,0.60317460
5,0.67492628,0.54666667,0.52868852,0.86000000,0.65482234,0.69859296,0.53000000,0.51764706,0.88000000,0.65185185
6,0.66785735,0.60333333,0.61151079,0.56666667,0.58823529,0.69635832,0.51000000,0.51020408,0.50000000,0.50505051
7,0.66490370,0.60666667,0.58247423,0.75333333,0.65697674,0.69753629,0.54000000,0.52857143,0.74000000,0.61666667
8,0.66196007,0.61000000,0.58730159,0.74000000,0.65486726,0.69803578,0.51000000,0.50769231,0.66000000,0.57391304
9,0.65914595,0.62000000,0.62162162,0.61333333,0.61744966,0.69665557,0.48000000,0.48148148,0.52000000,0.50000000
10,0.65507466,0.62000000,0.59278351,0.76666667,0.66860465,0.69789928,0.52000000,0.51515152,0.68000000,0.58620690
11,0.65338665,0.60333333,0.57013575,0.84000000,0.67924528,0.70172334,0.50000000,0.50000000,0.74000000,0.59677419
12,0.67298782,0.55000000,0.89473684,0.11333333,0.20118343,0.71259743,0.50000000,0.50000000,0.06000000,0.10714286
13,0.66584760,0.56333333,0.95238095,0.13333333,0.23391813,0.70970863,0.54000000,0.70000000,0.14000000,0.23333333
14,0.64453638,0.64000000,0.60096154,0.83333333,0.69832402,0.69867903,0.51000000,0.50684932,0.74000000,0.60162602
15,0.63554478,0.68333333,0.65193370,0.78666667,0.71299094,0.69988281,0.48000000,0.48437500,0.62000000,0.54385965
16,0.63088775,0.69333333,0.65760870,0.80666667,0.72455090,0.69718903,0.49000000,0.49206349,0.62000000,0.54867257
17,0.62635320,0.71333333,0.70253165,0.74000000,0.72077922,0.69814283,0.54000000,0.53333333,0.64000000,0.58181818
18,0.62751824,0.65000000,0.60180995,0.88666667,0.71698113,0.70163792,0.53000000,0.51948052,0.80000000,0.62992126
19,0.61704946,0.69000000,0.64615385,0.84000000,0.73043478,0.70457411,0.52000000,0.51428571,0.72000000,0.60000000
20,0.61661804,0.70000000,0.79411765,0.54000000,0.64285714,0.69962388,0.57000000,0.60606061,0.40000000,0.48192771
21,0.62804127,0.63666667,0.58039216,0.98666667,0.73086420,0.71916264,0.49000000,0.49397590,0.82000000,0.61654135
22,0.66378838,0.54000000,0.92857143,0.08666667,0.15853659,0.74351019,0.50000000,0.50000000,0.04000000,0.07407407
23,0.60242826,0.70000000,0.80612245,0.52666667,0.63709677,0.70878935,0.55000000,0.58064516,0.36000000,0.44444444
24,0.60243094,0.66666667,0.60964912,0.92666667,0.73544974,0.72347480,0.50000000,0.50000000,0.80000000,0.61538462
25,0.61439168,0.64333333,0.93877551,0.30666667,0.46231156,0.72454536,0.55000000,0.63157895,0.24000000,0.34782609
26,0.58189589,0.76000000,0.83620690,0.64666667,0.72932331,0.69807416,0.55000000,0.57575758,0.38000000,0.45783133
27,0.58241498,0.70666667,0.64090909,0.94000000,0.76216216,0.71543539,0.56000000,0.54054054,0.80000000,0.64516129
28,0.55500567,0.78666667,0.75595238,0.84666667,0.79874214,0.70540249,0.52000000,0.51851852,0.56000000,0.53846154
29,0.56207103,0.72666667,0.66190476,0.92666667,0.77222222,0.71580106,0.57000000,0.54794521,0.80000000,0.65040650
30,0.53987598,0.78666667,0.76875000,0.82000000,0.79354839,0.71253639,0.53000000,0.52941176,0.54000000,0.53465347
31,0.57092303,0.70333333,0.63090129,0.98000000,0.76762402,0.73073363,0.55000000,0.53164557,0.84000000,0.65116279
32,0.54187870,0.78666667,0.90566038,0.64000000,0.75000000,0.71041459,0.60000000,0.64705882,0.44000000,0.52380952
33,0.54538596,0.74333333,0.66515837,0.98000000,0.79245283,0.73710203,0.54000000,0.52564103,0.82000000,0.64062500
34,0.51401693,0.81666667,0.83216783,0.79333333,0.81228669,0.69865155,0.57000000,0.58536585,0.48000000,0.52747253
35,0.53968352,0.74000000,0.66363636,0.97333333,0.78918919,0.72567302,0.57000000,0.54794521,0.80000000,0.65040650
36,0.53596663,0.73000000,0.65610860,0.96666667,0.78167116,0.74132764,0.57000000,0.54545455,0.84000000,0.66141732
37,0.49223074,0.84000000,0.81097561,0.88666667,0.84713376,0.70694703,0.59000000,0.58490566,0.62000000,0.60194175
38,0.49402314,0.82333333,0.92173913,0.70666667,0.80000000,0.73203009,0.56000000,0.59375000,0.38000000,0.46341463
39,0.54171735,0.70666667,0.63247863,0.98666667,0.77083333,0.79305607,0.52000000,0.51250000,0.82000000,0.63076923
