epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.72894472,0.50000000,0.50000000,1.00000000,0.66666667,0.73645890,0.50000000,0.50000000,1.00000000,0.66666667
2,0.68880391,0.55333333,0.53149606,0.90000000,0.66831683,0.68959838,0.53000000,0.51724138,0.90000000,0.65693431
3,0.69089949,0.50666667,0.50340136,0.98666667,0.66666667,0.70267242,0.49000000,0.49484536,0.96000000,0.65306122
4,0.68469179,0.54000000,0.68750000,0.14666667,0.24175824,0.69403350,0.47000000,0.36363636,0.08000000,0.13114754
5,0.68521410,0.53000000,0.73684211,0.09333333,0.16568047,0.69431621,0.50000000,0.50000000,0.10000000,0.16666667
6,0.67698008,0.62000000,0.58571429,0.82000000,0.68333333,0.68944800,0.56000000,0.54285714,0.76000000,0.63333333
7,0.67315882,0.63333333,0.60989011,0.74000000,0.66867470,0.69272065,0.49000000,0.49206349,0.62000000,0.54867257
8,0.67086244,0.59666667,0.55642023,0.95333333,0.70270270,0.69360095,0.51000000,0.50574713,0.88000000,0.64233577
9,0.68670404,0.51666667,0.50853242,0.99333333,0.67268623,0.70036441,0.49000000,0.49494949,0.98000000,0.65771812
10,0.69132495,0.50000000,0.50000000,0.00666667,0.01315789,0.71764326,0.49000000,0.33333333,0.02000000,0.03773585
11,0.66516787,0.67333333,0.63265306,0.82666667,0.71676301,0.69378430,0.54000000,0.53125000,0.68000000,0.59649123
12,0.65518677,0.65666667,0.60538117,0.90000000,0.72386059,0.69327450,0.59000000,0.56164384,0.82000000,0.66666667
13,0.63821822,0.64333333,0.65925926,0.59333333,0.62456140,0.70521843,0.44000000,0.43478261,0.40000000,0.41666667
14,0.64230925,0.67000000,0.71794872,0.56000000,0.62921348,0.68705398,0.59000000,0.66666667,0.36000000,0.46753247
15,0.62965316,0.63333333,0.64925373,0.58000000,0.61267606,0.68650907,0.55000000,0.56097561,0.46000000,0.50549451
16,0.71198630,0.52666667,0.78571429,0.07333333,0.13414634,0.76646793,0.49000000,0.40000000,0.04000000,0.07272727
17,0.65327448,0.59333333,0.85000000,0.22666667,0.35789474,0.72323197,0.51000000,0.53333333,0.16000000,0.24615385
18,0.61728144,0.70666667,0.72794118,0.66000000,0.69230769,0.70837981,0.50000000,0.50000000,0.44000000,0.46808511
19,0.63711560,0.68000000,0.63106796,0.86666667,0.73033708,0.68258935,0.62000000,0.59090909,0.78000000,0.67241379
20,0.60577863,0.69333333,0.63063063,0.93333333,0.75268817,0.71891481,0.50000000,0.50000000,0.72000000,0.59016393
21,0.63478506,0.60666667,0.90000000,0.24000000,0.37894737,0.75226241,0.55000000,0.69230769,0.18000000,0.28571429
22,0.61921859,0.72666667,0.67346939,0.88000000,0.76300578,0.70284623,0.53000000,0.52459016,0.64000000,0.57657658
23,0.57878929,0.69333333,0.63679245,0.90000000,0.74585635,0.73938155,0.49000000,0.49275362,0.68000000,0.57142857
24,0.61989152,0.66333333,0.80246914,0.43333333,0.56277056,0.70106351,0.54000000,0.58333333,0.28000000,0.37837838
25,0.65484351,0.57666667,0.54151625,1.00000000,0.70257611,0.74071884,0.51000000,0.50537634,0.94000000,0.65734266
26,0.58736432,0.74333333,0.69109948,0.88000000,0.77419355,0.69825375,0.58000000,0.56666667,0.68000000,0.61818182
27,0.59370029,0.64000000,0.87500000,0.32666667,0.47572816,0.72642052,0.56000000,0.66666667,0.24000000,0.35294118
28,0.60082000,0.65333333,0.76744186,0.44000000,0.55932203,0.86439496,0.56000000,0.60714286,0.34000000,0.43589744
29,0.53115511,0.80666667,0.83823529,0.76000000,0.79720280,0.76123875,0.43000000,0.41025641,0.32000000,0.35955056
30,0.59423137,0.60000000,0.89473684,0.22666667,0.36170213,0.77263421,0.53000000,0.66666667,0.12000000,0.20338983
31,0.55935204,0.72333333,0.64628821,0.98666667,0.78100264,0.74484938,0.55000000,0.53333333,0.80000000,0.64000000
32,0.55334735,0.72666667,0.64912281,0.98666667,0.78306878,0.73997426,0.57000000,0.54666667,0.82000000,0.65600000
33,0.63898593,0.62666667,0.89583333,0.28666667,0.43434343,0.96250892,0.55000000,0.77777778,0.14000000,0.23728814
34,0.53071404,0.73666667,0.65919283,0.98000000,0.78820375,0.75591862,0.58000000,0.55714286,0.78000000,0.65000000
35,0.47089952,0.85000000,0.84768212,0.85333333,0.85049834,0.76640874,0.52000000,0.52380952,0.44000000,0.47826087
36,0.54096460,0.68000000,0.95000000,0.38000000,0.54285714,0.82195634,0.55000000,0.66666667,0.20000000,0.30769231
37,0.58854806,0.67666667,0.79775281,0.47333333,0.59414226,0.73317397,0.55000000,0.58620690,0.34000000,0.43037975
38,0.66024458,0.61666667,0.94871795,0.24666667,0.39153439,1.04118288,0.53000000,0.71428571,0.10000000,0.17543860
