epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68657017,0.54666667,0.53500000,0.71333333,0.61142857,0.69557518,0.50000000,0.50000000,0.72000000,0.59016393
2,0.68154758,0.58000000,0.56741573,0.67333333,0.61585366,0.69363767,0.53000000,0.52238806,0.70000000,0.59829060
3,0.67810154,0.61333333,0.61333333,0.61333333,0.61333333,0.69465733,0.51000000,0.50943396,0.54000000,0.52427184
4,0.68000191,0.56333333,0.67272727,0.24666667,0.36097561,0.69633895,0.47000000,0.44000000,0.22000000,0.29333333
5,0.67220461,0.61000000,0.58918919,0.72666667,0.65074627,0.69214231,0.53000000,0.52307692,0.68000000,0.59130435
6,0.67644048,0.56666667,0.66129032,0.27333333,0.38679245,0.69318825,0.52000000,0.53333333,0.32000000,0.40000000
7,0.66625285,0.65333333,0.65131579,0.66000000,0.65562914,0.69167709,0.52000000,0.51785714,0.58000000,0.54716981
8,0.66374302,0.64000000,0.59905660,0.84666667,0.70165746,0.69366163,0.53000000,0.52238806,0.70000000,0.59829060
9,0.65946841,0.64666667,0.63253012,0.70000000,0.66455696,0.69379300,0.53000000,0.52542373,0.62000000,0.56880734
10,0.65642214,0.65666667,0.63276836,0.74666667,0.68501529,0.69405991,0.54000000,0.53333333,0.64000000,0.58181818
11,0.65709680,0.61666667,0.71604938,0.38666667,0.50216450,0.69844586,0.45000000,0.42857143,0.30000000,0.35294118
12,0.65047902,0.65333333,0.60952381,0.85333333,0.71111111,0.69712478,0.54000000,0.52777778,0.76000000,0.62295082
13,0.65436953,0.61666667,0.57142857,0.93333333,0.70886076,0.70224404,0.56000000,0.53658537,0.88000000,0.66666667
14,0.65539330,0.60333333,0.77192982,0.29333333,0.42512077,0.69515479,0.49000000,0.48000000,0.24000000,0.32000000
15,0.65034693,0.61333333,0.79310345,0.30666667,0.44230769,0.69838881,0.51000000,0.51724138,0.30000000,0.37974684
16,0.63885421,0.64666667,0.71568627,0.48666667,0.57936508,0.69966727,0.48000000,0.47619048,0.40000000,0.43478261
17,0.63025302,0.73666667,0.71779141,0.78000000,0.74760383,0.69560456,0.51000000,0.50877193,0.58000000,0.54205607
18,0.63476622,0.63000000,0.74074074,0.40000000,0.51948052,0.70537078,0.46000000,0.44117647,0.30000000,0.35714286
19,0.62729204,0.67333333,0.62037037,0.89333333,0.73224044,0.70453751,0.57000000,0.54929577,0.78000000,0.64462810
20,0.62542796,0.67333333,0.79545455,0.46666667,0.58823529,0.70172715,0.53000000,0.53846154,0.42000000,0.47191011
21,0.61099571,0.73666667,0.75177305,0.70666667,0.72852234,0.70189887,0.51000000,0.50943396,0.54000000,0.52427184
22,0.61581653,0.68000000,0.62735849,0.88666667,0.73480663,0.72455168,0.51000000,0.50666667,0.76000000,0.60800000
23,0.60070622,0.71666667,0.74809160,0.65333333,0.69750890,0.70907813,0.54000000,0.54000000,0.54000000,0.54000000
24,0.59173536,0.74666667,0.72023810,0.80666667,0.76100629,0.70590252,0.52000000,0.51666667,0.62000000,0.56363636
25,0.58962059,0.74666667,0.80833333,0.64666667,0.71851852,0.71163285,0.55000000,0.55319149,0.52000000,0.53608247
26,0.58553368,0.74333333,0.82300885,0.62000000,0.70722433,0.71553510,0.52000000,0.52173913,0.48000000,0.50000000
27,0.58002311,0.75000000,0.80991736,0.65333333,0.72324723,0.71180195,0.49000000,0.48936170,0.46000000,0.47422680
28,0.57813954,0.75000000,0.71186441,0.84000000,0.77064220,0.70868176,0.52000000,0.51724138,0.60000000,0.55555556
29,0.56090057,0.77666667,0.78620690,0.76000000,0.77288136,0.71743923,0.51000000,0.50909091,0.56000000,0.53333333
30,0.55913097,0.75333333,0.70879121,0.86000000,0.77710843,0.73292553,0.54000000,0.53030303,0.70000000,0.60344828
31,0.54815388,0.77666667,0.73988439,0.85333333,0.79256966,0.73244202,0.52000000,0.51612903,0.64000000,0.57142857
32,0.54220420,0.77333333,0.73563218,0.85333333,0.79012346,0.73364669,0.54000000,0.53225806,0.66000000,0.58928571
33,0.58623868,0.67333333,0.60833333,0.97333333,0.74871795,0.77796215,0.53000000,0.51898734,0.82000000,0.63565891
34,0.54770023,0.73666667,0.83177570,0.59333333,0.69260700,0.73530447,0.52000000,0.52272727,0.46000000,0.48936170
35,0.59909666,0.60666667,0.94444444,0.22666667,0.36559140,0.77159536,0.52000000,0.55000000,0.22000000,0.31428571
36,0.52624643,0.75666667,0.69543147,0.91333333,0.78962536,0.76434761,0.55000000,0.53731343,0.72000000,0.61538462
37,0.52694893,0.75333333,0.89583333,0.57333333,0.69918699,0.74225014,0.51000000,0.51219512,0.42000000,0.46153846
38,0.54827702,0.71333333,0.64285714,0.96000000,0.77005348,0.78486329,0.53000000,0.51948052,0.80000000,0.62992126
39,0.64417797,0.60000000,0.55555556,1.00000000,0.71428571,0.87289029,0.55000000,0.52808989,0.94000000,0.67625899
