epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.71928275,0.49333333,0.49647887,0.94000000,0.64976959,0.70781159,0.55000000,0.52747253,0.96000000,0.68085106
2,0.68686908,0.55333333,0.54040404,0.71333333,0.61494253,0.68646258,0.56000000,0.54411765,0.74000000,0.62711864
3,0.68801272,0.54666667,0.73333333,0.14666667,0.24444444,0.69629586,0.46000000,0.35714286,0.10000000,0.15625000
4,0.67348552,0.58666667,0.61206897,0.47333333,0.53383459,0.69014168,0.56000000,0.56521739,0.52000000,0.54166667
5,0.69120425,0.51666667,0.85714286,0.04000000,0.07643312,0.71213835,0.49000000,0.33333333,0.02000000,0.03773585
6,0.66609627,0.64000000,0.60606061,0.80000000,0.68965517,0.69770914,0.56000000,0.54545455,0.72000000,0.62068966
7,0.66076845,0.63000000,0.66666667,0.52000000,0.58426966,0.69740379,0.50000000,0.50000000,0.42000000,0.45652174
8,0.66181213,0.63000000,0.58297872,0.91333333,0.71168831,0.70566374,0.54000000,0.52564103,0.82000000,0.64062500
9,0.66711730,0.55666667,0.79310345,0.15333333,0.25698324,0.71045363,0.50000000,0.50000000,0.10000000,0.16666667
10,0.65218300,0.66000000,0.68750000,0.58666667,0.63309353,0.70755816,0.48000000,0.47619048,0.40000000,0.43478261
11,0.64405489,0.64666667,0.67460317,0.56666667,0.61594203,0.70569336,0.53000000,0.53333333,0.48000000,0.50526316
12,0.65751457,0.55666667,0.86956522,0.13333333,0.23121387,0.71876639,0.49000000,0.44444444,0.08000000,0.13559322
13,0.63821340,0.73000000,0.67875648,0.87333333,0.76384840,0.70439577,0.53000000,0.52307692,0.68000000,0.59130435
14,0.63323492,0.68333333,0.73913043,0.56666667,0.64150943,0.70614451,0.51000000,0.51162791,0.44000000,0.47311828
15,0.62723845,0.69333333,0.71014493,0.65333333,0.68055556,0.71073580,0.52000000,0.52173913,0.48000000,0.50000000
16,0.63036734,0.67000000,0.81481481,0.44000000,0.57142857,0.70881897,0.45000000,0.41935484,0.26000000,0.32098765
17,0.62670708,0.71333333,0.65238095,0.91333333,0.76111111,0.70701963,0.55000000,0.53623188,0.74000000,0.62184874
18,0.63435048,0.66000000,0.59836066,0.97333333,0.74111675,0.72216398,0.54000000,0.52500000,0.84000000,0.64615385
19,0.68870616,0.52000000,1.00000000,0.04000000,0.07692308,0.78066039,0.48000000,0.00000000,0.00000000,0.00000000
20,0.61029249,0.75000000,0.69230769,0.90000000,0.78260870,0.71103257,0.56000000,0.54411765,0.74000000,0.62711864
21,0.61199117,0.63666667,0.78873239,0.37333333,0.50678733,0.72407532,0.51000000,0.51612903,0.32000000,0.39506173
22,0.61687595,0.62333333,0.87755102,0.28666667,0.43216080,0.73556238,0.46000000,0.38888889,0.14000000,0.20588235
23,0.61302656,0.62333333,0.89361702,0.28000000,0.42639594,0.74259275,0.47000000,0.42105263,0.16000000,0.23188406
24,0.58880001,0.75000000,0.73584906,0.78000000,0.75728155,0.72297424,0.53000000,0.52542373,0.62000000,0.56880734
25,0.59154946,0.70000000,0.81250000,0.52000000,0.63414634,0.73981631,0.53000000,0.54545455,0.36000000,0.43373494
26,0.58256680,0.77000000,0.72131148,0.88000000,0.79279279,0.71257234,0.53000000,0.52380952,0.66000000,0.58407080
27,0.57959646,0.76333333,0.70256410,0.91333333,0.79420290,0.72086793,0.53000000,0.52238806,0.70000000,0.59829060
28,0.57370186,0.75666667,0.69743590,0.90666667,0.78840580,0.73911226,0.53000000,0.52307692,0.68000000,0.59130435
29,0.56502271,0.75666667,0.77697842,0.72000000,0.74740484,0.74065101,0.51000000,0.51063830,0.48000000,0.49484536
30,0.57462496,0.72666667,0.65596330,0.95333333,0.77717391,0.73794329,0.53000000,0.51948052,0.80000000,0.62992126
31,0.55392873,0.76333333,0.78417266,0.72666667,0.75432526,0.74658370,0.55000000,0.55319149,0.52000000,0.53608247
32,0.57829863,0.67666667,0.96491228,0.36666667,0.53140097,0.76821190,0.49000000,0.47368421,0.18000000,0.26086957
33,0.54522717,0.82000000,0.78571429,0.88000000,0.83018868,0.73662347,0.55000000,0.54237288,0.64000000,0.58715596
34,0.53771609,0.79000000,0.79591837,0.78000000,0.78787879,0.73577911,0.53000000,0.53061224,0.52000000,0.52525253
35,0.67197216,0.58000000,0.54347826,1.00000000,0.70422535,0.81441480,0.51000000,0.50537634,0.94000000,0.65734266
