epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69352269,0.54666667,0.65217391,0.20000000,0.30612245,0.70775956,0.49000000,0.47058824,0.16000000,0.23880597
2,0.68798321,0.54666667,0.54430380,0.57333333,0.55844156,0.70550662,0.39000000,0.38775510,0.38000000,0.38383838
3,0.68577522,0.57333333,0.57971014,0.53333333,0.55555556,0.70663720,0.42000000,0.40000000,0.32000000,0.35555556
4,0.68624651,0.55666667,0.68888889,0.20666667,0.31794872,0.71103972,0.49000000,0.46666667,0.14000000,0.21538462
5,0.68154341,0.59000000,0.62616822,0.44666667,0.52140078,0.71042305,0.42000000,0.38888889,0.28000000,0.32558140
6,0.68053550,0.57000000,0.54468085,0.85333333,0.66493506,0.70965737,0.41000000,0.44303797,0.70000000,0.54263566
7,0.68015790,0.56666667,0.68518519,0.24666667,0.36274510,0.71318907,0.45000000,0.35294118,0.12000000,0.17910448
8,0.67703444,0.57666667,0.54732510,0.88666667,0.67684478,0.71323395,0.43000000,0.45679012,0.74000000,0.56488550
9,0.67159921,0.65333333,0.64556962,0.68000000,0.66233766,0.71345764,0.42000000,0.41666667,0.40000000,0.40816327
10,0.67026514,0.61333333,0.66346154,0.46000000,0.54330709,0.71406597,0.43000000,0.39393939,0.26000000,0.31325301
11,0.66716778,0.64333333,0.61139896,0.78666667,0.68804665,0.71359992,0.43000000,0.44615385,0.58000000,0.50434783
12,0.66405243,0.67000000,0.67346939,0.66000000,0.66666667,0.71356881,0.43000000,0.41860465,0.36000000,0.38709677
13,0.67050266,0.55333333,0.71052632,0.18000000,0.28723404,0.72111595,0.47000000,0.41176471,0.14000000,0.20895522
14,0.66398948,0.59333333,0.71212121,0.31333333,0.43518519,0.71830595,0.48000000,0.45000000,0.18000000,0.25714286
15,0.65742493,0.65666667,0.69747899,0.55333333,0.61710037,0.71590543,0.46000000,0.44444444,0.32000000,0.37209302
16,0.65520591,0.62000000,0.68000000,0.45333333,0.54400000,0.71848297,0.44000000,0.39285714,0.22000000,0.28205128
17,0.65946501,0.61000000,0.56573705,0.94666667,0.70822943,0.71956676,0.47000000,0.48192771,0.80000000,0.60150376
18,0.64638126,0.69333333,0.67469880,0.74666667,0.70886076,0.71813279,0.49000000,0.49056604,0.52000000,0.50485437
19,0.64732766,0.64000000,0.74418605,0.42666667,0.54237288,0.72269362,0.47000000,0.44000000,0.22000000,0.29333333
20,0.68064892,0.53000000,0.90909091,0.06666667,0.12422360,0.75037414,0.48000000,0.25000000,0.02000000,0.03703704
21,0.67994606,0.55000000,0.52650177,0.99333333,0.68822171,0.73926908,0.47000000,0.48387097,0.90000000,0.62937063
22,0.64787287,0.62666667,0.57539683,0.96666667,0.72139303,0.72932857,0.50000000,0.50000000,0.86000000,0.63235294
23,0.65346330,0.58333333,0.85714286,0.20000000,0.32432432,0.74414945,0.48000000,0.41666667,0.10000000,0.16129032
24,0.69644350,0.53000000,1.00000000,0.06000000,0.11320755,0.78292334,0.49000000,0.33333333,0.02000000,0.03773585
25,0.63172108,0.63333333,0.75000000,0.40000000,0.52173913,0.73599410,0.48000000,0.46153846,0.24000000,0.31578947
26,0.62159193,0.69666667,0.64390244,0.88000000,0.74366197,0.72933358,0.46000000,0.47058824,0.64000000,0.54237288
27,0.61337310,0.70000000,0.71126761,0.67333333,0.69178082,0.72918564,0.48000000,0.47500000,0.38000000,0.42222222
28,0.60818684,0.72333333,0.70807453,0.76000000,0.73311897,0.72654432,0.47000000,0.47058824,0.48000000,0.47524752
29,0.61171389,0.70666667,0.64485981,0.92000000,0.75824176,0.72962505,0.48000000,0.48611111,0.70000000,0.57377049
30,0.59972721,0.72666667,0.72368421,0.73333333,0.72847682,0.72602844,0.47000000,0.46666667,0.42000000,0.44210526
31,0.60338211,0.70000000,0.77272727,0.56666667,0.65384615,0.72950023,0.50000000,0.50000000,0.32000000,0.39024390
32,0.62071913,0.64000000,0.88888889,0.32000000,0.47058824,0.75482112,0.49000000,0.46666667,0.14000000,0.21538462
