epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68593228,0.56666667,0.56024096,0.62000000,0.58860759,0.68992555,0.51000000,0.50724638,0.70000000,0.58823529
2,0.70967084,0.51333333,0.50680272,0.99333333,0.67117117,0.73127997,0.50000000,0.50000000,1.00000000,0.66666667
3,0.67795634,0.61000000,0.62992126,0.53333333,0.57761733,0.69108731,0.53000000,0.53488372,0.46000000,0.49462366
4,0.66901666,0.59000000,0.60800000,0.50666667,0.55272727,0.70022762,0.47000000,0.46808511,0.44000000,0.45360825
5,0.67486078,0.53333333,0.69230769,0.12000000,0.20454545,0.68717068,0.53000000,0.71428571,0.10000000,0.17543860
6,0.67695856,0.61000000,0.56626506,0.94000000,0.70676692,0.68177766,0.49000000,0.49450549,0.90000000,0.63829787
7,0.66537470,0.61333333,0.57391304,0.88000000,0.69473684,0.68681127,0.49000000,0.49350649,0.76000000,0.59842520
8,0.64407688,0.65666667,0.63905325,0.72000000,0.67711599,0.69383895,0.50000000,0.50000000,0.66000000,0.56896552
9,0.64114320,0.65000000,0.76470588,0.43333333,0.55319149,0.69398749,0.54000000,0.55000000,0.44000000,0.48888889
10,0.71362114,0.54666667,0.52464789,0.99333333,0.68663594,0.77849120,0.50000000,0.50000000,0.96000000,0.65753425
11,0.63264245,0.70000000,0.64851485,0.87333333,0.74431818,0.69892043,0.50000000,0.50000000,0.76000000,0.60317460
12,0.63577646,0.60666667,0.77586207,0.30000000,0.43269231,0.71492290,0.48000000,0.46666667,0.28000000,0.35000000
13,0.63299614,0.58000000,0.85294118,0.19333333,0.31521739,0.69883192,0.60000000,0.81250000,0.26000000,0.39393939
14,0.63336658,0.65000000,0.79220779,0.40666667,0.53744493,0.68760175,0.56000000,0.60000000,0.36000000,0.45000000
15,0.65740633,0.52333333,0.76923077,0.06666667,0.12269939,0.72437024,0.53000000,1.00000000,0.06000000,0.11320755
16,0.71574509,0.51666667,1.00000000,0.03333333,0.06451613,0.79916823,0.50000000,0.00000000,0.00000000,0.00000000
17,0.59657800,0.67000000,0.85915493,0.40666667,0.55203620,0.71627969,0.54000000,0.57142857,0.32000000,0.41025641
18,0.67351353,0.57333333,0.54014599,0.98666667,0.69811321,0.73098725,0.55000000,0.52808989,0.94000000,0.67625899
19,0.58566743,0.66333333,0.60606061,0.93333333,0.73490814,0.73606229,0.53000000,0.51807229,0.86000000,0.64661654
20,0.59494883,0.67666667,0.73451327,0.55333333,0.63117871,0.73895997,0.54000000,0.54761905,0.46000000,0.50000000
21,0.61209923,0.66666667,0.61061947,0.92000000,0.73404255,0.72718894,0.52000000,0.51315789,0.78000000,0.61904762
22,0.58221489,0.69333333,0.63679245,0.90000000,0.74585635,0.74391204,0.49000000,0.49315068,0.72000000,0.58536585
23,0.56366742,0.69666667,0.63111111,0.94666667,0.75733333,0.76922238,0.50000000,0.50000000,0.78000000,0.60937500
24,0.54239261,0.76666667,0.76666667,0.76666667,0.76666667,0.71090084,0.55000000,0.54385965,0.62000000,0.57943925
25,0.56159192,0.70333333,0.63926941,0.93333333,0.75880759,0.73636681,0.52000000,0.51219512,0.84000000,0.63636364
26,0.55368763,0.69000000,0.91304348,0.42000000,0.57534247,0.77237207,0.56000000,0.60714286,0.34000000,0.43589744
27,0.54263765,0.70333333,0.62978723,0.98666667,0.76883117,0.81886554,0.50000000,0.50000000,0.80000000,0.61538462
28,0.55785352,0.67333333,0.88235294,0.40000000,0.55045872,0.82105428,0.57000000,0.65217391,0.30000000,0.41095890
29,0.48692667,0.78333333,0.71356784,0.94666667,0.81375358,0.76996857,0.56000000,0.54054054,0.80000000,0.64516129
30,0.55220246,0.66000000,0.96153846,0.33333333,0.49504950,0.80004883,0.52000000,0.56250000,0.18000000,0.27272727
31,0.61728799,0.63000000,0.79104478,0.35333333,0.48847926,0.80830520,0.54000000,0.56666667,0.34000000,0.42500000
32,0.52727067,0.72333333,0.91358025,0.49333333,0.64069264,0.73072708,0.52000000,0.53571429,0.30000000,0.38461538
33,0.77156395,0.54000000,0.92857143,0.08666667,0.15853659,1.05572617,0.55000000,0.85714286,0.12000000,0.21052632
