epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68723965,0.55000000,0.55639098,0.49333333,0.52296820,0.69981551,0.50000000,0.50000000,0.46000000,0.47916667
2,0.68266368,0.57666667,0.57718121,0.57333333,0.57525084,0.69868207,0.53000000,0.52631579,0.60000000,0.56074766
3,0.67646706,0.57666667,0.60000000,0.46000000,0.52075472,0.69864756,0.56000000,0.57142857,0.48000000,0.52173913
4,0.67160016,0.62333333,0.65289256,0.52666667,0.58302583,0.70137537,0.52000000,0.52380952,0.44000000,0.47826087
5,0.67038399,0.60333333,0.56595745,0.88666667,0.69090909,0.70069510,0.48000000,0.48648649,0.72000000,0.58064516
6,0.66553140,0.67000000,0.63212435,0.81333333,0.71137026,0.70139974,0.49000000,0.49275362,0.68000000,0.57142857
7,0.66091341,0.63666667,0.59360731,0.86666667,0.70460705,0.70431715,0.48000000,0.48571429,0.68000000,0.56666667
8,0.65482426,0.65666667,0.61928934,0.81333333,0.70317003,0.70502394,0.51000000,0.50724638,0.70000000,0.58823529
9,0.64902824,0.67333333,0.68055556,0.65333333,0.66666667,0.71076345,0.54000000,0.53703704,0.58000000,0.55769231
10,0.64463258,0.66000000,0.64634146,0.70666667,0.67515924,0.71271563,0.52000000,0.51612903,0.64000000,0.57142857
11,0.65407431,0.61333333,0.56854839,0.94000000,0.70854271,0.70899206,0.48000000,0.48863636,0.86000000,0.62318841
12,0.63864774,0.68333333,0.76699029,0.52666667,0.62450593,0.71715087,0.54000000,0.55263158,0.42000000,0.47727273
13,0.63526273,0.67000000,0.74757282,0.51333333,0.60869565,0.72388667,0.53000000,0.54054054,0.40000000,0.45977011
14,0.62477082,0.69333333,0.68125000,0.72666667,0.70322581,0.71607381,0.51000000,0.50819672,0.62000000,0.55855856
15,0.62486887,0.68333333,0.62672811,0.90666667,0.74114441,0.72180539,0.48000000,0.48750000,0.78000000,0.60000000
16,0.61762238,0.69333333,0.63551402,0.90666667,0.74725275,0.72878724,0.48000000,0.48750000,0.78000000,0.60000000
17,0.60662168,0.72333333,0.71069182,0.75333333,0.73139159,0.72633034,0.55000000,0.54385965,0.62000000,0.57943925
18,0.60355896,0.70666667,0.65500000,0.87333333,0.74857143,0.72612900,0.50000000,0.50000000,0.74000000,0.59677419
19,0.59170800,0.74000000,0.72500000,0.77333333,0.74838710,0.73530120,0.53000000,0.52727273,0.58000000,0.55238095
20,0.58984745,0.72000000,0.73913043,0.68000000,0.70833333,0.74186844,0.54000000,0.54347826,0.50000000,0.52083333
21,0.60721302,0.66333333,0.60165975,0.96666667,0.74168798,0.74703050,0.46000000,0.47674419,0.82000000,0.60294118
22,0.56957430,0.75333333,0.74050633,0.78000000,0.75974026,0.74723047,0.54000000,0.53571429,0.60000000,0.56603774
23,0.56432486,0.76333333,0.76158940,0.76666667,0.76411960,0.74431008,0.55000000,0.54901961,0.56000000,0.55445545
24,0.55987996,0.78333333,0.75449102,0.84000000,0.79495268,0.74766999,0.56000000,0.55555556,0.60000000,0.57692308
25,0.55959433,0.71666667,0.65550239,0.91333333,0.76323120,0.75539094,0.50000000,0.50000000,0.78000000,0.60937500
26,0.53925741,0.78333333,0.78523490,0.78000000,0.78260870,0.75999308,0.56000000,0.56521739,0.52000000,0.54166667
27,0.55709505,0.72333333,0.86021505,0.53333333,0.65843621,0.78514892,0.55000000,0.60000000,0.30000000,0.40000000
28,0.53652525,0.80000000,0.91666667,0.66000000,0.76744186,0.76849002,0.55000000,0.58064516,0.36000000,0.44444444
29,0.56617504,0.68666667,0.95161290,0.39333333,0.55660377,0.80869031,0.56000000,0.65000000,0.26000000,0.37142857
30,0.64285970,0.59666667,0.96774194,0.20000000,0.33149171,0.88685137,0.53000000,0.61538462,0.16000000,0.25396825
