epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69108987,0.51333333,0.51282051,0.53333333,0.52287582,0.69046551,0.47000000,0.46938776,0.46000000,0.46464646
2,0.68632752,0.56000000,0.59782609,0.36666667,0.45454545,0.69146317,0.51000000,0.51351351,0.38000000,0.43678161
3,0.68178064,0.59333333,0.64893617,0.40666667,0.50000000,0.69071507,0.53000000,0.54054054,0.40000000,0.45977011
4,0.67796910,0.59666667,0.64077670,0.44000000,0.52173913,0.69025880,0.48000000,0.47619048,0.40000000,0.43478261
5,0.67492098,0.57000000,0.54585153,0.83333333,0.65963061,0.69221634,0.53000000,0.51948052,0.80000000,0.62992126
6,0.67063606,0.60666667,0.58791209,0.71333333,0.64457831,0.69041443,0.51000000,0.50769231,0.66000000,0.57391304
7,0.67208773,0.57000000,0.54022989,0.94000000,0.68613139,0.69584107,0.55000000,0.52873563,0.92000000,0.67153285
8,0.66571975,0.63333333,0.59803922,0.81333333,0.68926554,0.69171917,0.49000000,0.49333333,0.74000000,0.59200000
9,0.66252077,0.64000000,0.61290323,0.76000000,0.67857143,0.69026875,0.51000000,0.50746269,0.68000000,0.58119658
10,0.66022164,0.64666667,0.61111111,0.80666667,0.69540230,0.69247007,0.50000000,0.50000000,0.74000000,0.59677419
11,0.67060649,0.53333333,0.51760563,0.98000000,0.67741935,0.70350248,0.51000000,0.50537634,0.94000000,0.65734266
12,0.65493423,0.64333333,0.60591133,0.82000000,0.69688385,0.69398177,0.50000000,0.50000000,0.72000000,0.59016393
13,0.65289152,0.65333333,0.60648148,0.87333333,0.71584699,0.69477189,0.50000000,0.50000000,0.74000000,0.59677419
14,0.67358959,0.52666667,0.51398601,0.98000000,0.67431193,0.71551496,0.50000000,0.50000000,0.98000000,0.66216216
15,0.64856732,0.66666667,0.74038462,0.51333333,0.60629921,0.69239295,0.50000000,0.50000000,0.44000000,0.46808511
16,0.64941275,0.65000000,0.79220779,0.40666667,0.53744493,0.69566494,0.55000000,0.57575758,0.38000000,0.45783133
17,0.63931996,0.67666667,0.65497076,0.74666667,0.69781931,0.69548398,0.46000000,0.46666667,0.56000000,0.50909091
18,0.63724542,0.65666667,0.69421488,0.56000000,0.61992620,0.69432694,0.49000000,0.48888889,0.44000000,0.46315789
19,0.63408417,0.70000000,0.72727273,0.64000000,0.68085106,0.69525743,0.50000000,0.50000000,0.48000000,0.48979592
20,0.65276116,0.57333333,0.54135338,0.96000000,0.69230769,0.71826887,0.53000000,0.51685393,0.92000000,0.66187050
21,0.63616985,0.64666667,0.59401709,0.92666667,0.72395833,0.70802587,0.52000000,0.51219512,0.84000000,0.63636364
22,0.62388855,0.70333333,0.71631206,0.67333333,0.69415808,0.69546086,0.49000000,0.49019608,0.50000000,0.49504950
23,0.61998647,0.70000000,0.70000000,0.70000000,0.70000000,0.69843549,0.48000000,0.48076923,0.50000000,0.49019608
24,0.61845267,0.72666667,0.68279570,0.84666667,0.75595238,0.70264083,0.48000000,0.48529412,0.66000000,0.55932203
25,0.61656249,0.72666667,0.78813559,0.62000000,0.69402985,0.70340401,0.49000000,0.48888889,0.44000000,0.46315789
26,0.63016921,0.63000000,0.57959184,0.94666667,0.71898734,0.71604401,0.55000000,0.52941176,0.90000000,0.66666667
27,0.64893311,0.59333333,0.86842105,0.22000000,0.35106383,0.72272718,0.53000000,0.57894737,0.22000000,0.31884058
28,0.60552055,0.72333333,0.77235772,0.63333333,0.69597070,0.69778669,0.51000000,0.51063830,0.48000000,0.49484536
29,0.61182821,0.68333333,0.83950617,0.45333333,0.58874459,0.70659178,0.57000000,0.61290323,0.38000000,0.46913580
30,0.60239482,0.71333333,0.65238095,0.91333333,0.76111111,0.71229035,0.48000000,0.48684211,0.74000000,0.58730159
31,0.65297437,0.54666667,0.52464789,0.99333333,0.68663594,0.75427687,0.50000000,0.50000000,0.94000000,0.65277778
32,0.59055001,0.74333333,0.68911917,0.88666667,0.77551020,0.70666289,0.47000000,0.47826087,0.66000000,0.55462185
33,0.58628058,0.74333333,0.80165289,0.64666667,0.71586716,0.70376831,0.48000000,0.47727273,0.42000000,0.44680851
34,0.57865155,0.75666667,0.75838926,0.75333333,0.75585284,0.70617032,0.51000000,0.50877193,0.58000000,0.54205607
35,0.65974480,0.56333333,0.91304348,0.14000000,0.24277457,0.76288557,0.50000000,0.50000000,0.14000000,0.21875000
36,0.60555798,0.67000000,0.91803279,0.37333333,0.53080569,0.72814161,0.54000000,0.58333333,0.28000000,0.37837838
37,0.61256677,0.64333333,0.92156863,0.31333333,0.46766169,0.73874527,0.53000000,0.57142857,0.24000000,0.33802817
38,0.61709899,0.62333333,0.93023256,0.26666667,0.41450777,0.74009871,0.54000000,0.61111111,0.22000000,0.32352941
39,0.61749524,0.64000000,0.95652174,0.29333333,0.44897959,0.74400640,0.54000000,0.60000000,0.24000000,0.34285714
40,0.60243398,0.63000000,0.57707510,0.97333333,0.72456576,0.76473212,0.52000000,0.51162791,0.88000000,0.64705882
41,0.55259204,0.77000000,0.71657754,0.89333333,0.79525223,0.71949917,0.48000000,0.48571429,0.68000000,0.56666667
42,0.56926000,0.69666667,0.62882096,0.96000000,0.75989446,0.74947494,0.52000000,0.51250000,0.82000000,0.63076923
43,0.57593274,0.69666667,0.94029851,0.42000000,0.58064516,0.73609328,0.53000000,0.56000000,0.28000000,0.37333333
44,0.68070072,0.53666667,0.51903114,1.00000000,0.68337130,0.84638745,0.49000000,0.49484536,0.96000000,0.65306122
