epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68767029,0.55333333,0.56349206,0.47333333,0.51449275,0.68707931,0.51000000,0.51428571,0.36000000,0.42352941
2,0.68491411,0.52666667,0.54255319,0.34000000,0.41803279,0.69688570,0.46000000,0.43333333,0.26000000,0.32500000
3,0.67815512,0.59333333,0.58536585,0.64000000,0.61146497,0.69742471,0.47000000,0.47272727,0.52000000,0.49523810
4,0.75427723,0.50000000,0.00000000,0.00000000,0.00000000,0.76874673,0.50000000,0.00000000,0.00000000,0.00000000
5,0.68310750,0.57333333,0.57051282,0.59333333,0.58169935,0.69747239,0.43000000,0.43859649,0.50000000,0.46728972
6,0.68038321,0.58666667,0.74074074,0.26666667,0.39215686,0.69138229,0.49000000,0.47619048,0.20000000,0.28169014
7,0.67387825,0.57333333,0.62500000,0.36666667,0.46218487,0.69919205,0.55000000,0.57575758,0.38000000,0.45783133
8,0.67283893,0.60333333,0.56540084,0.89333333,0.69250646,0.69431353,0.51000000,0.50632911,0.80000000,0.62015504
9,0.67358643,0.59333333,0.63461538,0.44000000,0.51968504,0.69071823,0.52000000,0.52272727,0.46000000,0.48936170
10,0.66634989,0.64000000,0.60294118,0.82000000,0.69491525,0.69416213,0.55000000,0.53731343,0.72000000,0.61538462
11,0.68482870,0.54333333,0.63829787,0.20000000,0.30456853,0.72427583,0.53000000,0.57142857,0.24000000,0.33802817
12,0.65948826,0.64333333,0.59307359,0.91333333,0.71916010,0.69601518,0.51000000,0.50666667,0.76000000,0.60800000
13,0.65688831,0.61666667,0.56972112,0.95333333,0.71321696,0.70327783,0.52000000,0.51282051,0.80000000,0.62500000
14,0.65842479,0.56666667,0.76315789,0.19333333,0.30851064,0.70530540,0.51000000,0.53333333,0.16000000,0.24615385
15,0.68717843,0.50333333,1.00000000,0.00666667,0.01324503,0.73338610,0.50000000,0.00000000,0.00000000,0.00000000
16,0.64517570,0.64333333,0.65248227,0.61333333,0.63230241,0.69555783,0.50000000,0.50000000,0.46000000,0.47916667
17,0.63817030,0.66333333,0.62436548,0.82000000,0.70893372,0.69057691,0.58000000,0.56666667,0.68000000,0.61818182
18,0.64777297,0.54666667,0.69444444,0.16666667,0.26881720,0.73559171,0.50000000,0.50000000,0.08000000,0.13793103
19,0.63320810,0.68000000,0.63106796,0.86666667,0.73033708,0.68579203,0.59000000,0.56716418,0.76000000,0.64957265
20,0.64353210,0.60666667,0.70000000,0.37333333,0.48695652,0.69531572,0.49000000,0.48000000,0.24000000,0.32000000
21,0.60440463,0.71666667,0.69461078,0.77333333,0.73186120,0.72273010,0.60000000,0.58620690,0.68000000,0.62962963
22,0.63579565,0.65000000,0.59493671,0.94000000,0.72868217,0.80791426,0.50000000,0.50000000,0.80000000,0.61538462
23,0.60824877,0.68000000,0.69565217,0.64000000,0.66666667,0.79454714,0.61000000,0.61224490,0.60000000,0.60606061
24,0.60714906,0.67000000,0.63350785,0.80666667,0.70967742,0.70493090,0.57000000,0.55737705,0.68000000,0.61261261
25,0.61298788,0.65333333,0.61500000,0.82000000,0.70285714,0.79389590,0.49000000,0.49253731,0.66000000,0.56410256
26,0.58374977,0.73666667,0.72049689,0.77333333,0.74598071,0.75337756,0.56000000,0.56000000,0.56000000,0.56000000
27,0.54859245,0.72666667,0.71518987,0.75333333,0.73376623,0.77616483,0.57000000,0.56603774,0.60000000,0.58252427
28,0.58689743,0.70000000,0.68987342,0.72666667,0.70779221,0.70735598,0.54000000,0.54166667,0.52000000,0.53061224
29,0.59266967,0.67000000,0.64739884,0.74666667,0.69349845,0.81025070,0.50000000,0.50000000,0.58000000,0.53703704
30,0.55865198,0.71666667,0.73381295,0.68000000,0.70588235,0.85884756,0.57000000,0.57446809,0.54000000,0.55670103
31,0.56858128,0.69666667,0.62882096,0.96000000,0.75989446,0.74456114,0.54000000,0.52564103,0.82000000,0.64062500
32,0.57105428,0.72000000,0.69411765,0.78666667,0.73750000,0.73562169,0.51000000,0.50980392,0.52000000,0.51485149
33,0.57678342,0.70000000,0.62711864,0.98666667,0.76683938,0.85194230,0.48000000,0.48750000,0.78000000,0.60000000
34,0.75369626,0.57000000,0.72340426,0.22666667,0.34517766,1.04490435,0.55000000,0.63157895,0.24000000,0.34782609
35,0.56674558,0.69000000,0.89041096,0.43333333,0.58295964,0.84027922,0.54000000,0.58333333,0.28000000,0.37837838
36,0.57448763,0.68333333,0.61316872,0.99333333,0.75826972,0.83973998,0.52000000,0.51282051,0.80000000,0.62500000
37,0.56310791,0.73333333,0.87234043,0.54666667,0.67213115,0.92074537,0.53000000,0.55172414,0.32000000,0.40506329
38,0.56030005,0.69666667,0.66666667,0.78666667,0.72171254,0.74413317,0.53000000,0.52727273,0.58000000,0.55238095
39,0.53765613,0.75333333,0.69000000,0.92000000,0.78857143,0.73358274,0.56000000,0.54687500,0.70000000,0.61403509
40,0.47674367,0.78000000,0.78378378,0.77333333,0.77852349,0.89123499,0.49000000,0.48888889,0.44000000,0.46315789
41,0.56379753,0.70000000,0.80612245,0.52666667,0.63709677,1.01016271,0.57000000,0.62068966,0.36000000,0.45569620
42,0.44711426,0.81333333,0.77325581,0.88666667,0.82608696,0.86204302,0.55000000,0.53968254,0.68000000,0.60176991
43,0.57248843,0.64333333,0.95744681,0.30000000,0.45685279,1.00077701,0.53000000,0.66666667,0.12000000,0.20338983
44,0.45609996,0.84666667,0.86619718,0.82000000,0.84246575,0.84874207,0.56000000,0.56000000,0.56000000,0.56000000
45,0.61778378,0.66333333,0.59839357,0.99333333,0.74686717,0.80381513,0.47000000,0.48275862,0.84000000,0.61313869
46,0.49458140,0.79333333,0.85483871,0.70666667,0.77372263,0.75241971,0.50000000,0.50000000,0.38000000,0.43181818
47,0.52851379,0.75333333,0.67431193,0.98000000,0.79891304,0.77022994,0.52000000,0.51351351,0.76000000,0.61290323
48,0.45084670,0.79666667,0.72820513,0.94666667,0.82318841,0.83296478,0.52000000,0.51470588,0.70000000,0.59322034
49,0.45330825,0.78000000,0.93750000,0.60000000,0.73170732,0.90157652,0.55000000,0.58064516,0.36000000,0.44444444
50,0.50337410,0.72666667,0.65044248,0.98000000,0.78191489,0.95004904,0.48000000,0.48684211,0.74000000,0.58730159
51,0.44760278,0.83333333,0.76595745,0.96000000,0.85207101,0.82428956,0.52000000,0.51562500,0.66000000,0.57894737
52,0.35411274,0.87000000,0.86754967,0.87333333,0.87043189,0.98747587,0.53000000,0.53191489,0.50000000,0.51546392
53,0.72700214,0.60666667,0.55970149,1.00000000,0.71770335,1.02295673,0.45000000,0.47252747,0.86000000,0.60992908
