epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68838924,0.52333333,0.52447552,0.50000000,0.51194539,0.71204346,0.41000000,0.40816327,0.40000000,0.40404040
2,0.68478203,0.54333333,0.59154930,0.28000000,0.38009050,0.71697295,0.44000000,0.39285714,0.22000000,0.28205128
3,0.67975080,0.57666667,0.55348837,0.79333333,0.65205479,0.71840984,0.42000000,0.44285714,0.62000000,0.51666667
4,0.67545956,0.57333333,0.58870968,0.48666667,0.53284672,0.71973693,0.41000000,0.40000000,0.36000000,0.37894737
5,0.67305017,0.58333333,0.61061947,0.46000000,0.52471483,0.71909755,0.43000000,0.41463415,0.34000000,0.37362637
6,0.66995007,0.60000000,0.58823529,0.66666667,0.62500000,0.71823543,0.39000000,0.40000000,0.44000000,0.41904762
7,0.66989130,0.60000000,0.68750000,0.36666667,0.47826087,0.72135788,0.43000000,0.40000000,0.28000000,0.32941176
8,0.66838682,0.60666667,0.56611570,0.91333333,0.69897959,0.72146386,0.44000000,0.46341463,0.76000000,0.57575758
9,0.66354191,0.63333333,0.68867925,0.48666667,0.57031250,0.72085029,0.40000000,0.38095238,0.32000000,0.34782609
10,0.66024774,0.65666667,0.67669173,0.60000000,0.63604240,0.72440839,0.38000000,0.36363636,0.32000000,0.34042553
11,0.68620270,0.51666667,0.77777778,0.04666667,0.08805031,0.74818951,0.51000000,0.66666667,0.04000000,0.07547170
12,0.66142786,0.60333333,0.56275304,0.92666667,0.70025189,0.72625929,0.43000000,0.45977011,0.80000000,0.58394161
13,0.65569085,0.63666667,0.59192825,0.88000000,0.70777480,0.72859204,0.44000000,0.46341463,0.76000000,0.57575758
14,0.65483660,0.62666667,0.75000000,0.38000000,0.50442478,0.72645414,0.41000000,0.35483871,0.22000000,0.27160494
15,0.65487295,0.59666667,0.73770492,0.30000000,0.42654028,0.72991544,0.42000000,0.34615385,0.18000000,0.23684211
16,0.64607704,0.68000000,0.66463415,0.72666667,0.69426752,0.72542632,0.41000000,0.41818182,0.46000000,0.43809524
17,0.65129191,0.64000000,0.58750000,0.94000000,0.72307692,0.72857857,0.45000000,0.47126437,0.82000000,0.59854015
18,0.64618754,0.65333333,0.59913793,0.92666667,0.72774869,0.72710389,0.46000000,0.47619048,0.80000000,0.59701493
19,0.63996923,0.67666667,0.69924812,0.62000000,0.65724382,0.72781181,0.41000000,0.40000000,0.36000000,0.37894737
20,0.66358966,0.57333333,0.54014599,0.98666667,0.69811321,0.74210995,0.46000000,0.47826087,0.88000000,0.61971831
21,0.64210266,0.65666667,0.82191781,0.40000000,0.53811659,0.72940511,0.43000000,0.37931034,0.22000000,0.27848101
22,0.63320041,0.69000000,0.73949580,0.58666667,0.65427509,0.73120999,0.42000000,0.40909091,0.36000000,0.38297872
23,0.62933916,0.70666667,0.67222222,0.80666667,0.73333333,0.73045880,0.45000000,0.45901639,0.56000000,0.50450450
24,0.62868214,0.68000000,0.71774194,0.59333333,0.64963504,0.73731726,0.43000000,0.42222222,0.38000000,0.40000000
25,0.62776369,0.68333333,0.74336283,0.56000000,0.63878327,0.74133193,0.43000000,0.41025641,0.32000000,0.35955056
26,0.64436144,0.57666667,0.81081081,0.20000000,0.32085561,0.75045103,0.47000000,0.40000000,0.12000000,0.18461538
27,0.61842674,0.72666667,0.72972973,0.72000000,0.72483221,0.73388904,0.46000000,0.46153846,0.48000000,0.47058824
28,0.63584471,0.63333333,0.57936508,0.97333333,0.72636816,0.73244810,0.48000000,0.48837209,0.84000000,0.61764706
29,0.61287183,0.73333333,0.70114943,0.81333333,0.75308642,0.73707801,0.48000000,0.48333333,0.58000000,0.52727273
30,0.61313438,0.72666667,0.79824561,0.60666667,0.68939394,0.73826206,0.42000000,0.39473684,0.30000000,0.34090909
31,0.60674924,0.73333333,0.73333333,0.73333333,0.73333333,0.74084854,0.47000000,0.47169811,0.50000000,0.48543689
32,0.61759073,0.67000000,0.60851064,0.95333333,0.74285714,0.75019544,0.50000000,0.50000000,0.86000000,0.63235294
33,0.60365283,0.72000000,0.65566038,0.92666667,0.76795580,0.74471116,0.52000000,0.51351351,0.76000000,0.61290323
34,0.60954243,0.68000000,0.61637931,0.95333333,0.74869110,0.75069702,0.52000000,0.51190476,0.86000000,0.64179104
35,0.60444278,0.70666667,0.85227273,0.50000000,0.63025210,0.73850340,0.44000000,0.40000000,0.24000000,0.30000000
36,0.59775227,0.72333333,0.83168317,0.56000000,0.66932271,0.74649948,0.44000000,0.40625000,0.26000000,0.31707317
37,0.59129161,0.72333333,0.66028708,0.92000000,0.76880223,0.74808091,0.51000000,0.50704225,0.72000000,0.59504132
38,0.58296204,0.77000000,0.74846626,0.81333333,0.77955272,0.74718916,0.50000000,0.50000000,0.54000000,0.51923077
39,0.58153892,0.76333333,0.73099415,0.83333333,0.77881620,0.74317098,0.49000000,0.49122807,0.56000000,0.52336449
40,0.59451497,0.70000000,0.85714286,0.48000000,0.61538462,0.76889282,0.42000000,0.36666667,0.22000000,0.27500000
41,0.57812494,0.77333333,0.71808511,0.90000000,0.79881657,0.74770015,0.51000000,0.50746269,0.68000000,0.58119658
42,0.59589773,0.69333333,0.62393162,0.97333333,0.76041667,0.75809938,0.51000000,0.50602410,0.84000000,0.63157895
43,0.60346806,0.67000000,0.60493827,0.98000000,0.74809160,0.76717037,0.49000000,0.49425287,0.86000000,0.62773723
44,0.60957468,0.60333333,0.86046512,0.24666667,0.38341969,0.79068327,0.50000000,0.50000000,0.12000000,0.19354839
45,0.58553308,0.68000000,0.61538462,0.96000000,0.75000000,0.77100438,0.53000000,0.51851852,0.84000000,0.64122137
46,0.55540663,0.78666667,0.79861111,0.76666667,0.78231293,0.76074725,0.49000000,0.48888889,0.44000000,0.46315789
47,0.55307657,0.78000000,0.81818182,0.72000000,0.76595745,0.76399690,0.47000000,0.46511628,0.40000000,0.43010753
48,0.57082897,0.69000000,0.90140845,0.42666667,0.57918552,0.76832128,0.47000000,0.43478261,0.20000000,0.27397260
49,0.54437006,0.81000000,0.76271186,0.90000000,0.82568807,0.75898504,0.50000000,0.50000000,0.62000000,0.55357143
50,0.54789621,0.78000000,0.87500000,0.65333333,0.74809160,0.77413392,0.44000000,0.42105263,0.32000000,0.36363636
51,0.54975069,0.74333333,0.67464115,0.94000000,0.78551532,0.77592891,0.56000000,0.54054054,0.80000000,0.64516129
52,0.53164560,0.82000000,0.88095238,0.74000000,0.80434783,0.76931304,0.47000000,0.46511628,0.40000000,0.43010753
53,0.52523530,0.79666667,0.75722543,0.87333333,0.81114551,0.78324354,0.46000000,0.46666667,0.56000000,0.50909091
54,0.52920318,0.78666667,0.87719298,0.66666667,0.75757576,0.78275418,0.44000000,0.42105263,0.32000000,0.36363636
55,0.52291161,0.77666667,0.71282051,0.92666667,0.80579710,0.77910811,0.56000000,0.54411765,0.74000000,0.62711864
56,0.53032905,0.75666667,0.93258427,0.55333333,0.69456067,0.78857476,0.49000000,0.48275862,0.28000000,0.35443038
57,0.51929229,0.75000000,0.67942584,0.94666667,0.79108635,0.79207778,0.56000000,0.54054054,0.80000000,0.64516129
58,0.52565652,0.75666667,0.67906977,0.97333333,0.80000000,0.80080611,0.56000000,0.53947368,0.82000000,0.65079365
59,0.49949679,0.82000000,0.77272727,0.90666667,0.83435583,0.77663457,0.53000000,0.52307692,0.68000000,0.59130435
60,0.55851078,0.69333333,0.62083333,0.99333333,0.76410256,0.82627749,0.51000000,0.50588235,0.86000000,0.63703704
61,0.48988792,0.83333333,0.78089888,0.92666667,0.84756098,0.78145903,0.52000000,0.51562500,0.66000000,0.57894737
62,0.59682178,0.65666667,0.59288538,1.00000000,0.74441687,0.85319382,0.48000000,0.48913043,0.90000000,0.63380282
63,0.58401990,0.66000000,0.59523810,1.00000000,0.74626866,0.84161788,0.50000000,0.50000000,0.90000000,0.64285714
64,0.52280796,0.71000000,0.97014925,0.43333333,0.59907834,0.82738584,0.49000000,0.47368421,0.18000000,0.26086957
65,0.50587690,0.75666667,0.95294118,0.54000000,0.68936170,0.81726271,0.48000000,0.46153846,0.24000000,0.31578947
66,0.51474255,0.75333333,0.67117117,0.99333333,0.80107527,0.80709410,0.56000000,0.53947368,0.82000000,0.65079365
67,0.47639060,0.81000000,0.93457944,0.66666667,0.77821012,0.79979032,0.48000000,0.46666667,0.28000000,0.35000000
68,0.54244334,0.69666667,0.62240664,1.00000000,0.76726343,0.84330887,0.52000000,0.51162791,0.88000000,0.64705882
