epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69748038,0.50000000,0.50000000,0.02000000,0.03846154,0.69727314,0.48000000,0.00000000,0.00000000,0.00000000
2,0.68741387,0.57000000,0.61797753,0.36666667,0.46025105,0.69802338,0.47000000,0.41176471,0.14000000,0.20895522
3,0.69086206,0.50666667,0.66666667,0.02666667,0.05128205,0.70182806,0.48000000,0.00000000,0.00000000,0.00000000
4,0.68602461,0.51333333,0.83333333,0.03333333,0.06410256,0.70191365,0.47000000,0.00000000,0.00000000,0.00000000
5,0.68837631,0.52666667,0.90000000,0.06000000,0.11250000,0.70314145,0.50000000,0.50000000,0.02000000,0.03846154
6,0.68928367,0.52000000,0.51034483,0.98666667,0.67272727,0.70205921,0.49000000,0.49484536,0.96000000,0.65306122
7,0.67315453,0.58000000,0.56896552,0.66000000,0.61111111,0.69497091,0.50000000,0.50000000,0.46000000,0.47916667
8,0.67602569,0.55333333,0.52836879,0.99333333,0.68981481,0.70449609,0.50000000,0.50000000,0.92000000,0.64788732
9,0.64920968,0.67666667,0.66878981,0.70000000,0.68403909,0.70845348,0.51000000,0.50943396,0.54000000,0.52427184
10,0.66597658,0.56666667,0.53597122,0.99333333,0.69626168,0.70418525,0.49000000,0.49450549,0.90000000,0.63829787
11,0.66874689,0.56666667,0.53571429,1.00000000,0.69767442,0.72124416,0.47000000,0.48421053,0.92000000,0.63448276
12,0.65715963,0.60666667,0.56060606,0.98666667,0.71497585,0.71322036,0.48000000,0.48863636,0.86000000,0.62318841
13,0.63664043,0.61333333,0.75000000,0.34000000,0.46788991,0.72691441,0.50000000,0.50000000,0.22000000,0.30555556
14,0.66668177,0.56000000,0.53191489,1.00000000,0.69444444,0.73220778,0.49000000,0.49473684,0.94000000,0.64827586
15,0.64258242,0.68333333,0.67515924,0.70666667,0.69055375,0.69249207,0.54000000,0.54166667,0.52000000,0.53061224
16,0.61759663,0.65666667,0.60538117,0.90000000,0.72386059,0.72496504,0.52000000,0.51282051,0.80000000,0.62500000
17,0.61331177,0.72000000,0.67010309,0.86666667,0.75581395,0.70158058,0.56000000,0.54411765,0.74000000,0.62711864
18,0.65074027,0.53666667,0.86666667,0.08666667,0.15757576,0.75727165,0.52000000,1.00000000,0.04000000,0.07692308
19,0.65247315,0.58000000,0.54347826,1.00000000,0.70422535,0.73686600,0.47000000,0.48421053,0.92000000,0.63448276
20,0.62523192,0.58000000,0.85294118,0.19333333,0.31521739,0.78732330,0.53000000,0.61538462,0.16000000,0.25396825
21,0.60416085,0.66000000,0.76086957,0.46666667,0.57851240,0.77803421,0.48000000,0.46875000,0.30000000,0.36585366
22,0.68225950,0.54000000,1.00000000,0.08000000,0.14814815,0.88885540,0.52000000,0.75000000,0.06000000,0.11111111
23,0.64360422,0.57666667,0.89655172,0.17333333,0.29050279,0.81508207,0.51000000,0.60000000,0.06000000,0.10909091
24,0.56855357,0.75666667,0.75163399,0.76666667,0.75907591,0.72516769,0.54000000,0.53448276,0.62000000,0.57407407
25,0.58023489,0.75000000,0.67942584,0.94666667,0.79108635,0.72464150,0.52000000,0.51388889,0.74000000,0.60655738
26,0.53856826,0.77666667,0.72928177,0.88000000,0.79758308,0.76454926,0.52000000,0.51562500,0.66000000,0.57894737
27,0.57923007,0.70666667,0.63716814,0.96000000,0.76595745,0.76102215,0.49000000,0.49382716,0.80000000,0.61068702
28,0.54442894,0.73333333,0.67500000,0.90000000,0.77142857,0.77556258,0.55000000,0.53521127,0.76000000,0.62809917
29,0.55017245,0.71333333,0.64159292,0.96666667,0.77127660,0.84530914,0.55000000,0.53086420,0.86000000,0.65648855
30,0.58484745,0.66333333,0.92982456,0.35333333,0.51207729,0.74731934,0.54000000,0.61111111,0.22000000,0.32352941
31,0.56848902,0.66333333,1.00000000,0.32666667,0.49246231,0.85884690,0.54000000,0.70000000,0.14000000,0.23333333
32,0.75201917,0.55000000,1.00000000,0.10000000,0.18181818,1.01608443,0.50000000,0.00000000,0.00000000,0.00000000
