epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.69342303,0.52666667,0.60526316,0.15333333,0.24468085,0.69650263,0.51000000,0.60000000,0.06000000,0.10909091
2,0.68563247,0.56000000,0.61250000,0.32666667,0.42608696,0.69746500,0.50000000,0.50000000,0.24000000,0.32432432
3,0.68094546,0.59000000,0.58490566,0.62000000,0.60194175,0.69417161,0.46000000,0.46428571,0.52000000,0.49056604
4,0.67936081,0.56333333,0.73170732,0.20000000,0.31413613,0.69913638,0.48000000,0.41666667,0.10000000,0.16129032
5,0.67068613,0.62666667,0.58119658,0.90666667,0.70833333,0.69641703,0.50000000,0.50000000,0.80000000,0.61538462
6,0.66715801,0.63666667,0.59192825,0.88000000,0.70777480,0.69718277,0.53000000,0.51948052,0.80000000,0.62992126
7,0.66163349,0.64333333,0.60189573,0.84666667,0.70360111,0.69722849,0.56000000,0.54054054,0.80000000,0.64516129
8,0.68743324,0.53333333,0.51724138,1.00000000,0.68181818,0.72522169,0.50000000,0.50000000,0.98000000,0.66216216
9,0.67607182,0.55000000,0.52650177,0.99333333,0.68822171,0.71157104,0.50000000,0.50000000,0.98000000,0.66216216
10,0.65019917,0.66333333,0.64670659,0.72000000,0.68138801,0.69922411,0.49000000,0.49152542,0.58000000,0.53211009
11,0.64957500,0.64333333,0.59307359,0.91333333,0.71916010,0.70184135,0.52000000,0.51219512,0.84000000,0.63636364
12,0.64932305,0.62333333,0.74666667,0.37333333,0.49777778,0.70543623,0.46000000,0.40000000,0.16000000,0.22857143
13,0.64269245,0.63000000,0.58158996,0.92666667,0.71465296,0.70510882,0.55000000,0.53012048,0.88000000,0.66165414
14,0.64036113,0.63000000,0.79104478,0.35333333,0.48847926,0.70609099,0.49000000,0.47619048,0.20000000,0.28169014
15,0.64594185,0.58333333,0.80487805,0.22000000,0.34554974,0.71624571,0.49000000,0.46666667,0.14000000,0.21538462
16,0.62056744,0.70666667,0.68452381,0.76666667,0.72327044,0.70157737,0.54000000,0.53225806,0.66000000,0.58928571
17,0.62264878,0.69000000,0.63768116,0.88000000,0.73949580,0.69877607,0.57000000,0.54666667,0.82000000,0.65600000
18,0.65328622,0.57666667,0.81081081,0.20000000,0.32085561,0.73287743,0.49000000,0.46153846,0.12000000,0.19047619
19,0.62257731,0.65666667,0.59514170,0.98000000,0.74055416,0.72524732,0.54000000,0.52380952,0.88000000,0.65671642
20,0.64119089,0.58000000,0.77272727,0.22666667,0.35051546,0.74040085,0.48000000,0.42857143,0.12000000,0.18750000
21,0.60441089,0.69000000,0.79381443,0.51333333,0.62348178,0.71849912,0.50000000,0.50000000,0.30000000,0.37500000
22,0.62107617,0.63000000,0.57587549,0.98666667,0.72727273,0.74534315,0.51000000,0.50561798,0.90000000,0.64748201
23,0.57949370,0.74000000,0.68367347,0.89333333,0.77456647,0.70917368,0.58000000,0.55882353,0.76000000,0.64406780
24,0.85586357,0.50666667,1.00000000,0.01333333,0.02631579,0.95425278,0.50000000,0.00000000,0.00000000,0.00000000
25,0.59946048,0.62666667,0.82758621,0.32000000,0.46153846,0.74381369,0.47000000,0.42105263,0.16000000,0.23188406
26,0.55698484,0.78333333,0.73743017,0.88000000,0.80243161,0.71492767,0.55000000,0.53846154,0.70000000,0.60869565
27,0.55556989,0.72666667,0.79824561,0.60666667,0.68939394,0.72808856,0.49000000,0.48648649,0.36000000,0.41379310
28,0.58540070,0.64000000,0.90384615,0.31333333,0.46534653,0.76049042,0.48000000,0.44444444,0.16000000,0.23529412
29,0.53269321,0.78666667,0.81617647,0.74000000,0.77622378,0.72276521,0.51000000,0.51162791,0.44000000,0.47311828
30,0.54180574,0.74000000,0.84615385,0.58666667,0.69291339,0.74356723,0.49000000,0.48484848,0.32000000,0.38554217
31,0.50982976,0.81333333,0.81756757,0.80666667,0.81208054,0.72830445,0.52000000,0.52000000,0.52000000,0.52000000
32,0.52187777,0.77666667,0.70443350,0.95333333,0.81019830,0.75895852,0.55000000,0.53521127,0.76000000,0.62809917
33,0.50172448,0.81333333,0.75543478,0.92666667,0.83233533,0.74107009,0.59000000,0.56521739,0.78000000,0.65546218
34,0.52737933,0.75000000,0.67281106,0.97333333,0.79564033,0.77344412,0.54000000,0.52702703,0.78000000,0.62903226
35,0.55827779,0.68000000,0.96551724,0.37333333,0.53846154,0.76951241,0.51000000,0.52941176,0.18000000,0.26865672
36,0.69988257,0.57333333,0.53956835,1.00000000,0.70093458,0.92399389,0.52000000,0.51086957,0.94000000,0.66197183
37,0.49688569,0.79333333,0.71153846,0.98666667,0.82681564,0.76214844,0.59000000,0.56164384,0.82000000,0.66666667
38,0.49866328,0.79666667,0.87394958,0.69333333,0.77323420,0.72742236,0.56000000,0.56818182,0.50000000,0.53191489
39,0.49025756,0.75333333,0.67117117,0.99333333,0.80107527,0.78669983,0.59000000,0.56000000,0.84000000,0.67200000
40,0.51882225,0.72666667,0.95945946,0.47333333,0.63392857,0.82836741,0.49000000,0.47368421,0.18000000,0.26086957
41,0.45790532,0.81333333,0.91964286,0.68666667,0.78625954,0.79818326,0.47000000,0.45161290,0.28000000,0.34567901
42,0.47028518,0.78666667,0.96739130,0.59333333,0.73553719,0.82342982,0.50000000,0.50000000,0.24000000,0.32432432
43,0.45095938,0.84333333,0.77248677,0.97333333,0.86135693,0.75833666,0.61000000,0.58208955,0.78000000,0.66666667
